,value
0,1.732
1,1.732
2,1.96
3,1.732
4,1.706
5,1.734
6,1.766
7,1.766
8,2.026
9,1.7619999999999998
10,1.704
11,1.834
12,1.832
13,1.826
14,1.908
15,1.798
16,1.732
17,1.802
18,1.764
19,1.86
20,1.998
21,1.7719999999999998
22,1.734
23,1.766
24,1.76
25,1.7380000000000002
26,1.93
27,1.8
28,1.732
29,1.766
30,1.798
31,1.8
32,1.99
33,1.7380000000000002
34,1.76
35,1.7719999999999998
36,1.764
37,1.732
38,2.0
39,1.7
40,1.798
41,1.732
42,1.764
43,1.7619999999999998
44,1.97
45,1.7280000000000002
46,1.806
47,1.8
48,1.86
49,1.7380000000000002
50,1.992
51,1.702
52,1.766
53,1.76
54,1.832
55,1.774
56,1.998
57,1.7919999999999998
58,1.798
59,1.838
60,1.798
61,1.764
62,2.032
63,1.83
64,1.766
65,1.954
66,1.702
67,1.866
68,1.966
69,1.83
70,1.76
71,1.836
72,1.766
73,1.826
74,1.904
75,1.83
76,1.732
77,1.826
78,1.704
79,1.766
80,1.958
81,1.764
82,1.768
83,1.7719999999999998
84,1.788
85,1.67
86,1.866
87,1.732
88,1.726
89,1.706
90,1.834
91,1.734
92,1.968
93,1.966
94,2.0580000000000003
95,1.838
96,1.966
97,1.932
98,2.162
99,1.926
100,1.968
101,1.932
102,2.006
103,1.992
104,2.0340000000000003
105,1.704
106,1.834
107,1.732
108,1.824
109,1.704
110,1.966
111,1.766
112,1.8
113,1.764
114,1.858
115,1.84
116,2.0
117,1.8
118,1.76
119,1.806
120,1.766
121,1.8
122,1.966
123,1.796
124,1.798
125,1.794
126,1.84
127,1.766
128,1.962
129,1.766
130,1.756
131,1.7380000000000002
132,1.7280000000000002
133,1.832
134,2.0
135,1.7
136,1.774
137,1.8
138,1.732
139,1.8
140,2.06
141,1.798
142,1.764
143,1.67
144,1.86
145,1.83
146,1.942
147,1.766
148,1.766
149,1.76
150,1.838
151,1.86
152,1.904
153,1.7619999999999998
154,1.86
155,1.7380000000000002
156,2.466
157,1.8
158,1.966
159,1.734
160,1.798
161,1.76
162,1.77
163,1.826
164,1.94
165,1.766
166,1.8
167,1.794
168,1.798
169,1.7719999999999998
170,2.032
171,1.798
172,1.832
173,1.796
174,1.798
175,1.7919999999999998
176,2.102
177,1.7380000000000002
178,1.768
179,1.888
180,1.702
181,1.958
182,1.866
183,1.734
184,1.766
185,1.824
186,1.7380000000000002
187,1.7919999999999998
188,2.036
189,1.73
190,1.7380000000000002
191,1.794
192,1.7380000000000002
193,1.796
194,1.926
195,1.866
196,1.732
197,1.8
198,1.7719999999999998
199,1.89
200,1.9
201,1.8
202,1.768
203,1.858
204,1.7380000000000002
205,1.8
206,1.962
207,1.824
208,1.7719999999999998
209,1.766
210,1.832
211,1.822
212,1.938
213,1.7919999999999998
214,1.83
215,1.704
216,1.8
217,1.76
218,2.008
219,1.76
220,1.802
221,1.756
222,1.838
223,1.768
224,2.026
225,1.798
226,1.764
227,1.774
228,1.858
229,1.73
230,1.872
231,1.758
232,1.828
233,2.0980000000000003
234,1.706
235,1.858
236,1.874
237,1.764
238,1.76
239,1.706
240,1.766
241,1.7919999999999998
242,1.876
243,1.7919999999999998
244,1.706
245,1.86
246,1.732
247,1.764
248,1.976
249,1.892
250,1.636
251,1.794
252,1.736
253,1.76
254,1.934
255,1.83
256,1.726
257,1.7719999999999998
258,1.866
259,1.766
260,1.996
261,1.8
262,1.856
263,1.704
264,1.798
265,1.764
266,2.092
267,1.6980000000000002
268,1.806
269,1.768
270,1.866
271,1.798
272,2.06
273,1.77
274,1.828
275,1.7719999999999998
276,1.8
277,1.794
278,1.976
279,1.826
280,1.736
281,1.7919999999999998
282,1.836
283,1.764
284,1.994
285,1.84
286,1.834
287,1.798
288,1.826
289,1.7719999999999998
290,1.89
291,1.8
292,1.732
293,1.7619999999999998
294,1.798
295,1.766
296,1.976
297,1.83
298,1.734
299,1.798
300,1.764
301,1.83
302,1.93
303,1.86
304,1.704
305,1.798
306,1.832
307,1.798
308,1.93
