,value
0,2.296
1,2.144
2,2.274
3,2.066
4,2.35
5,2.136
6,2.366
7,2.252
8,2.4
9,2.18
10,2.352
11,3.434
12,2.43
13,2.0340000000000003
14,2.296
15,2.052
16,2.314
17,2.07
18,2.4
19,2.07
20,3.588
21,2.192
22,2.3
23,2.134
24,2.2840000000000003
25,2.12
26,2.35
27,2.166
28,2.314
29,2.186
30,2.33
31,2.108
32,2.3280000000000003
33,3.434
34,2.424
35,2.158
36,2.342
37,2.056
38,2.376
39,2.106
40,2.408
41,2.156
42,2.464
43,2.224
44,2.428
45,2.234
46,2.408
47,3.372
48,2.318
49,2.166
50,2.386
51,2.138
52,2.336
53,2.23
54,2.452
55,2.15
56,2.386
57,2.234
58,2.732
59,2.9160000000000004
60,2.246
61,2.084
62,2.248
63,2.096
64,2.266
65,2.504
66,52.26600000000001
67,54.806
68,55.736
69,11.058
70,20.216
71,71.306
72,55.49800000000001
73,25.366
74,6.994
75,5.034
76,5.45
77,5.4
78,5.65
79,7.992000000000001
80,5.42
81,7.802
82,5.666
83,5.164
84,7.2
85,5.082
86,5.546
87,5.282
88,5.566
89,4.002
90,3.512
91,1.98
92,2.278
93,2.016
94,3.524
95,2.0340000000000003
96,2.25
97,2.068
98,2.3040000000000003
99,2.092
100,2.332
101,2.124
102,53.692
103,51.466
104,51.85
105,5.372000000000001
106,3.002
107,3.984
108,3.2460000000000004
109,4.7
110,2.864
111,2.426
112,3.112
113,2.84
114,3.084
115,3.556
116,2.0340000000000003
117,2.064
118,3.534
119,2.27
120,2.292
121,2.09
122,2.234
123,4.73
124,2.634
125,2.766
126,2.7
127,2.728
128,2.616
129,2.474
130,3.79
131,2.458
132,2.422
133,2.434
134,2.452
135,2.2880000000000003
136,2.5780000000000003
137,2.396
138,2.768
139,2.346
140,2.464
141,3.5580000000000003
142,2.36
143,2.216
144,2.292
145,2.152
146,2.334
147,2.166
148,2.3680000000000003
149,2.052
150,2.342
151,2.386
152,2.318
153,2.08
154,2.766
155,2.898
156,2.2
157,2.086
158,2.25
159,2.066
160,2.168
161,2.08
162,2.266
163,2.084
164,2.218
165,2.148
166,3.506
167,2.182
168,2.236
169,2.132
170,2.3
171,2.086
172,2.202
173,2.064
174,2.296
175,2.08
176,2.264
177,3.352
178,2.334
179,1.998
180,2.26
181,1.988
182,2.184
183,1.996
184,2.216
185,2.0
186,2.198
187,1.966
188,2.164
189,3.298
190,2.18
191,1.984
192,2.258
193,1.952
194,2.184
195,1.984
196,2.22
197,1.958
198,2.234
199,2.132
200,2.264
201,2.0
202,2.218
203,3.378
204,2.292
205,2.0780000000000003
206,2.542
207,2.018
208,2.144
209,2.048
210,2.296
211,2.164
212,2.366
213,2.114
214,3.61
215,2.05
216,2.376
217,2.066
218,2.18
219,2.068
220,2.214
221,2.048
222,2.356
223,2.108
224,2.3
225,2.044
226,2.312
227,3.318
