,value
0,33.4447
1,33.4447
2,35.9521
3,30.7692
4,33.4447
5,33.4427
6,35.8336
7,33.4447
8,33.3333
9,35.9543
10,30.7692
11,33.4447
12,33.4427
13,33.6667
14,33.554
15,35.7143
16,30.7692
17,33.4427
18,33.3333
19,35.9557
20,30.7692
21,33.556
22,33.3333
23,35.7143
24,35.9507
25,33.3333
26,33.5553
27,35.8336
28,31.0262
29,33.3333
30,33.446
31,33.4447
32,35.7143
33,33.615
34,33.3333
35,33.4447
36,35.835
37,33.3333
38,33.446
39,33.446
40,35.8336
41,30.8954
42,33.4447
43,33.3333
44,35.835
45,33.4742
46,33.446
47,33.4447
48,35.835
49,30.7692
50,33.4427
51,33.4427
52,35.8336
53,30.7692
54,33.4447
55,33.3333
56,35.8336
57,30.8954
58,33.4447
59,33.4447
60,35.7143
61,30.8977
62,33.554
63,33.446
64,35.9543
65,30.7692
66,33.4447
67,33.4447
68,35.7143
69,31.0277
70,33.3333
71,33.552
72,35.7143
73,30.7692
74,33.556
75,33.554
76,35.7143
77,30.7692
78,33.5573
79,33.3333
80,35.8336
81,30.7692
82,33.4427
83,33.4447
84,35.7143
85,35.9507
86,33.4725
87,33.4447
88,35.7143
89,35.9507
90,33.3333
91,33.446
92,35.8336
93,35.8314
94,33.4447
95,33.3333
96,35.835
97,35.8336
98,33.6092
99,33.3333
100,33.554
101,35.7143
102,33.4742
103,33.4447
104,33.4447
105,35.8314
106,33.3333
107,33.446
108,33.4427
109,35.835
110,33.4725
111,33.554
112,33.3333
113,35.8314
114,30.8977
115,33.3333
116,33.556
117,33.3333
118,35.8314
119,33.4725
120,33.446
121,33.4427
122,35.8336
123,30.8992
124,33.4427
125,33.4447
126,35.8314
127,30.7692
128,33.4447
129,33.4447
130,35.9486
131,30.7692
132,33.4447
133,33.446
134,35.9529
135,30.7692
136,33.446
137,33.446
138,35.7143
139,35.8336
140,33.3333
141,33.5587
142,35.7143
143,35.7143
144,33.554
145,33.3333
146,35.9529
147,30.8977
148,36.5487
149,35.7893
150,33.446
151,35.8336
152,33.3333
153,35.6667
154,33.3333
155,35.8336
156,33.75
157,36.4447
158,33.554
159,35.7143
160,30.8977
161,33.3333
162,33.5553
163,35.7143
164,30.7692
165,33.4427
166,33.3333
167,35.9507
168,30.7692
169,33.4427
170,33.4447
171,35.9557
172,30.7692
173,33.5573
174,33.3333
175,35.7143
176,31.0254
177,33.3333
178,33.4447
179,35.8314
180,31.5338
181,33.4427
182,33.4447
183,35.8336
184,30.8954
185,33.4427
186,33.3333
187,35.835
188,30.8954
189,33.446
190,33.4447
191,35.8314
192,30.7692
193,33.4447
194,33.554
195,35.8314
196,30.7692
197,33.446
198,33.446
199,35.8336
200,30.8992
201,33.3333
202,33.556
203,35.7143
204,34.0167
205,33.8873
206,33.554
207,35.7143
208,31.0238
209,33.3333
210,33.446
211,35.835
212,33.3333
213,33.554
214,33.3333
215,35.8314
216,33.3333
217,33.3333
218,33.552
219,35.9486
220,35.7143
221,33.3333
222,33.5573
223,35.7143
224,31.0277
225,33.3333
226,33.4427
227,33.446
228,33.3333
229,35.9521
230,35.835
231,35.835
232,30.7692
233,33.6092
234,33.3333
235,33.4427
236,33.446
237,33.4447
238,33.446
239,35.7143
240,35.835
241,30.8977
242,33.6133
243,36.9153
244,33.3333
245,33.446
246,33.446
247,35.7143
248,35.9486
249,30.7692
250,33.47
251,33.4447
252,33.4427
253,35.8314
254,33.5587
255,35.8314
256,35.8314
257,30.7692
258,33.554
259,33.3333
260,33.446
261,35.8336
262,35.835
263,35.835
264,30.8954
265,33.4447
266,33.4447
267,33.4427
268,35.8336
269,35.8336
270,35.7143
271,30.8992
272,33.4427
273,33.446
274,33.4447
275,33.4447
276,35.7143
277,35.9507
278,30.8977
279,30.8992
280,33.3333
281,33.554
282,33.3333
283,33.4427
284,33.4427
285,35.7143
286,36.07
287,30.7692
288,33.4725
289,33.3333
290,33.554
291,33.4447
292,35.835
293,35.7143
294,35.9529
295,33.47
296,33.3333
297,33.556
298,33.3333
299,35.9543
300,35.7143
301,35.7143
302,31.0262
303,33.3333
304,33.4725
305,33.3333
306,33.4427
307,33.4427
308,33.4427
309,35.835
310,35.7143
311,30.8992
312,33.4725
313,33.4427
314,33.4447
315,33.4427
316,33.4447
317,35.8336
318,35.7143
319,35.7143
320,30.8977
321,33.4447
322,33.4427
323,33.3333
324,33.554
325,35.7143
326,35.9557
327,30.7692
328,33.4725
329,33.3333
330,33.554
331,35.7143
332,35.7143
333,35.8314
334,30.7692
335,33.556
336,33.4427
337,33.5573
338,33.446
339,35.7143
340,35.9543
341,35.835
342,30.7692
343,33.3333
344,33.5573
345,33.3333
346,33.4427
347,35.8336
348,35.8336
349,35.7143
350,30.7692
351,33.4742
352,33.5553
353,33.3333
354,33.4447
355,33.4427
356,35.8336
357,35.835
358,30.7692
359,33.47
360,33.3333
361,33.4447
362,33.446
363,35.7143
364,35.9507
365,35.7143
366,30.8992
367,33.3333
368,33.5573
369,33.3333
370,33.4427
371,35.835
372,35.7143
373,31.0254
374,33.3333
375,33.446
376,33.4447
377,33.554
378,33.3333
379,35.8314
380,35.8314
381,35.7143
382,31.0238
383,34.2153
384,33.5573
385,33.3333
386,35.7143
387,36.0721
388,35.9557
389,30.7692
390,33.3333
391,33.4427
392,33.3333
393,33.554
394,33.3333
395,35.8314
396,35.8336
397,30.7692
398,33.556
399,33.3333
400,33.556
401,33.3333
402,35.8336
403,35.7143
404,35.8336
405,33.4725
406,33.446
407,35.4613
408,38.2036
409,33.5593
410,35.8336
411,35.8314
412,35.8336
413,33.4725
414,33.446
415,33.554
416,33.3333
417,33.5573
418,35.7143
419,35.835
420,30.8977
421,33.3333
422,33.556
423,33.3333
424,33.556
425,36.3193
426,35.8336
427,30.8977
428,33.4725
429,33.4427
430,35.7143
431,33.554
432,33.3333
433,35.7143
434,35.8314
435,35.7143
436,31.0277
437,33.3333
438,33.4427
439,33.3333
440,33.552
441,33.3333
442,33.4427
443,35.8336
444,35.7143
445,31.0254
446,33.3333
447,33.4447
448,35.9543
449,33.3333
450,33.3333
451,33.554
452,35.7143
453,35.9507
454,35.7143
455,33.4742
456,33.4427
457,33.3333
458,33.4447
459,33.4447
460,35.9507
461,35.7143
462,35.8336
463,30.7692
464,33.4447
465,33.4447
466,33.4447
467,33.4447
468,35.7143
469,35.835
