,value
0,33.5573
1,33.446
2,33.4447
3,33.3333
4,33.4447
5,33.4447
6,33.446
7,33.4427
8,33.3333
9,33.554
10,33.3333
11,33.4427
12,33.4427
13,33.5573
14,33.3333
15,33.4447
16,33.446
17,33.3333
18,33.5553
19,33.3333
20,33.6647
21,33.3333
22,33.3333
23,33.5587
24,33.5587
25,33.3333
26,33.4447
27,33.4427
28,33.3333
29,33.554
30,33.3333
31,33.4447
32,33.4447
33,33.446
34,33.4427
35,33.3333
36,33.5587
37,35.222
38,33.3333
39,33.3333
40,33.5553
41,33.3333
42,35.2507
43,33.3333
44,33.4447
45,33.4447
46,33.4447
47,33.4447
48,33.554
49,33.3333
50,33.4427
51,33.4447
52,33.5573
53,33.3333
54,33.4427
55,33.4447
56,33.4427
57,33.446
58,33.3333
59,33.4427
60,33.4427
61,33.5573
62,33.3333
63,33.446
64,33.446
65,33.4447
66,33.446
67,33.3333
68,33.554
69,33.3333
70,33.5553
71,33.3333
72,33.554
73,33.3333
74,33.5553
75,33.3333
76,33.3333
77,33.5553
78,33.3333
79,33.4447
80,33.4427
81,33.4447
82,33.446
83,33.3333
84,33.556
85,33.446
86,33.4447
87,33.3333
88,33.446
89,33.4427
90,33.4447
91,33.446
92,33.446
93,33.3333
94,33.554
95,33.3333
96,33.5553
97,33.4447
98,33.5573
99,33.3333
100,33.4447
101,33.4427
102,33.3333
103,33.556
104,33.3333
105,33.446
106,33.446
107,33.3333
108,33.5573
109,33.446
110,33.4427
111,33.3333
112,33.5587
113,33.3333
114,33.556
115,33.3333
116,33.3333
117,33.5573
118,33.3333
119,33.554
120,33.3333
121,33.556
122,33.3333
123,33.554
124,33.3333
125,33.3333
126,33.5587
127,33.3333
128,33.556
129,33.3333
130,33.3333
131,33.672
132,33.554
133,33.3333
134,33.4427
135,34.7767
136,34.452
137,34.2133
138,33.4427
139,33.4427
140,33.3333
141,33.4447
142,33.4427
143,33.4447
144,33.552
145,33.4447
146,33.3333
147,33.552
148,33.3333
149,33.5573
150,33.3333
151,33.3333
152,33.554
153,33.3333
154,33.554
155,33.3333
156,33.552
157,33.3333
