,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,AnDePeDPro,n_bytes_origdata,0,206437830,-0.9327958322577089,1.0
1,AnDePeDPro,n_bytes_origdata,1,416708062,-0.8168630586233192,1.0
2,AnDePeDPro,n_bytes_origdata,2,1648205236,-0.13787544470023888,1.0
3,AnDePeDPro,n_bytes_origdata,3,3468605008,0.865804404244668,1.0
4,AnDePeDPro,n_bytes_origdata,4,7831268053,0.9565706992173157,1.0
5,AnDePeDPro,n_bytes_origdata,5,9738803573,0.9565706992173157,1.0
6,AnDePeDPro,n_bytes_origdata,6,9792691688,0.956570699217316,1.0
7,AnDePeDPro,n_bytes_origdata,7,13056082897,0.9565706992173155,1.0
8,AnDePeDPro,n_bytes_origdata,8,11206049432,0.6730472669098875,1.0
9,AnDePeDPro,n_bytes_origdata,9,12858377498,0.926271726592953,1.0
10,AnDePeDPro,n_bytes_origdata,10,11815777748,0.7664900441341083,1.0
11,AnDePeDPro,n_bytes_origdata,11,10516885922,0.5674307970066068,1.0
12,AnDePeDPro,n_bytes_origdata,12,8756141650,0.29759121363826807,1.0
13,AnDePeDPro,n_bytes_origdata,13,8623219002,0.27722040083659166,1.0
14,AnDePeDPro,n_bytes_origdata,14,5179709556,-0.2505082245009886,1.0
15,AnDePeDPro,n_bytes_origdata,15,3934780105,-0.4412975683727342,1.0
16,AnDePeDPro,n_bytes_origdata,16,3993429921,-0.43230930007861496,1.0
17,AnDePeDPro,n_bytes_origdata,17,3157240478,-0.560457955453666,1.0
18,AnDePeDPro,n_bytes_origdata,18,2454335594,-0.6681803340309284,1.0
19,AnDePeDPro,n_bytes_origdata,19,3754149390,-0.4689797921085869,1.0
20,AnDePeDPro,n_bytes_origdata,20,1693143896,-0.7848353497070255,1.0
21,AnDePeDPro,n_bytes_origdata,21,1752719626,-0.7757051821876932,1.0
22,AnDePeDPro,n_bytes_origdata,22,1197666888,-0.8607687555589975,1.0
23,AnDePeDPro,n_bytes_origdata,23,281415092,-1.001187217697338,1.0
24,AnDePeDPro,n_bytes_origdata,24,430879055,-0.9782813964796496,1.0
25,AnDePeDPro,n_bytes_origdata,25,555788234,-0.9591386729415201,1.0
26,AnDePeDPro,n_bytes_origdata,26,1205423721,-0.859579996567551,1.0
27,AnDePeDPro,n_bytes_origdata,27,3668194862,-0.48215259317514764,1.0
28,AnDePeDPro,n_bytes_origdata,28,6227584339,-0.08991812668642746,1.0
29,AnDePeDPro,n_bytes_origdata,29,10930068775,0.6307523654373355,1.0
30,AnDePeDPro,n_bytes_origdata,30,12085835115,0.8078771828320273,1.0
31,AnDePeDPro,n_bytes_origdata,31,14506739432,0.956570699217316,1.0
32,AnDePeDPro,n_bytes_origdata,32,9962214688,0.3297812129177557,1.0
33,AnDePeDPro,n_bytes_origdata,33,10593422385,0.41683857764512394,1.0
34,AnDePeDPro,n_bytes_origdata,34,9276193945,0.23516392875321984,1.0
35,AnDePeDPro,n_bytes_origdata,35,15724849570,0.956570699217316,1.0
36,AnDePeDPro,n_bytes_origdata,36,10087807385,0.23934735071691277,1.0
37,AnDePeDPro,n_bytes_origdata,37,7640910080,-0.07198114762192159,1.0
38,AnDePeDPro,n_bytes_origdata,38,5477681387,-0.34721735764961187,1.0
39,AnDePeDPro,n_bytes_origdata,39,3503649833,-0.5983812614736408,1.0
40,AnDePeDPro,n_bytes_origdata,40,2952236359,-0.6685397959055629,1.0
41,AnDePeDPro,n_bytes_origdata,41,3988926677,-0.5366375541213092,1.0
42,AnDePeDPro,n_bytes_origdata,42,3819461738,-0.558199253859236,1.0
43,AnDePeDPro,n_bytes_origdata,43,3150556669,-0.6433067122872898,1.0
44,AnDePeDPro,n_bytes_origdata,44,2499569979,-0.72613434392599,1.0
45,AnDePeDPro,n_bytes_origdata,45,1318044283,-0.8764645682197415,1.0
46,AnDePeDPro,n_bytes_origdata,46,913622952,-0.927920706333565,1.0
47,AnDePeDPro,n_bytes_origdata,47,954426741,-0.9227290776003336,1.0
48,AnDePeDPro,n_bytes_origdata,48,818114870,-0.9400725803364188,1.0
49,AnDePeDPro,n_bytes_origdata,49,581491140,-0.9701791607726721,1.0
50,AnDePeDPro,n_bytes_origdata,50,1397732103,-0.8663255692164731,1.0
51,AnDePeDPro,n_bytes_origdata,51,7434821015,-0.0982026809079311,1.0
52,AnDePeDPro,n_bytes_origdata,52,9009281065,0.10212214762466071,1.0
53,AnDePeDPro,n_bytes_origdata,53,12899724033,0.5971187151656585,1.0
54,AnDePeDPro,n_bytes_origdata,54,11199978965,0.38085337436122296,1.0
55,AnDePeDPro,n_bytes_origdata,55,12870766026,0.5934342724978878,1.0
56,AnDePeDPro,n_bytes_origdata,56,12045337232,0.48841167657751855,1.0
57,AnDePeDPro,n_bytes_origdata,57,13928201896,0.727976053562426,1.0
58,AnDePeDPro,n_bytes_origdata,58,12256535474,0.5152832708202781,1.0
59,AnDePeDPro,n_bytes_origdata,59,11214349930,0.3826818495260726,0.0
60,AnDePeDPro,n_bytes_origdata,60,9425526683,0.15508273690940805,0.0
61,AnDePeDPro,n_bytes_origdata,61,7513914133,-0.08813934821082131,0.0
62,AnDePeDPro,n_bytes_origdata,62,4389136141,-0.48571730863593127,0.0
63,AnDePeDPro,n_bytes_origdata,63,6407781655,-0.2288769928336118,0.0
64,AnDePeDPro,n_bytes_origdata,64,3900708335,-0.5478619254444048,0.0
65,AnDePeDPro,n_bytes_origdata,65,4336196844,-0.4924529864285568,0.0
66,AnDePeDPro,n_bytes_origdata,66,4668575860,-0.45016307923908466,0.0
67,AnDePeDPro,n_bytes_origdata,67,3085906126,-0.6515324585937864,0.0
68,AnDePeDPro,n_bytes_origdata,68,2748345729,-0.69448161354276,0.0
69,AnDePeDPro,n_bytes_origdata,69,1475183967,-0.8564710598084194,0.0
70,AnDePeDPro,n_bytes_origdata,70,1382681896,-0.8682404670486886,0.0
71,AnDePeDPro,n_bytes_origdata,71,1507016976,-0.8524208191753837,0.0
72,AnDePeDPro,n_bytes_origdata,72,813723326,-0.9406313339858323,0.0
73,AnDePeDPro,n_bytes_origdata,73,577681649,-0.9706638574986204,0.0
74,AnDePeDPro,n_bytes_origdata,74,1800947125,-0.8150229146055064,0.0
75,AnDePeDPro,n_bytes_origdata,75,3742029851,-0.568051221513944,0.0
76,AnDePeDPro,n_bytes_origdata,76,11515935685,0.4210538073653631,0.0
77,AnDePeDPro,n_bytes_origdata,77,10589209497,0.3031427401980746,0.0
78,AnDePeDPro,n_bytes_origdata,78,15262592713,0.897755916577045,0.0
79,AnDePeDPro,n_bytes_origdata,79,13268792856,0.6440768127586718,0.0
80,AnDePeDPro,n_bytes_origdata,80,12005652378,0.4833624144048196,0.0
81,AnDePeDPro,n_bytes_origdata,81,11064662825,0.3635326435506096,0.0
82,AnDePeDPro,n_bytes_origdata,82,9818759631,0.20498363078595067,0.0
83,AnDePeDPro,n_bytes_origdata,83,13171400988,0.6316283170394126,0.0
84,AnDePeDPro,n_bytes_origdata,84,8417315443,0.026641048856452083,0.0
85,AnDePeDPro,n_bytes_origdata,85,10685541577,0.3152870817140409,0.0
86,AnDePeDPro,n_bytes_origdata,86,5546236298,-0.33872181898201875,0.0
87,AnDePeDPro,n_bytes_origdata,87,4411073034,-0.483178479580248,0.0
88,AnDePeDPro,n_bytes_origdata,88,3872232245,-0.5517493569523464,0.0
89,AnDePeDPro,n_bytes_origdata,89,4385915042,-0.4863799921969186,0.0
90,AnDePeDPro,n_bytes_origdata,90,2952355429,-0.66880946382442,0.0
91,AnDePeDPro,n_bytes_origdata,91,2174521851,-0.7677936758250051,0.0
92,AnDePeDPro,n_bytes_origdata,92,2755485874,-0.6938623521539347,0.0
93,AnDePeDPro,n_bytes_origdata,93,1557827112,-0.846271957698331,0.0
94,AnDePeDPro,n_bytes_origdata,94,1077580642,-0.9073863396735106,0.0
95,AnDePeDPro,n_bytes_origdata,95,235525327,-1.0145431713835702,0.0
96,AnDePeDPro,n_bytes_origdata,96,504350893,-0.9803334283630377,0.0
97,AnDePeDPro,n_bytes_origdata,97,1295133801,-0.8797013327248224,0.0
98,AnDePeDPro,n_bytes_origdata,98,1715655970,-0.826187243458748,0.0
99,AnDePeDPro,n_bytes_origdata,99,2785378348,-0.6900583469434036,0.0
100,AnDePeDPro,n_bytes_origdata,100,5909928118,-0.2924397488426416,0.0
101,AnDePeDPro,n_bytes_origdata,101,9142657011,0.11894532263742902,0.0
102,AnDePeDPro,n_bytes_origdata,102,8290522011,0.010505787653611827,1.0
103,AnDePeDPro,n_bytes_origdata,103,6209037313,-0.2543762236791594,1.0
104,AnDePeDPro,n_bytes_origdata,104,7507578839,-0.08912865230066153,1.0
105,AnDePeDPro,n_bytes_origdata,105,7793717442,-0.05300093177188952,1.0
106,AnDePeDPro,n_bytes_origdata,106,9478760721,0.16139693462225074,1.0
107,AnDePeDPro,n_bytes_origdata,107,4180182520,-0.5131516472098928,1.0
108,AnDePeDPro,n_bytes_origdata,108,4575345324,-0.462844470658133,1.0
109,AnDePeDPro,n_bytes_origdata,109,5683870356,-0.32172095414196494,1.0
110,AnDePeDPro,n_bytes_origdata,110,2609814946,-0.7130711689783862,0.0
111,AnDePeDPro,n_bytes_origdata,111,1843777502,-0.8105934573883219,0.0
112,AnDePeDPro,n_bytes_origdata,112,1374516978,-0.8703338271566247,0.0
113,AnDePeDPro,n_bytes_origdata,113,3559634202,-0.5921520831733031,0.0
114,AnDePeDPro,n_bytes_origdata,114,3756381367,-0.567104699498717,0.0
115,AnDePeDPro,n_bytes_origdata,115,3694125042,-0.575030394684438,0.0
116,AnDePeDPro,n_bytes_origdata,116,2320188230,-0.7499428132435646,0.0
117,AnDePeDPro,n_bytes_origdata,117,742242201,-0.9508271289395618,0.0
118,AnDePeDPro,n_bytes_origdata,118,633174839,-0.9647122187826045,0.0
119,AnDePeDPro,n_bytes_origdata,119,557567875,-0.9743375500333934,0.0
120,AnDePeDPro,n_bytes_origdata,120,389677036,-0.9957113078706723,0.0
121,AnDePeDPro,n_bytes_origdata,121,407466165,-0.9934466188760446,0.0
122,AnDePeDPro,n_bytes_origdata,122,229300741,-1.0161284081281199,0.0
123,AnDePeDPro,n_bytes_origdata,123,1113000360,-0.9036268459827214,0.0
124,AnDePeDPro,n_bytes_origdata,124,1421448336,-0.8643591147372851,0.0
125,AnDePeDPro,n_bytes_origdata,125,1117262852,-0.9030841989131493,0.0
126,AnDePeDPro,n_bytes_origdata,126,2082876592,-0.7801543573206062,0.0
127,AnDePeDPro,n_bytes_origdata,127,2651533769,-0.7077600511987061,0.0
128,AnDePeDPro,n_bytes_origdata,128,2436512632,-0.7351338480032736,0.0
129,AnDePeDPro,n_bytes_origdata,129,9353485292,0.1454484367866588,0.0
130,AnDePeDPro,n_bytes_origdata,130,2240476488,-0.7600907133937072,0.0
131,AnDePeDPro,n_bytes_origdata,131,2015937192,-0.7886762429332734,0.0
132,AnDePeDPro,n_bytes_origdata,132,1618349298,-0.839292151555838,0.0
133,AnDePeDPro,n_bytes_origdata,133,1385033717,-0.8689949677288993,0.0
134,AnDePeDPro,n_bytes_origdata,134,964464504,-0.9225365699152875,0.0
135,AnDePeDPro,n_bytes_origdata,135,2050043324,-0.7843342775796174,0.0
136,AnDePeDPro,n_bytes_origdata,136,2622939831,-0.7114002730837499,0.0
137,AnDePeDPro,n_bytes_origdata,137,4801164655,-0.43409598310205905,0.0
138,AnDePeDPro,n_bytes_origdata,138,3582092600,-0.5892929613586505,0.0
139,AnDePeDPro,n_bytes_origdata,139,4276468341,-0.5008937430057356,0.0
140,AnDePeDPro,n_bytes_origdata,140,2278856656,-0.7552046313330529,0.0
141,AnDePeDPro,n_bytes_origdata,141,1366475818,-0.8713575268867262,0.0
142,AnDePeDPro,n_bytes_origdata,142,514385632,-0.9798349721098447,0.0
143,AnDePeDPro,n_bytes_origdata,143,760799431,-0.9484646549504319,0.0
144,AnDePeDPro,n_bytes_origdata,144,246550778,-1.0139323495717498,0.0
145,AnDePeDPro,n_bytes_origdata,145,687908211,-0.9577442517052246,0.0
146,AnDePeDPro,n_bytes_origdata,146,475780802,-0.9847496553211742,0.0
147,AnDePeDPro,n_bytes_origdata,147,788633103,-0.944921220605868,0.0
148,AnDePeDPro,n_bytes_origdata,148,709927919,-0.9549409784042936,0.0
149,AnDePeDPro,n_bytes_origdata,149,1079258978,-0.9079223759369384,0.0
150,AnDePeDPro,n_bytes_origdata,150,2642029623,-0.7089699999741372,0.0
151,AnDePeDPro,n_bytes_origdata,151,2730701396,-0.6976814209522397,0.0
152,AnDePeDPro,n_bytes_origdata,152,3725242617,-0.5737195909061155,0.0
153,AnDePeDPro,n_bytes_origdata,153,2925500574,-0.6786112718156735,0.0
154,AnDePeDPro,n_bytes_origdata,154,3214575037,-0.6416805380469978,0.0
155,AnDePeDPro,n_bytes_origdata,155,3637136370,-0.5876961773116819,0.0
156,AnDePeDPro,n_bytes_origdata,156,2237586521,-0.7664957929297841,0.0
157,AnDePeDPro,n_bytes_origdata,157,2893063708,-0.682755246520683,0.0
158,AnDePeDPro,n_bytes_origdata,158,2004816798,-0.7962333096246483,0.0
159,AnDePeDPro,n_bytes_origdata,159,3269736996,-0.6346333170616297,0.0
160,AnDePeDPro,n_bytes_origdata,160,3047424723,-0.6630348413002898,0.0
161,AnDePeDPro,n_bytes_origdata,161,3054159683,-0.6621744158856011,0.0
162,AnDePeDPro,n_bytes_origdata,162,3224084785,-0.6404656193442164,0.0
163,AnDePeDPro,n_bytes_origdata,163,3769496909,-0.5707864448622699,0.0
164,AnDePeDPro,n_bytes_origdata,164,3567984924,-0.5965306264547906,0.0
165,AnDePeDPro,n_bytes_origdata,165,1108414176,-0.9107533064416098,0.0
166,AnDePeDPro,n_bytes_origdata,166,1259742795,-0.8914203052422947,0.0
167,AnDePeDPro,n_bytes_origdata,167,903423053,-0.9369419656192102,0.0
168,AnDePeDPro,n_bytes_origdata,168,893148008,-0.9382546549083923,0.0
169,AnDePeDPro,n_bytes_origdata,169,1159453075,-0.9042328273537862,0.0
170,AnDePeDPro,n_bytes_origdata,170,2092256708,-0.7850624161342503,0.0
171,AnDePeDPro,n_bytes_origdata,171,5607457008,-0.33597768870584027,0.0
172,AnDePeDPro,n_bytes_origdata,172,7446129536,-0.10107791611905886,0.0
173,AnDePeDPro,n_bytes_origdata,173,11967233498,0.4765161232448644,0.0
174,AnDePeDPro,n_bytes_origdata,174,15930616341,0.956570699217316,0.0
175,AnDePeDPro,n_bytes_origdata,175,13641519984,0.6679209665532206,0.0
176,AnDePeDPro,n_bytes_origdata,176,11973770308,0.4576216068709879,0.0
177,AnDePeDPro,n_bytes_origdata,177,16420910188,0.9565706992173157,0.0
178,AnDePeDPro,n_bytes_origdata,178,13322014663,0.5743324793629343,0.0
179,AnDePeDPro,n_bytes_origdata,179,12500782160,0.47303624413949014,0.0
180,AnDePeDPro,n_bytes_origdata,180,9311330078,0.07962818107336539,0.0
181,AnDePeDPro,n_bytes_origdata,181,6315187564,-0.28993580446351147,0.0
182,AnDePeDPro,n_bytes_origdata,182,4246068019,-0.5451546607193087,0.0
183,AnDePeDPro,n_bytes_origdata,183,5152432287,-0.43335771192093325,0.0
184,AnDePeDPro,n_bytes_origdata,184,3960578713,-0.580368795314215,0.0
185,AnDePeDPro,n_bytes_origdata,185,4464724045,-0.5181841838302328,0.0
186,AnDePeDPro,n_bytes_origdata,186,4160694733,-0.5556851650878801,0.0
187,AnDePeDPro,n_bytes_origdata,187,3106909440,-0.685665995759817,0.0
188,AnDePeDPro,n_bytes_origdata,188,3238988887,-0.6693744453369834,0.0
189,AnDePeDPro,n_bytes_origdata,189,1439017785,-0.8913947568535551,0.0
190,AnDePeDPro,n_bytes_origdata,190,1125441067,-0.9300733781588343,0.0
191,AnDePeDPro,n_bytes_origdata,191,1373264643,-0.899505183211963,0.0
192,AnDePeDPro,n_bytes_origdata,192,497314609,-1.0075506397226486,0.0
193,AnDePeDPro,n_bytes_origdata,193,745736430,-0.976908653290394,0.0
194,AnDePeDPro,n_bytes_origdata,194,1806986803,-0.846007030398374,0.0
195,AnDePeDPro,n_bytes_origdata,195,3714030384,-0.6107796928823195,0.0
196,AnDePeDPro,n_bytes_origdata,196,6720557976,-0.23993474330656356,0.0
197,AnDePeDPro,n_bytes_origdata,197,10000907404,0.16468519813501165,0.0
198,AnDePeDPro,n_bytes_origdata,198,16342948121,0.9469543434977254,0.0
199,AnDePeDPro,n_bytes_origdata,199,12039892484,0.4161870706574306,0.0
200,AnDePeDPro,n_bytes_origdata,200,10830384609,0.26602469793196265,0.0
201,AnDePeDPro,n_bytes_origdata,201,9386508931,0.0876760683252224,0.0
202,AnDePeDPro,n_bytes_origdata,202,11126193097,0.30256318892858286,0.0
203,AnDePeDPro,n_bytes_origdata,203,12414365364,0.46167921395581385,0.0
204,AnDePeDPro,n_bytes_origdata,204,7207484013,-0.18147875845498168,0.0
205,AnDePeDPro,n_bytes_origdata,205,4529072159,-0.5123182420489069,0.0
206,AnDePeDPro,n_bytes_origdata,206,3431537703,-0.647886538652473,0.0
207,AnDePeDPro,n_bytes_origdata,207,3746700789,-0.6089573528872625,0.0
208,AnDePeDPro,n_bytes_origdata,208,3527949854,-0.6359776359191671,0.0
209,AnDePeDPro,n_bytes_origdata,209,3698735629,-0.614882046186839,0.0
210,AnDePeDPro,n_bytes_origdata,210,3388957631,-0.6531460617578663,0.0
211,AnDePeDPro,n_bytes_origdata,211,2449272297,-0.7692167139158093,0.0
212,AnDePeDPro,n_bytes_origdata,212,1671043230,-0.8653441643150271,0.0
213,AnDePeDPro,n_bytes_origdata,213,1081627890,-0.9381491985433209,0.0
214,AnDePeDPro,n_bytes_origdata,214,776978418,-0.975779734654905,0.0
215,AnDePeDPro,n_bytes_origdata,215,411265058,-1.0209529289809034,0.0
216,AnDePeDPro,n_bytes_origdata,216,317082454,-1.0325864363611656,0.0
217,AnDePeDPro,n_bytes_origdata,217,100523150,-1.0434293007826843,0.0
218,AnDePeDPro,n_bytes_origdata,218,856342719,-0.9508065502020555,0.0
219,AnDePeDPro,n_bytes_origdata,219,2851523079,-0.7063049516364739,0.0
220,AnDePeDPro,n_bytes_origdata,220,9050162134,0.053314172660914046,0.0
221,AnDePeDPro,n_bytes_origdata,221,6824981548,-0.21937305967235637,0.0
222,AnDePeDPro,n_bytes_origdata,222,9668333683,0.1290686933791622,0.0
223,AnDePeDPro,n_bytes_origdata,223,10220932961,0.19678758714232364,0.0
224,AnDePeDPro,n_bytes_origdata,224,11642030687,0.3709375901650646,0.0
225,AnDePeDPro,n_bytes_origdata,225,7453973894,-0.1422924923383257,0.0
226,AnDePeDPro,n_bytes_origdata,226,10518042615,0.23319722048106944,0.0
227,AnDePeDPro,n_bytes_origdata,227,7125056510,-0.1826000393633021,0.0
228,AnDePeDPro,n_bytes_origdata,228,5026533134,-0.4397659228823447,0.0
229,AnDePeDPro,n_bytes_origdata,229,5124533805,-0.4277563215448497,0.0
230,AnDePeDPro,n_bytes_origdata,230,3172535686,-0.6669661043098066,0.0
231,AnDePeDPro,n_bytes_origdata,231,4539171706,-0.4994901716841947,0.0
232,AnDePeDPro,n_bytes_origdata,232,2808994921,-0.7115166121076353,0.0
233,AnDePeDPro,n_bytes_origdata,233,1968605025,-0.8145031275675022,0.0
234,AnDePeDPro,n_bytes_origdata,234,2110753476,-0.7970833873776373,0.0
235,AnDePeDPro,n_bytes_origdata,235,1577816329,-0.8623927634064191,0.0
236,AnDePeDPro,n_bytes_origdata,236,1603861250,-0.8592010595651612,0.0
237,AnDePeDPro,n_bytes_origdata,237,1438889344,-0.8794177254586703,0.0
238,AnDePeDPro,n_bytes_origdata,238,519505270,-0.9920846704103221,0.0
239,AnDePeDPro,n_bytes_origdata,239,616878198,-0.9801519965376647,0.0
240,AnDePeDPro,n_bytes_origdata,240,523591448,-0.9915839251779345,0.0
241,AnDePeDPro,n_bytes_origdata,241,913961316,-0.9437456150825829,0.0
242,AnDePeDPro,n_bytes_origdata,242,772875896,-0.9610350849550192,0.0
243,AnDePeDPro,n_bytes_origdata,243,1201508321,-0.9085078472121908,0.0
244,AnDePeDPro,n_bytes_origdata,244,7956309135,-0.080733260951181,0.0
245,AnDePeDPro,n_bytes_origdata,245,6695579504,-0.23523077722509617,0.0
246,AnDePeDPro,n_bytes_origdata,246,5667985510,-0.3611584272994938,0.0
247,AnDePeDPro,n_bytes_origdata,247,7275280598,-0.16419066124619958,0.0
248,AnDePeDPro,n_bytes_origdata,248,9464355577,0.10407196927880075,0.0
249,AnDePeDPro,n_bytes_origdata,249,9133671474,0.06354791770697926,0.0
250,AnDePeDPro,n_bytes_origdata,250,7512944192,-0.1350659115148814,0.0
251,AnDePeDPro,n_bytes_origdata,251,7438553553,-0.14418219519452585,0.0
252,AnDePeDPro,n_bytes_origdata,252,9781071617,0.14288428901883704,0.0
253,AnDePeDPro,n_bytes_origdata,253,4061532826,-0.558022960016711,0.0
254,AnDePeDPro,n_bytes_origdata,254,3240282361,-0.6586640125956505,0.0
255,AnDePeDPro,n_bytes_origdata,255,2922629307,-0.6975911597595486,0.0
256,AnDePeDPro,n_bytes_origdata,256,1907827306,-0.8219512008096976,0.0
257,AnDePeDPro,n_bytes_origdata,257,1546415931,-0.8662407601392035,0.0
258,AnDePeDPro,n_bytes_origdata,258,3044704505,-0.682631318707279,0.0
259,AnDePeDPro,n_bytes_origdata,259,2641048858,-0.7320977493820098,0.0
260,AnDePeDPro,n_bytes_origdata,260,2402845642,-0.7612886276921103,0.0
261,AnDePeDPro,n_bytes_origdata,261,1203386167,-0.9082777244834066,0.0
262,AnDePeDPro,n_bytes_origdata,262,610949894,-0.9808784871516675,0.0
263,AnDePeDPro,n_bytes_origdata,263,176820680,-1.0340793350223931,0.0
264,AnDePeDPro,n_bytes_origdata,264,62152082,-1.0434293007826843,0.0
265,AnDePeDPro,n_bytes_origdata,265,567488810,-0.981647504789912,0.0
266,AnDePeDPro,n_bytes_origdata,266,791677098,-0.9542385429913055,0.0
267,AnDePeDPro,n_bytes_origdata,267,2184666038,-0.7839335686193102,0.0
268,AnDePeDPro,n_bytes_origdata,268,4493917618,-0.5016075430082313,0.0
269,AnDePeDPro,n_bytes_origdata,269,6734088594,-0.22772722012744268,0.0
270,AnDePeDPro,n_bytes_origdata,270,7288081387,-0.15999679836678243,0.0
271,AnDePeDPro,n_bytes_origdata,271,6685033027,-0.23372468847829603,0.0
272,AnDePeDPro,n_bytes_origdata,272,5596545888,-0.3668016778129288,0.0
273,AnDePeDPro,n_bytes_origdata,273,6290787852,-0.2819245790134339,0.0
274,AnDePeDPro,n_bytes_origdata,274,4986701179,-0.4413604805103442,0.0
275,AnDePeDPro,n_bytes_origdata,275,3659118719,-0.6036689456637074,0.0
276,AnDePeDPro,n_bytes_origdata,276,4593399123,-0.489445066571403,0.0
277,AnDePeDPro,n_bytes_origdata,277,2836598791,-0.7042291376624288,0.0
278,AnDePeDPro,n_bytes_origdata,278,2241735682,-0.7769563098775152,0.0
279,AnDePeDPro,n_bytes_origdata,279,1639152937,-0.8506272745186497,0.0
280,AnDePeDPro,n_bytes_origdata,280,1437129661,-0.8753263714416494,0.0
281,AnDePeDPro,n_bytes_origdata,281,1522378256,-0.8649039916439148,0.0
282,AnDePeDPro,n_bytes_origdata,282,1797551712,-0.831261651043613,0.0
283,AnDePeDPro,n_bytes_origdata,283,2192705204,-0.7829507108806104,0.0
284,AnDePeDPro,n_bytes_origdata,284,1725148120,-0.840113617865403,0.0
285,AnDePeDPro,n_bytes_origdata,285,2296652814,-0.7702422143888291,0.0
