,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,AnDePeD,n_bytes_origdata,0,206437830,-0.9327309180475181,1.0
1,AnDePeD,n_bytes_origdata,1,416708062,-0.8167981444131284,1.0
2,AnDePeD,n_bytes_origdata,2,1648205236,-0.13781053049004796,1.0
3,AnDePeD,n_bytes_origdata,3,3468605008,0.8658693184548588,1.0
4,AnDePeD,n_bytes_origdata,4,7831268053,0.9566356134275066,1.0
5,AnDePeD,n_bytes_origdata,5,9738803573,0.9566356134275066,1.0
6,AnDePeD,n_bytes_origdata,6,9792691688,0.9566356134275068,1.0
7,AnDePeD,n_bytes_origdata,7,13056082897,0.9566356134275064,1.0
8,AnDePeD,n_bytes_origdata,8,11206049432,0.6731121811200783,1.0
9,AnDePeD,n_bytes_origdata,9,12858377498,0.9263366408031438,1.0
10,AnDePeD,n_bytes_origdata,10,11815777748,0.7665549583442991,1.0
11,AnDePeD,n_bytes_origdata,11,10516885922,0.5674957112167976,1.0
12,AnDePeD,n_bytes_origdata,12,8756141650,0.29765612784845896,1.0
13,AnDePeD,n_bytes_origdata,13,8623219002,0.27728531504678255,1.0
14,AnDePeD,n_bytes_origdata,14,5179709556,-0.2504433102907977,1.0
15,AnDePeD,n_bytes_origdata,15,3934780105,-0.4412326541625433,1.0
16,AnDePeD,n_bytes_origdata,16,3993429921,-0.43224438586842406,1.0
17,AnDePeD,n_bytes_origdata,17,3157240478,-0.5603930412434751,1.0
18,AnDePeD,n_bytes_origdata,18,2454335594,-0.6681154198207375,1.0
19,AnDePeD,n_bytes_origdata,19,3754149390,-0.46891487789839603,1.0
20,AnDePeD,n_bytes_origdata,20,1693143896,-0.7847704354968347,1.0
21,AnDePeD,n_bytes_origdata,21,1752719626,-0.7756402679775024,1.0
22,AnDePeD,n_bytes_origdata,22,1197666888,-0.8607038413488066,1.0
23,AnDePeD,n_bytes_origdata,23,281415092,-1.001122303487147,1.0
24,AnDePeD,n_bytes_origdata,24,430879055,-0.9782164822694588,1.0
25,AnDePeD,n_bytes_origdata,25,555788234,-0.9590737587313293,1.0
26,AnDePeD,n_bytes_origdata,26,1205423721,-0.8595150823573602,1.0
