,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,bayesChangePt,n_bytes_origdata,0,206437830,-0.9329683183962423,0.0
1,bayesChangePt,n_bytes_origdata,1,416708062,-0.8170355447618526,0.0
2,bayesChangePt,n_bytes_origdata,2,1648205236,-0.13804793083877218,0.0
3,bayesChangePt,n_bytes_origdata,3,3468605008,0.8656319181061346,0.0
4,bayesChangePt,n_bytes_origdata,4,7831268053,0.9563982130787824,0.0
5,bayesChangePt,n_bytes_origdata,5,9738803573,0.9563982130787824,0.0
6,bayesChangePt,n_bytes_origdata,6,9792691688,0.9563982130787826,0.0
7,bayesChangePt,n_bytes_origdata,7,13056082897,0.9563982130787821,0.0
8,bayesChangePt,n_bytes_origdata,8,11206049432,0.6728747807713541,0.0
9,bayesChangePt,n_bytes_origdata,9,12858377498,0.9260992404544196,0.0
10,bayesChangePt,n_bytes_origdata,10,11815777748,0.7663175579955749,0.19999999999999996
11,bayesChangePt,n_bytes_origdata,11,10516885922,0.5672583108680734,0.0
12,bayesChangePt,n_bytes_origdata,12,8756141650,0.2974187274997348,0.0
13,bayesChangePt,n_bytes_origdata,13,8623219002,0.2770479146980584,0.0
14,bayesChangePt,n_bytes_origdata,14,5179709556,-0.25068071063952185,0.0
15,bayesChangePt,n_bytes_origdata,15,3934780105,-0.4414700545112675,0.0
16,bayesChangePt,n_bytes_origdata,16,3993429921,-0.4324817862171482,0.0
17,bayesChangePt,n_bytes_origdata,17,3157240478,-0.5606304415921993,0.0
18,bayesChangePt,n_bytes_origdata,18,2454335594,-0.6683528201694617,0.0
19,bayesChangePt,n_bytes_origdata,19,3754149390,-0.4691522782471202,0.6842105263157895
20,bayesChangePt,n_bytes_origdata,20,1693143896,-0.7850078358455589,0.0
21,bayesChangePt,n_bytes_origdata,21,1752719626,-0.7758776683262266,0.0
22,bayesChangePt,n_bytes_origdata,22,1197666888,-0.8609412416975308,0.0
23,bayesChangePt,n_bytes_origdata,23,281415092,-1.0013597038358713,0.0
24,bayesChangePt,n_bytes_origdata,24,430879055,-0.978453882618183,0.0
25,bayesChangePt,n_bytes_origdata,25,555788234,-0.9593111590800535,0.0
26,bayesChangePt,n_bytes_origdata,26,1205423721,-0.8597524827060844,0.0
27,bayesChangePt,n_bytes_origdata,27,3668194862,-0.4823250793136809,0.0
28,bayesChangePt,n_bytes_origdata,28,6227584339,-0.09009061282496075,0.0
29,bayesChangePt,n_bytes_origdata,29,10930068775,0.6305798792988021,0.0
30,bayesChangePt,n_bytes_origdata,30,12085835115,0.8077046966934939,0.8125
31,bayesChangePt,n_bytes_origdata,31,14506739432,0.9563982130787826,0.0
32,bayesChangePt,n_bytes_origdata,32,9962214688,0.3296087267792224,0.0
33,bayesChangePt,n_bytes_origdata,33,10593422385,0.4166660915065907,0.0
34,bayesChangePt,n_bytes_origdata,34,9276193945,0.23499144261468655,0.0
35,bayesChangePt,n_bytes_origdata,35,15724849570,0.9563982130787826,0.0
36,bayesChangePt,n_bytes_origdata,36,10087807385,0.23917486457837947,0.0
37,bayesChangePt,n_bytes_origdata,37,7640910080,-0.07215363376045489,0.0
38,bayesChangePt,n_bytes_origdata,38,5477681387,-0.34738984378814514,0.0
39,bayesChangePt,n_bytes_origdata,39,3503649833,-0.5985537476121742,0.0
