,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,contextOSE,n_bytes_origdata,0,206437830,-0.9326634514026343,0.0
1,contextOSE,n_bytes_origdata,1,416708062,-0.8167306777682446,0.0
2,contextOSE,n_bytes_origdata,2,1648205236,-0.13774306384516416,0.0
3,contextOSE,n_bytes_origdata,3,3468605008,0.8659367850997426,0.0
4,contextOSE,n_bytes_origdata,4,7831268053,0.9567030800723904,0.0
5,contextOSE,n_bytes_origdata,5,9738803573,0.9567030800723904,0.0
6,contextOSE,n_bytes_origdata,6,9792691688,0.9567030800723906,0.0
7,contextOSE,n_bytes_origdata,7,13056082897,0.9567030800723901,0.0
8,contextOSE,n_bytes_origdata,8,11206049432,0.6731796477649621,0.0
9,contextOSE,n_bytes_origdata,9,12858377498,0.9264041074480276,0.0
10,contextOSE,n_bytes_origdata,10,11815777748,0.7666224249891829,0.0
11,contextOSE,n_bytes_origdata,11,10516885922,0.5675631778616814,0.0
12,contextOSE,n_bytes_origdata,12,8756141650,0.2977235944933428,0.0
13,contextOSE,n_bytes_origdata,13,8623219002,0.2773527816916664,0.0
14,contextOSE,n_bytes_origdata,14,5179709556,-0.25037584364591386,0.0
15,contextOSE,n_bytes_origdata,15,3934780105,-0.4411651875176595,0.0
16,contextOSE,n_bytes_origdata,16,3993429921,-0.43217691922354023,0.0
17,contextOSE,n_bytes_origdata,17,3157240478,-0.5603255745985913,0.0
18,contextOSE,n_bytes_origdata,18,2454335594,-0.6680479531758537,0.0
19,contextOSE,n_bytes_origdata,19,3754149390,-0.4688474112535122,0.0
20,contextOSE,n_bytes_origdata,20,1693143896,-0.7847029688519509,0.0
21,contextOSE,n_bytes_origdata,21,1752719626,-0.7755728013326186,0.0
22,contextOSE,n_bytes_origdata,22,1197666888,-0.8606363747039228,0.0
23,contextOSE,n_bytes_origdata,23,281415092,-1.0010548368422634,0.0
24,contextOSE,n_bytes_origdata,24,430879055,-0.978149015624575,0.0
25,contextOSE,n_bytes_origdata,25,555788234,-0.9590062920864455,0.0
26,contextOSE,n_bytes_origdata,26,1205423721,-0.8594476157124764,0.0
27,contextOSE,n_bytes_origdata,27,3668194862,-0.4820202123200729,0.0
28,contextOSE,n_bytes_origdata,28,6227584339,-0.08978574583135275,0.0
29,contextOSE,n_bytes_origdata,29,10930068775,0.6308847462924101,0.0
30,contextOSE,n_bytes_origdata,30,12085835115,0.8080095636871019,0.0
31,contextOSE,n_bytes_origdata,31,14506739432,0.9567030800723906,0.0
32,contextOSE,n_bytes_origdata,32,9962214688,0.3299135937728304,0.0
33,contextOSE,n_bytes_origdata,33,10593422385,0.41697095850019866,0.0
34,contextOSE,n_bytes_origdata,34,9276193945,0.23529630960829456,0.0
35,contextOSE,n_bytes_origdata,35,15724849570,0.9567030800723906,0.0
36,contextOSE,n_bytes_origdata,36,10087807385,0.2394797315719875,0.0
37,contextOSE,n_bytes_origdata,37,7640910080,-0.07184876676684689,0.0
38,contextOSE,n_bytes_origdata,38,5477681387,-0.34708497679453715,0.0
39,contextOSE,n_bytes_origdata,39,3503649833,-0.5982488806185662,0.0
40,contextOSE,n_bytes_origdata,40,2952236359,-0.6684074150504883,0.0
41,contextOSE,n_bytes_origdata,41,3988926677,-0.5365051732662346,0.0
42,contextOSE,n_bytes_origdata,42,3819461738,-0.5580668730041614,0.0
43,contextOSE,n_bytes_origdata,43,3150556669,-0.6431743314322151,0.0
44,contextOSE,n_bytes_origdata,44,2499569979,-0.7260019630709154,0.0
45,contextOSE,n_bytes_origdata,45,1318044283,-0.8763321873646669,0.0
46,contextOSE,n_bytes_origdata,46,913622952,-0.9277883254784904,0.0
47,contextOSE,n_bytes_origdata,47,954426741,-0.922596696745259,0.0
48,contextOSE,n_bytes_origdata,48,818114870,-0.9399401994813442,0.0
49,contextOSE,n_bytes_origdata,49,581491140,-0.9700467799175975,0.0
50,contextOSE,n_bytes_origdata,50,1397732103,-0.8661931883613985,0.0
51,contextOSE,n_bytes_origdata,51,7434821015,-0.0980703000528564,0.0
52,contextOSE,n_bytes_origdata,52,9009281065,0.10225452847973542,0.0
53,contextOSE,n_bytes_origdata,53,12899724033,0.5972510960207331,0.0
54,contextOSE,n_bytes_origdata,54,11199978965,0.3809857552162977,0.0
55,contextOSE,n_bytes_origdata,55,12870766026,0.5935666533529624,0.0
56,contextOSE,n_bytes_origdata,56,12045337232,0.48854405743259327,0.0
57,contextOSE,n_bytes_origdata,57,13928201896,0.7281084344175006,0.0
58,contextOSE,n_bytes_origdata,58,12256535474,0.5154156516753527,0.0
59,contextOSE,n_bytes_origdata,59,11214349930,0.3828142303811473,0.0
60,contextOSE,n_bytes_origdata,60,9425526683,0.15521511776448277,0.0
61,contextOSE,n_bytes_origdata,61,7513914133,-0.0880069673557466,0.0
62,contextOSE,n_bytes_origdata,62,4389136141,-0.48558492778085655,0.0
63,contextOSE,n_bytes_origdata,63,6407781655,-0.22874461197853707,0.0
64,contextOSE,n_bytes_origdata,64,3900708335,-0.5477295445893302,0.0
65,contextOSE,n_bytes_origdata,65,4336196844,-0.49232060557348206,0.0
66,contextOSE,n_bytes_origdata,66,4668575860,-0.45003069838400994,0.0
67,contextOSE,n_bytes_origdata,67,3085906126,-0.6514000777387118,0.0
68,contextOSE,n_bytes_origdata,68,2748345729,-0.6943492326876853,0.0
69,contextOSE,n_bytes_origdata,69,1475183967,-0.8563386789533448,0.0
70,contextOSE,n_bytes_origdata,70,1382681896,-0.868108086193614,0.0
71,contextOSE,n_bytes_origdata,71,1507016976,-0.8522884383203091,0.0
72,contextOSE,n_bytes_origdata,72,813723326,-0.9404989531307577,0.0
73,contextOSE,n_bytes_origdata,73,577681649,-0.9705314766435458,0.0
74,contextOSE,n_bytes_origdata,74,1800947125,-0.8148905337504317,0.0
75,contextOSE,n_bytes_origdata,75,3742029851,-0.5679188406588694,0.0
76,contextOSE,n_bytes_origdata,76,11515935685,0.4211861882204378,0.0
77,contextOSE,n_bytes_origdata,77,10589209497,0.3032751210531493,0.0
78,contextOSE,n_bytes_origdata,78,15262592713,0.8978882974321196,0.0
79,contextOSE,n_bytes_origdata,79,13268792856,0.6442091936137464,0.0
80,contextOSE,n_bytes_origdata,80,12005652378,0.4834947952598943,0.0
81,contextOSE,n_bytes_origdata,81,11064662825,0.3636650244056843,0.0
82,contextOSE,n_bytes_origdata,82,9818759631,0.2051160116410254,0.0
83,contextOSE,n_bytes_origdata,83,13171400988,0.6317606978944872,0.0
84,contextOSE,n_bytes_origdata,84,8417315443,0.026773429711526783,0.0
85,contextOSE,n_bytes_origdata,85,10685541577,0.3154194625691156,0.0
86,contextOSE,n_bytes_origdata,86,5546236298,-0.33858943812694403,0.0
87,contextOSE,n_bytes_origdata,87,4411073034,-0.4830460987251733,0.0
88,contextOSE,n_bytes_origdata,88,3872232245,-0.5516169760972718,0.0
89,contextOSE,n_bytes_origdata,89,4385915042,-0.48624761134184386,0.0
90,contextOSE,n_bytes_origdata,90,2952355429,-0.6686770829693454,0.0
91,contextOSE,n_bytes_origdata,91,2174521851,-0.7676612949699305,0.0
92,contextOSE,n_bytes_origdata,92,2755485874,-0.69372997129886,0.0
93,contextOSE,n_bytes_origdata,93,1557827112,-0.8461395768432564,0.0
94,contextOSE,n_bytes_origdata,94,1077580642,-0.907253958818436,0.0
95,contextOSE,n_bytes_origdata,95,235525327,-1.0144107905284956,0.0
96,contextOSE,n_bytes_origdata,96,504350893,-0.9802010475079631,0.0
97,contextOSE,n_bytes_origdata,97,1295133801,-0.8795689518697478,0.0
98,contextOSE,n_bytes_origdata,98,1715655970,-0.8260548626036734,0.0
99,contextOSE,n_bytes_origdata,99,2785378348,-0.689925966088329,0.0
100,contextOSE,n_bytes_origdata,100,5909928118,-0.2923073679875669,0.0
101,contextOSE,n_bytes_origdata,101,9142657011,0.11907770349250373,0.0
102,contextOSE,n_bytes_origdata,102,8290522011,0.010638168508686527,0.0
103,contextOSE,n_bytes_origdata,103,6209037313,-0.2542438428240847,0.0
104,contextOSE,n_bytes_origdata,104,7507578839,-0.08899627144558682,0.0
105,contextOSE,n_bytes_origdata,105,7793717442,-0.05286855091681482,0.0
106,contextOSE,n_bytes_origdata,106,9478760721,0.16152931547732546,0.0
107,contextOSE,n_bytes_origdata,107,4180182520,-0.5130192663548182,0.0
108,contextOSE,n_bytes_origdata,108,4575345324,-0.4627120898030583,0.0
109,contextOSE,n_bytes_origdata,109,5683870356,-0.3215885732868902,0.0
110,contextOSE,n_bytes_origdata,110,2609814946,-0.7129387881233116,0.0
111,contextOSE,n_bytes_origdata,111,1843777502,-0.8104610765332473,0.0
112,contextOSE,n_bytes_origdata,112,1374516978,-0.87020144630155,0.0
113,contextOSE,n_bytes_origdata,113,3559634202,-0.5920197023182285,0.0
114,contextOSE,n_bytes_origdata,114,3756381367,-0.5669723186436424,0.0
115,contextOSE,n_bytes_origdata,115,3694125042,-0.5748980138293633,0.0
116,contextOSE,n_bytes_origdata,116,2320188230,-0.74981043238849,0.0
117,contextOSE,n_bytes_origdata,117,742242201,-0.9506947480844872,0.0
118,contextOSE,n_bytes_origdata,118,633174839,-0.9645798379275299,0.0
119,contextOSE,n_bytes_origdata,119,557567875,-0.9742051691783188,0.0
120,contextOSE,n_bytes_origdata,120,389677036,-0.9955789270155977,0.0
121,contextOSE,n_bytes_origdata,121,407466165,-0.99331423802097,0.0
122,contextOSE,n_bytes_origdata,122,229300741,-1.0159960272730453,0.0
123,contextOSE,n_bytes_origdata,123,1113000360,-0.9034944651276468,0.0
124,contextOSE,n_bytes_origdata,124,1421448336,-0.8642267338822105,0.0
125,contextOSE,n_bytes_origdata,125,1117262852,-0.9029518180580747,0.0
126,contextOSE,n_bytes_origdata,126,2082876592,-0.7800219764655316,0.0
127,contextOSE,n_bytes_origdata,127,2651533769,-0.7076276703436315,0.0
128,contextOSE,n_bytes_origdata,128,2436512632,-0.735001467148199,0.0
129,contextOSE,n_bytes_origdata,129,9353485292,0.14558081764173353,0.0
130,contextOSE,n_bytes_origdata,130,2240476488,-0.7599583325386325,0.0
131,contextOSE,n_bytes_origdata,131,2015937192,-0.7885438620781988,0.0
132,contextOSE,n_bytes_origdata,132,1618349298,-0.8391597707007634,0.0
133,contextOSE,n_bytes_origdata,133,1385033717,-0.8688625868738247,0.0
134,contextOSE,n_bytes_origdata,134,964464504,-0.9224041890602129,0.0
135,contextOSE,n_bytes_origdata,135,2050043324,-0.7842018967245428,0.0
136,contextOSE,n_bytes_origdata,136,2622939831,-0.7112678922286753,0.0
137,contextOSE,n_bytes_origdata,137,4801164655,-0.4339636022469843,0.0
138,contextOSE,n_bytes_origdata,138,3582092600,-0.5891605805035759,0.0
139,contextOSE,n_bytes_origdata,139,4276468341,-0.500761362150661,0.0
140,contextOSE,n_bytes_origdata,140,2278856656,-0.7550722504779783,0.0
141,contextOSE,n_bytes_origdata,141,1366475818,-0.8712251460316516,0.0
142,contextOSE,n_bytes_origdata,142,514385632,-0.9797025912547701,0.0
143,contextOSE,n_bytes_origdata,143,760799431,-0.9483322740953573,0.0
144,contextOSE,n_bytes_origdata,144,246550778,-1.0137999687166752,0.0
145,contextOSE,n_bytes_origdata,145,687908211,-0.95761187085015,0.0
146,contextOSE,n_bytes_origdata,146,475780802,-0.9846172744660996,0.0
147,contextOSE,n_bytes_origdata,147,788633103,-0.9447888397507934,0.0
148,contextOSE,n_bytes_origdata,148,709927919,-0.954808597549219,0.0
149,contextOSE,n_bytes_origdata,149,1079258978,-0.9077899950818638,0.0
150,contextOSE,n_bytes_origdata,150,2642029623,-0.7088376191190626,0.0
151,contextOSE,n_bytes_origdata,151,2730701396,-0.6975490400971651,0.0
152,contextOSE,n_bytes_origdata,152,3725242617,-0.5735872100510409,0.5
153,contextOSE,n_bytes_origdata,153,2925500574,-0.6784788909605989,0.5
154,contextOSE,n_bytes_origdata,154,3214575037,-0.6415481571919232,0.5
155,contextOSE,n_bytes_origdata,155,3637136370,-0.5875637964566073,0.5
156,contextOSE,n_bytes_origdata,156,2237586521,-0.7663634120747095,0.5
157,contextOSE,n_bytes_origdata,157,2893063708,-0.6826228656656084,0.5
158,contextOSE,n_bytes_origdata,158,2004816798,-0.7961009287695737,0.5
159,contextOSE,n_bytes_origdata,159,3269736996,-0.6345009362065551,0.5
160,contextOSE,n_bytes_origdata,160,3047424723,-0.6629024604452152,0.5
161,contextOSE,n_bytes_origdata,161,3054159683,-0.6620420350305265,0.5
162,contextOSE,n_bytes_origdata,162,3224084785,-0.6403332384891418,0.5
163,contextOSE,n_bytes_origdata,163,3769496909,-0.5706540640071953,0.5
164,contextOSE,n_bytes_origdata,164,3567984924,-0.596398245599716,0.5
165,contextOSE,n_bytes_origdata,165,1108414176,-0.9106209255865352,0.5
166,contextOSE,n_bytes_origdata,166,1259742795,-0.89128792438722,0.5
167,contextOSE,n_bytes_origdata,167,903423053,-0.9368095847641356,0.5
168,contextOSE,n_bytes_origdata,168,893148008,-0.9381222740533177,0.5
169,contextOSE,n_bytes_origdata,169,1159453075,-0.9041004464987116,0.5
170,contextOSE,n_bytes_origdata,170,2092256708,-0.7849300352791757,0.5
171,contextOSE,n_bytes_origdata,171,5607457008,-0.33584530785076555,0.5
172,contextOSE,n_bytes_origdata,172,7446129536,-0.10094553526398416,0.5
173,contextOSE,n_bytes_origdata,173,11967233498,0.47664850409993914,0.5
174,contextOSE,n_bytes_origdata,174,15930616341,0.9567030800723906,0.5
175,contextOSE,n_bytes_origdata,175,13641519984,0.6680533474082953,0.5
176,contextOSE,n_bytes_origdata,176,11973770308,0.45775398772606263,0.5
177,contextOSE,n_bytes_origdata,177,16420910188,0.9567030800723904,0.5
178,contextOSE,n_bytes_origdata,178,13322014663,0.5744648602180089,0.5
179,contextOSE,n_bytes_origdata,179,12500782160,0.47316862499456486,0.5
180,contextOSE,n_bytes_origdata,180,9311330078,0.0797605619284401,0.5
181,contextOSE,n_bytes_origdata,181,6315187564,-0.28980342360843675,0.5
182,contextOSE,n_bytes_origdata,182,4246068019,-0.5450222798642341,0.5
183,contextOSE,n_bytes_origdata,183,5152432287,-0.43322533106585853,0.5
184,contextOSE,n_bytes_origdata,184,3960578713,-0.5802364144591404,0.5
185,contextOSE,n_bytes_origdata,185,4464724045,-0.5180518029751582,0.5
186,contextOSE,n_bytes_origdata,186,4160694733,-0.5555527842328055,0.5
187,contextOSE,n_bytes_origdata,187,3106909440,-0.6855336149047424,0.5
188,contextOSE,n_bytes_origdata,188,3238988887,-0.6692420644819088,0.5
189,contextOSE,n_bytes_origdata,189,1439017785,-0.8912623759984805,0.5
