,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,relativeEntropy,n_bytes_origdata,0,206437830,-0.932537160991905,0.0
1,relativeEntropy,n_bytes_origdata,1,416708062,-0.8166043873575153,0.0
2,relativeEntropy,n_bytes_origdata,2,1648205236,-0.13761677343443487,0.0
3,relativeEntropy,n_bytes_origdata,3,3468605008,0.8660630755104719,0.0
4,relativeEntropy,n_bytes_origdata,4,7831268053,0.9568293704831197,0.0
5,relativeEntropy,n_bytes_origdata,5,9738803573,0.9568293704831197,0.0
6,relativeEntropy,n_bytes_origdata,6,9792691688,0.9568293704831199,0.0
7,relativeEntropy,n_bytes_origdata,7,13056082897,0.9568293704831194,0.0
8,relativeEntropy,n_bytes_origdata,8,11206049432,0.6733059381756914,0.0
9,relativeEntropy,n_bytes_origdata,9,12858377498,0.9265303978587569,0.0
10,relativeEntropy,n_bytes_origdata,10,11815777748,0.7667487153999122,0.0
11,relativeEntropy,n_bytes_origdata,11,10516885922,0.5676894682724107,0.0
12,relativeEntropy,n_bytes_origdata,12,8756141650,0.2978498849040721,0.0
13,relativeEntropy,n_bytes_origdata,13,8623219002,0.2774790721023957,0.0
14,relativeEntropy,n_bytes_origdata,14,5179709556,-0.25024955323518455,0.0
15,relativeEntropy,n_bytes_origdata,15,3934780105,-0.44103889710693017,0.0
16,relativeEntropy,n_bytes_origdata,16,3993429921,-0.4320506288128109,0.0
17,relativeEntropy,n_bytes_origdata,17,3157240478,-0.560199284187862,0.0
18,relativeEntropy,n_bytes_origdata,18,2454335594,-0.6679216627651244,0.0
19,relativeEntropy,n_bytes_origdata,19,3754149390,-0.4687211208427829,0.0
20,relativeEntropy,n_bytes_origdata,20,1693143896,-0.7845766784412216,0.0
21,relativeEntropy,n_bytes_origdata,21,1752719626,-0.7754465109218893,0.0
22,relativeEntropy,n_bytes_origdata,22,1197666888,-0.8605100842931935,0.0
23,relativeEntropy,n_bytes_origdata,23,281415092,-1.000928546431534,0.0
24,relativeEntropy,n_bytes_origdata,24,430879055,-0.9780227252138457,0.0
25,relativeEntropy,n_bytes_origdata,25,555788234,-0.9588800016757162,0.0
26,relativeEntropy,n_bytes_origdata,26,1205423721,-0.8593213253017471,0.0
27,relativeEntropy,n_bytes_origdata,27,3668194862,-0.4818939219093436,0.0
28,relativeEntropy,n_bytes_origdata,28,6227584339,-0.08965945542062345,0.0
29,relativeEntropy,n_bytes_origdata,29,10930068775,0.6310110367031394,0.0
30,relativeEntropy,n_bytes_origdata,30,12085835115,0.8081358540978312,0.0
31,relativeEntropy,n_bytes_origdata,31,14506739432,0.9568293704831199,0.0
32,relativeEntropy,n_bytes_origdata,32,9962214688,0.33003988418355973,0.0
33,relativeEntropy,n_bytes_origdata,33,10593422385,0.417097248910928,0.0
34,relativeEntropy,n_bytes_origdata,34,9276193945,0.23542260001902385,0.0
35,relativeEntropy,n_bytes_origdata,35,15724849570,0.9568293704831199,0.0
36,relativeEntropy,n_bytes_origdata,36,10087807385,0.23960602198271677,0.0
