,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,AnDePeDPro,n_flows_origdata,0,3901,-1.1857052757925834,1.0
1,AnDePeDPro,n_flows_origdata,1,5423,-1.0555697535831867,1.0
2,AnDePeDPro,n_flows_origdata,2,10196,-0.6474640719107487,1.0
3,AnDePeDPro,n_flows_origdata,3,37372,0.5233281131176811,1.0
4,AnDePeDPro,n_flows_origdata,4,67321,0.5233281131176809,1.0
5,AnDePeDPro,n_flows_origdata,5,87545,0.5233281131176813,1.0
6,AnDePeDPro,n_flows_origdata,6,92908,0.5233281131176811,1.0
7,AnDePeDPro,n_flows_origdata,7,106187,0.5233281131176811,1.0
8,AnDePeDPro,n_flows_origdata,8,95055,0.3126264683123511,1.0
9,AnDePeDPro,n_flows_origdata,9,104985,0.5005771809351435,1.0
10,AnDePeDPro,n_flows_origdata,10,107951,0.5233281131176811,1.0
11,AnDePeDPro,n_flows_origdata,11,88430,0.15991007346395303,1.0
12,AnDePeDPro,n_flows_origdata,12,74851,-0.09317402880818981,1.0
13,AnDePeDPro,n_flows_origdata,13,67393,-0.23208257788623043,1.0
14,AnDePeDPro,n_flows_origdata,14,39593,-0.7498698753345447,1.0
15,AnDePeDPro,n_flows_origdata,15,28271,-0.9607471336694302,1.0
16,AnDePeDPro,n_flows_origdata,16,23562,-1.0484543417156211,1.0
17,AnDePeDPro,n_flows_origdata,17,19277,-1.1282643622036077,1.0
18,AnDePeDPro,n_flows_origdata,18,18184,-1.1486219706968095,1.0
19,AnDePeDPro,n_flows_origdata,19,15186,-1.2044610468748687,1.0
20,AnDePeDPro,n_flows_origdata,20,9197,-1.3160088211345076,1.0
21,AnDePeDPro,n_flows_origdata,21,6165,-1.3724811623526114,1.0
22,AnDePeDPro,n_flows_origdata,22,4515,-1.4032131422371337,1.0
23,AnDePeDPro,n_flows_origdata,23,3768,-1.417126347675763,1.0
24,AnDePeDPro,n_flows_origdata,24,3411,-1.4237756305962321,1.0
25,AnDePeDPro,n_flows_origdata,25,3906,-1.4145560366308754,1.0
26,AnDePeDPro,n_flows_origdata,26,8920,-1.3211680686666365,1.0
27,AnDePeDPro,n_flows_origdata,27,32172,-0.8880892830454779,1.0
28,AnDePeDPro,n_flows_origdata,28,71005,-0.1648074801026581,1.0
29,AnDePeDPro,n_flows_origdata,29,90304,0.19464493189212673,1.0
30,AnDePeDPro,n_flows_origdata,30,100747,0.3891504263976212,1.0
31,AnDePeDPro,n_flows_origdata,31,118505,0.5233281131176813,1.0
32,AnDePeDPro,n_flows_origdata,32,102392,0.25007358092170706,1.0
33,AnDePeDPro,n_flows_origdata,33,109965,0.3784816944199417,1.0
34,AnDePeDPro,n_flows_origdata,34,92378,0.08018966097297031,1.0
35,AnDePeDPro,n_flows_origdata,35,96256,0.14596418225046814,1.0
36,AnDePeDPro,n_flows_origdata,36,72272,-0.2608269777081472,1.0
37,AnDePeDPro,n_flows_origdata,37,57477,-0.5117640695855534,1.0
38,AnDePeDPro,n_flows_origdata,38,37912,-0.8436048402906197,1.0
39,AnDePeDPro,n_flows_origdata,39,30934,-0.9619582723366177,1.0
40,AnDePeDPro,n_flows_origdata,40,22981,-1.096848619866257,1.0
41,AnDePeDPro,n_flows_origdata,41,22719,-1.1012923858731432,1.0
42,AnDePeDPro,n_flows_origdata,42,19138,-1.1620295082802397,1.0
43,AnDePeDPro,n_flows_origdata,43,13566,-1.256535860151879,1.0
44,AnDePeDPro,n_flows_origdata,44,9300,-1.3288912257449184,1.0
45,AnDePeDPro,n_flows_origdata,45,5708,-1.3898149184805484,1.0
46,AnDePeDPro,n_flows_origdata,46,4169,-1.415917803536265,1.0
47,AnDePeDPro,n_flows_origdata,47,5205,-1.3983462707762113,1.0
48,AnDePeDPro,n_flows_origdata,48,5819,-1.3879322542562567,1.0
49,AnDePeDPro,n_flows_origdata,49,5568,-1.3921894499346097,1.0
50,AnDePeDPro,n_flows_origdata,50,10068,-1.3158652246254965,1.0
51,AnDePeDPro,n_flows_origdata,51,34013,-0.9097355412862268,1.0
52,AnDePeDPro,n_flows_origdata,52,74247,-0.22732912326692534,1.0
53,AnDePeDPro,n_flows_origdata,53,106176,0.31421669670966856,1.0
54,AnDePeDPro,n_flows_origdata,54,103237,0.264368497113339,1.0
55,AnDePeDPro,n_flows_origdata,55,112722,0.42524300312599184,1.0
56,AnDePeDPro,n_flows_origdata,56,99580,0.20215440778288818,1.0
57,AnDePeDPro,n_flows_origdata,57,100992,0.22611727552041672,1.0
58,AnDePeDPro,n_flows_origdata,58,98609,0.1856756934959617,1.0
59,AnDePeDPro,n_flows_origdata,59,93995,0.10737210161143163,0.0
60,AnDePeDPro,n_flows_origdata,60,84167,-0.0594176038591282,1.0
61,AnDePeDPro,n_flows_origdata,61,59476,-0.47844534274533,0.0
62,AnDePeDPro,n_flows_origdata,62,40351,-0.8030132219806227,0.0
63,AnDePeDPro,n_flows_origdata,63,32128,-0.9425646818996717,0.0
64,AnDePeDPro,n_flows_origdata,64,26007,-1.0464433741244679,0.0
65,AnDePeDPro,n_flows_origdata,65,28678,-1.0011141816832931,0.0
66,AnDePeDPro,n_flows_origdata,66,25721,-1.0512970428021826,0.0
67,AnDePeDPro,n_flows_origdata,67,21280,-1.1266646742627804,0.0
68,AnDePeDPro,n_flows_origdata,68,13129,-1.2649942315776495,0.0
69,AnDePeDPro,n_flows_origdata,69,6365,-1.3797851928925524,0.0
70,AnDePeDPro,n_flows_origdata,70,6126,-1.3838412307036496,0.0
71,AnDePeDPro,n_flows_origdata,71,5885,-1.3879312102537518,0.0
72,AnDePeDPro,n_flows_origdata,72,4967,-1.4035104684570459,0.0
73,AnDePeDPro,n_flows_origdata,73,6062,-1.3849273663518096,0.0
74,AnDePeDPro,n_flows_origdata,74,10428,-1.310832550103899,0.0
75,AnDePeDPro,n_flows_origdata,75,37558,-0.8504128605011023,0.0
76,AnDePeDPro,n_flows_origdata,76,77762,-0.16811602302263406,0.0
77,AnDePeDPro,n_flows_origdata,77,94647,0.11843710852706091,1.0
78,AnDePeDPro,n_flows_origdata,78,98950,0.191462759996314,1.0
79,AnDePeDPro,n_flows_origdata,79,101264,0.2307333520250966,1.0
80,AnDePeDPro,n_flows_origdata,80,98963,0.1916833812998463,0.0
81,AnDePeDPro,n_flows_origdata,81,88112,0.007532476328230175,1.0
82,AnDePeDPro,n_flows_origdata,82,85293,-0.04030840479931441,1.0
83,AnDePeDPro,n_flows_origdata,83,72571,-0.2562118066101061,1.0
84,AnDePeDPro,n_flows_origdata,84,69574,-0.3070735025090955,1.0
85,AnDePeDPro,n_flows_origdata,85,49088,-0.6547387351372893,1.0
86,AnDePeDPro,n_flows_origdata,86,35342,-0.88802030731864,0.0
87,AnDePeDPro,n_flows_origdata,87,27551,-1.0202403516126095,0.0
88,AnDePeDPro,n_flows_origdata,88,19786,-1.1520191532995137,0.0
89,AnDePeDPro,n_flows_origdata,89,16058,-1.21528655480483,0.0
