,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,AnDePeD,n_flows_origdata,0,3901,-1.1856095429741953,1.0
1,AnDePeD,n_flows_origdata,1,5423,-1.0554740207647986,1.0
2,AnDePeD,n_flows_origdata,2,10196,-0.6473683390923606,1.0
3,AnDePeD,n_flows_origdata,3,37372,0.5234238459360693,1.0
4,AnDePeD,n_flows_origdata,4,67321,0.523423845936069,1.0
5,AnDePeD,n_flows_origdata,5,87545,0.5234238459360695,1.0
6,AnDePeD,n_flows_origdata,6,92908,0.5234238459360693,1.0
7,AnDePeD,n_flows_origdata,7,106187,0.5234238459360693,1.0
8,AnDePeD,n_flows_origdata,8,95055,0.31272220113073923,1.0
9,AnDePeD,n_flows_origdata,9,104985,0.5006729137535316,1.0
10,AnDePeD,n_flows_origdata,10,107951,0.5234238459360693,1.0
11,AnDePeD,n_flows_origdata,11,88430,0.16000580628234118,1.0
12,AnDePeD,n_flows_origdata,12,74851,-0.09307829598980166,1.0
13,AnDePeD,n_flows_origdata,13,67393,-0.23198684506784228,1.0
14,AnDePeD,n_flows_origdata,14,39593,-0.7497741425161566,1.0
15,AnDePeD,n_flows_origdata,15,28271,-0.9606514008510421,1.0
16,AnDePeD,n_flows_origdata,16,23562,-1.048358608897233,1.0
17,AnDePeD,n_flows_origdata,17,19277,-1.1281686293852196,1.0
18,AnDePeD,n_flows_origdata,18,18184,-1.1485262378784213,1.0
19,AnDePeD,n_flows_origdata,19,15186,-1.2043653140564805,1.0
20,AnDePeD,n_flows_origdata,20,9197,-1.3159130883161194,1.0
21,AnDePeD,n_flows_origdata,21,6165,-1.3723854295342233,1.0
22,AnDePeD,n_flows_origdata,22,4515,-1.4031174094187455,1.0
23,AnDePeD,n_flows_origdata,23,3768,-1.4170306148573748,1.0
24,AnDePeD,n_flows_origdata,24,3411,-1.423679897777844,1.0
25,AnDePeD,n_flows_origdata,25,3906,-1.4144603038124872,1.0
26,AnDePeD,n_flows_origdata,26,8920,-1.3210723358482483,1.0
