,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,contextOSE,n_flows_origdata,0,3901,-1.1856772676096565,0.0
1,contextOSE,n_flows_origdata,1,5423,-1.0555417454002598,0.0
2,contextOSE,n_flows_origdata,2,10196,-0.6474360637278218,0.0
3,contextOSE,n_flows_origdata,3,37372,0.5233561213006082,0.0
4,contextOSE,n_flows_origdata,4,67321,0.5233561213006079,0.0
5,contextOSE,n_flows_origdata,5,87545,0.5233561213006084,0.0
6,contextOSE,n_flows_origdata,6,92908,0.5233561213006082,0.0
7,contextOSE,n_flows_origdata,7,106187,0.5233561213006082,0.0
8,contextOSE,n_flows_origdata,8,95055,0.31265447649527806,0.0
9,contextOSE,n_flows_origdata,9,104985,0.5006051891180705,0.0
10,contextOSE,n_flows_origdata,10,107951,0.5233561213006082,0.0
11,contextOSE,n_flows_origdata,11,88430,0.15993808164688,0.0
12,contextOSE,n_flows_origdata,12,74851,-0.09314602062526284,0.0
13,contextOSE,n_flows_origdata,13,67393,-0.23205456970330346,0.0
14,contextOSE,n_flows_origdata,14,39593,-0.7498418671516178,0.0
15,contextOSE,n_flows_origdata,15,28271,-0.9607191254865033,0.0
16,contextOSE,n_flows_origdata,16,23562,-1.0484263335326942,0.0
17,contextOSE,n_flows_origdata,17,19277,-1.1282363540206808,0.0
18,contextOSE,n_flows_origdata,18,18184,-1.1485939625138826,0.0
19,contextOSE,n_flows_origdata,19,15186,-1.2044330386919417,0.0
20,contextOSE,n_flows_origdata,20,9197,-1.3159808129515804,0.0
21,contextOSE,n_flows_origdata,21,6165,-1.3724531541696845,0.0
22,contextOSE,n_flows_origdata,22,4515,-1.4031851340542068,0.0
23,contextOSE,n_flows_origdata,23,3768,-1.4170983394928358,0.0
24,contextOSE,n_flows_origdata,24,3411,-1.4237476224133052,0.0
25,contextOSE,n_flows_origdata,25,3906,-1.4145280284479484,0.0
26,contextOSE,n_flows_origdata,26,8920,-1.3211400604837094,0.0
27,contextOSE,n_flows_origdata,27,32172,-0.8880612748625509,0.0
28,contextOSE,n_flows_origdata,28,71005,-0.16477947191973114,0.0
29,contextOSE,n_flows_origdata,29,90304,0.1946729400750537,0.0
30,contextOSE,n_flows_origdata,30,100747,0.3891784345805482,0.0
31,contextOSE,n_flows_origdata,31,118505,0.5233561213006084,0.0
32,contextOSE,n_flows_origdata,32,102392,0.25010158910463404,0.0
33,contextOSE,n_flows_origdata,33,109965,0.3785097026028687,0.0
34,contextOSE,n_flows_origdata,34,92378,0.08021766915589729,0.0
35,contextOSE,n_flows_origdata,35,96256,0.14599219043339512,0.0
36,contextOSE,n_flows_origdata,36,72272,-0.26079896952522025,0.0
37,contextOSE,n_flows_origdata,37,57477,-0.5117360614026265,0.0
38,contextOSE,n_flows_origdata,38,37912,-0.8435768321076926,0.0
39,contextOSE,n_flows_origdata,39,30934,-0.9619302641536907,0.0
40,contextOSE,n_flows_origdata,40,22981,-1.09682061168333,0.0
41,contextOSE,n_flows_origdata,41,22719,-1.101264377690216,0.0
42,contextOSE,n_flows_origdata,42,19138,-1.1620015000973125,0.0
43,contextOSE,n_flows_origdata,43,13566,-1.256507851968952,0.0
44,contextOSE,n_flows_origdata,44,9300,-1.3288632175619914,0.0
45,contextOSE,n_flows_origdata,45,5708,-1.3897869102976212,0.0
46,contextOSE,n_flows_origdata,46,4169,-1.415889795353338,0.0
47,contextOSE,n_flows_origdata,47,5205,-1.3983182625932844,0.0
48,contextOSE,n_flows_origdata,48,5819,-1.3879042460733297,0.0
49,contextOSE,n_flows_origdata,49,5568,-1.3921614417516825,0.0
50,contextOSE,n_flows_origdata,50,10068,-1.3158372164425693,0.0
51,contextOSE,n_flows_origdata,51,34013,-0.9097075331032998,0.0
52,contextOSE,n_flows_origdata,52,74247,-0.22730111508399836,0.0
53,contextOSE,n_flows_origdata,53,106176,0.31424470489259554,0.0
54,contextOSE,n_flows_origdata,54,103237,0.26439650529626596,0.0
55,contextOSE,n_flows_origdata,55,112722,0.4252710113089188,0.0
56,contextOSE,n_flows_origdata,56,99580,0.20218241596581515,0.0
57,contextOSE,n_flows_origdata,57,100992,0.2261452837033437,0.0
58,contextOSE,n_flows_origdata,58,98609,0.18570370167888867,0.0
59,contextOSE,n_flows_origdata,59,93995,0.1074001097943586,0.0
60,contextOSE,n_flows_origdata,60,84167,-0.05938959567620122,0.0
61,contextOSE,n_flows_origdata,61,59476,-0.47841733456240304,0.0
62,contextOSE,n_flows_origdata,62,40351,-0.8029852137976958,0.0
63,contextOSE,n_flows_origdata,63,32128,-0.9425366737167447,0.0
64,contextOSE,n_flows_origdata,64,26007,-1.0464153659415407,0.0
65,contextOSE,n_flows_origdata,65,28678,-1.001086173500366,0.0
66,contextOSE,n_flows_origdata,66,25721,-1.0512690346192555,0.0
67,contextOSE,n_flows_origdata,67,21280,-1.1266366660798535,0.0
68,contextOSE,n_flows_origdata,68,13129,-1.2649662233947225,0.0
69,contextOSE,n_flows_origdata,69,6365,-1.3797571847096255,0.0
70,contextOSE,n_flows_origdata,70,6126,-1.3838132225207227,0.0
71,contextOSE,n_flows_origdata,71,5885,-1.3879032020708248,0.0
72,contextOSE,n_flows_origdata,72,4967,-1.403482460274119,0.0
73,contextOSE,n_flows_origdata,73,6062,-1.3848993581688827,0.0
74,contextOSE,n_flows_origdata,74,10428,-1.3108045419209722,0.0
75,contextOSE,n_flows_origdata,75,37558,-0.8503848523181754,0.0
