,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,earthgeckoSkyline,n_flows_origdata,0,3901,-1.1857161787765929,0.0
1,earthgeckoSkyline,n_flows_origdata,1,5423,-1.0555806565671961,0.0
2,earthgeckoSkyline,n_flows_origdata,2,10196,-0.6474749748947581,0.0
3,earthgeckoSkyline,n_flows_origdata,3,37372,0.5233172101336717,0.0
4,earthgeckoSkyline,n_flows_origdata,4,67321,0.5233172101336715,0.0
5,earthgeckoSkyline,n_flows_origdata,5,87545,0.5233172101336719,0.0
6,earthgeckoSkyline,n_flows_origdata,6,92908,0.5233172101336717,0.0
7,earthgeckoSkyline,n_flows_origdata,7,106187,0.5233172101336717,0.0
8,earthgeckoSkyline,n_flows_origdata,8,95055,0.31261556532834167,0.0
9,earthgeckoSkyline,n_flows_origdata,9,104985,0.5005662779511341,0.0
10,earthgeckoSkyline,n_flows_origdata,10,107951,0.5233172101336717,0.0
11,earthgeckoSkyline,n_flows_origdata,11,88430,0.15989917047994362,0.0
12,earthgeckoSkyline,n_flows_origdata,12,74851,-0.09318493179219922,0.0
13,earthgeckoSkyline,n_flows_origdata,13,67393,-0.23209348087023984,0.0
14,earthgeckoSkyline,n_flows_origdata,14,39593,-0.7498807783185542,0.0
15,earthgeckoSkyline,n_flows_origdata,15,28271,-0.9607580366534396,0.0
16,earthgeckoSkyline,n_flows_origdata,16,23562,-1.0484652446996305,0.0
17,earthgeckoSkyline,n_flows_origdata,17,19277,-1.1282752651876171,0.0
18,earthgeckoSkyline,n_flows_origdata,18,18184,-1.148632873680819,0.0
19,earthgeckoSkyline,n_flows_origdata,19,15186,-1.204471949858878,0.0
20,earthgeckoSkyline,n_flows_origdata,20,9197,-1.316019724118517,0.0
21,earthgeckoSkyline,n_flows_origdata,21,6165,-1.3724920653366208,0.0
22,earthgeckoSkyline,n_flows_origdata,22,4515,-1.403224045221143,0.0
23,earthgeckoSkyline,n_flows_origdata,23,3768,-1.4171372506597724,0.0
24,earthgeckoSkyline,n_flows_origdata,24,3411,-1.4237865335802415,0.0
25,earthgeckoSkyline,n_flows_origdata,25,3906,-1.4145669396148848,0.0
26,earthgeckoSkyline,n_flows_origdata,26,8920,-1.321178971650646,0.0
27,earthgeckoSkyline,n_flows_origdata,27,32172,-0.8881001860294873,0.0
28,earthgeckoSkyline,n_flows_origdata,28,71005,-0.16481838308666752,0.0
29,earthgeckoSkyline,n_flows_origdata,29,90304,0.19463402890811732,0.0
30,earthgeckoSkyline,n_flows_origdata,30,100747,0.3891395234136118,0.0
31,earthgeckoSkyline,n_flows_origdata,31,118505,0.5233172101336719,0.0
32,earthgeckoSkyline,n_flows_origdata,32,102392,0.25006267793769765,0.0
33,earthgeckoSkyline,n_flows_origdata,33,109965,0.3784707914359323,0.0
34,earthgeckoSkyline,n_flows_origdata,34,92378,0.0801787579889609,0.0
35,earthgeckoSkyline,n_flows_origdata,35,96256,0.14595327926645874,0.0
36,earthgeckoSkyline,n_flows_origdata,36,72272,-0.26083788069215663,0.0
37,earthgeckoSkyline,n_flows_origdata,37,57477,-0.5117749725695628,0.0
38,earthgeckoSkyline,n_flows_origdata,38,37912,-0.8436157432746291,0.0
39,earthgeckoSkyline,n_flows_origdata,39,30934,-0.9619691753206271,0.0
40,earthgeckoSkyline,n_flows_origdata,40,22981,-1.0968595228502664,0.0
41,earthgeckoSkyline,n_flows_origdata,41,22719,-1.1013032888571526,0.0
42,earthgeckoSkyline,n_flows_origdata,42,19138,-1.162040411264249,0.0
43,earthgeckoSkyline,n_flows_origdata,43,13566,-1.2565467631358884,0.0
44,earthgeckoSkyline,n_flows_origdata,44,9300,-1.3289021287289278,0.0
45,earthgeckoSkyline,n_flows_origdata,45,5708,-1.3898258214645578,0.0
46,earthgeckoSkyline,n_flows_origdata,46,4169,-1.4159287065202744,0.0
47,earthgeckoSkyline,n_flows_origdata,47,5205,-1.3983571737602207,0.0
48,earthgeckoSkyline,n_flows_origdata,48,5819,-1.387943157240266,0.0
49,earthgeckoSkyline,n_flows_origdata,49,5568,-1.392200352918619,0.0
50,earthgeckoSkyline,n_flows_origdata,50,10068,-1.315876127609506,0.0
