,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,windowedGaussian,n_flows_origdata,0,3901,-1.1856600691713506,0.0
1,windowedGaussian,n_flows_origdata,1,5423,-1.0555245469619539,1.0
2,windowedGaussian,n_flows_origdata,2,10196,-0.6474188652895158,0.9999999999998229
3,windowedGaussian,n_flows_origdata,3,37372,0.5233733197389141,0.9999999999546716
4,windowedGaussian,n_flows_origdata,4,67321,0.5233733197389139,0.9510432842729667
5,windowedGaussian,n_flows_origdata,5,87545,0.5233733197389143,0.8829483483345557
6,windowedGaussian,n_flows_origdata,6,92908,0.5233733197389141,0.8357192425522734
7,windowedGaussian,n_flows_origdata,7,106187,0.5233733197389141,0.801929535809513
8,windowedGaussian,n_flows_origdata,8,95055,0.31267167493358405,0.6818370854127123
9,windowedGaussian,n_flows_origdata,9,104985,0.5006223875563764,0.7608312040667701
10,windowedGaussian,n_flows_origdata,10,107951,0.5233733197389141,0.75482360234772
11,windowedGaussian,n_flows_origdata,11,88430,0.159955280085186,0.5379663752958934
12,windowedGaussian,n_flows_origdata,12,74851,-0.09312882218695684,0.6208194276690222
13,windowedGaussian,n_flows_origdata,13,67393,-0.23203737126499746,0.6989993494963582
14,windowedGaussian,n_flows_origdata,14,39593,-0.7498246687133118,0.9142723229139071
15,windowedGaussian,n_flows_origdata,15,28271,-0.9607019270481972,0.9442563107140888
16,windowedGaussian,n_flows_origdata,16,23562,-1.0484091350943883,0.9417722751092034
17,windowedGaussian,n_flows_origdata,17,19277,-1.1282191555823748,0.9387361523531254
18,windowedGaussian,n_flows_origdata,18,18184,-1.1485767640755766,0.9250755007772897
19,windowedGaussian,n_flows_origdata,19,15186,-1.2044158402536358,0.920839159347585
20,windowedGaussian,n_flows_origdata,20,9197,-1.3159636145132745,0.9288615961092106
21,windowedGaussian,n_flows_origdata,21,6165,-1.3724359557313783,0.925191516151038
22,windowedGaussian,n_flows_origdata,22,4515,-1.4031679356159006,0.9172395165319964
23,windowedGaussian,n_flows_origdata,23,3768,-1.4170811410545299,0.9067723266840033
24,windowedGaussian,n_flows_origdata,24,3411,-1.423730423974999,0.895680335360887
25,windowedGaussian,n_flows_origdata,25,3906,-1.4145108300096425,0.8815776726043432
26,windowedGaussian,n_flows_origdata,26,8920,-1.3211228620454034,0.844018337911073
27,windowedGaussian,n_flows_origdata,27,32172,-0.8880440764242449,0.6637653414129203
28,windowedGaussian,n_flows_origdata,28,71005,-0.16476227348142514,0.6986816765998096
29,windowedGaussian,n_flows_origdata,29,90304,0.1946901385133597,0.8363586953329653
30,windowedGaussian,n_flows_origdata,30,100747,0.3891956330188542,0.8855024017941859
31,windowedGaussian,n_flows_origdata,31,118505,0.5233733197389143,0.9084691557935858
32,windowedGaussian,n_flows_origdata,32,102392,0.25011878754294004,0.8221877842367568
33,windowedGaussian,n_flows_origdata,33,109965,0.3785269010411747,0.856304204575113
34,windowedGaussian,n_flows_origdata,34,92378,0.08023486759420329,0.7410410777124476
35,windowedGaussian,n_flows_origdata,35,96256,0.14600938887170112,0.7639294589991207
36,windowedGaussian,n_flows_origdata,36,72272,-0.26078177108691425,0.5680159853104628
37,windowedGaussian,n_flows_origdata,37,57477,-0.5117188629643205,0.5651368403364527
38,windowedGaussian,n_flows_origdata,38,37912,-0.8435596336693867,0.7283405164664217
39,windowedGaussian,n_flows_origdata,39,30934,-0.9619130657153847,0.7756359351102278
40,windowedGaussian,n_flows_origdata,40,22981,-1.096803413245024,0.8229136443190769
41,windowedGaussian,n_flows_origdata,41,22719,-1.10124717925191,0.8190609484989868
42,windowedGaussian,n_flows_origdata,42,19138,-1.1619843016590066,0.8352717287968833
43,windowedGaussian,n_flows_origdata,43,13566,-1.2564906535306462,0.8605432899966581
44,windowedGaussian,n_flows_origdata,44,9300,-1.3288460191236853,0.8760261558918128
45,windowedGaussian,n_flows_origdata,45,5708,-1.3897697118593153,0.8866477192825076
46,windowedGaussian,n_flows_origdata,46,4169,-1.4158725969150319,0.8873462355773492
47,windowedGaussian,n_flows_origdata,47,5205,-1.3983010641549782,0.8764675827426277
48,windowedGaussian,n_flows_origdata,48,5819,-1.3878870476350238,0.867727503109051
49,windowedGaussian,n_flows_origdata,49,5568,-1.3921442433133766,0.8635090363915473
50,windowedGaussian,n_flows_origdata,50,10068,-1.3158200180042634,0.833997526124277
51,windowedGaussian,n_flows_origdata,51,34013,-0.9096903346649938,0.6579843934012037
52,windowedGaussian,n_flows_origdata,52,74247,-0.22728391664569236,0.6986436796315305
53,windowedGaussian,n_flows_origdata,53,106176,0.31426190333090154,0.8946749982805221
54,windowedGaussian,n_flows_origdata,54,103237,0.26441370373457196,0.8759492475110269
55,windowedGaussian,n_flows_origdata,55,112722,0.4252882097472248,0.9112017211320933
56,windowedGaussian,n_flows_origdata,56,99580,0.20219961440412115,0.8450784871982272
57,windowedGaussian,n_flows_origdata,57,100992,0.2261624821416497,0.8484416422614913
58,windowedGaussian,n_flows_origdata,58,98609,0.18572090011719466,0.8308185173193274
59,windowedGaussian,n_flows_origdata,59,93995,0.1074173082326646,0.798661029252195
60,windowedGaussian,n_flows_origdata,60,84167,-0.059372397237895225,0.7259309383941197
61,windowedGaussian,n_flows_origdata,61,59476,-0.47840013612409704,0.5107129486651543
62,windowedGaussian,n_flows_origdata,62,40351,-0.8029680153593898,0.6613414315554615
63,windowedGaussian,n_flows_origdata,63,32128,-0.9425194752784387,0.7270392353075622
64,windowedGaussian,n_flows_origdata,64,26007,-1.0463981675032348,0.7705978261886524
65,windowedGaussian,n_flows_origdata,65,28678,-1.00106897506206,0.7483250450439642
66,windowedGaussian,n_flows_origdata,66,25721,-1.0512518361809495,0.7678242431135314
67,windowedGaussian,n_flows_origdata,67,21280,-1.1266194676415475,0.7963180679595213
68,windowedGaussian,n_flows_origdata,68,13129,-1.2649490249564166,0.8441983441736137
69,windowedGaussian,n_flows_origdata,69,6365,-1.3797399862713196,0.8765156835350908
70,windowedGaussian,n_flows_origdata,70,6126,-1.3837960240824168,0.8737414896969764
71,windowedGaussian,n_flows_origdata,71,5885,-1.387886003632519,0.8710849457838177
72,windowedGaussian,n_flows_origdata,72,4967,-1.403465261835813,0.8719073861392382
73,windowedGaussian,n_flows_origdata,73,6062,-1.3848821597305765,0.8625898225614995
74,windowedGaussian,n_flows_origdata,74,10428,-1.3107873434826662,0.8347903277012584
75,windowedGaussian,n_flows_origdata,75,37558,-0.8503676538798693,0.6263249846979912
76,windowedGaussian,n_flows_origdata,76,77762,-0.1680708164014011,0.7363569134193764
77,windowedGaussian,n_flows_origdata,77,94647,0.11848231514829388,0.847976796414099
78,windowedGaussian,n_flows_origdata,78,98950,0.191507966617547,0.8679173689621105
79,windowedGaussian,n_flows_origdata,79,101264,0.23077855864632957,0.8761123185849374
80,windowedGaussian,n_flows_origdata,80,98963,0.19172858792107927,0.8609413084742411
81,windowedGaussian,n_flows_origdata,81,88112,0.007577682949463149,0.7919973193053865
82,windowedGaussian,n_flows_origdata,82,85293,-0.04026319817808144,0.7698391369126591
83,windowedGaussian,n_flows_origdata,83,72571,-0.25616659998887314,0.6660315978438254
84,windowedGaussian,n_flows_origdata,84,69574,-0.3070282958878625,0.6384609662634271
85,windowedGaussian,n_flows_origdata,85,49088,-0.6546935285160563,0.5556723864988572
86,windowedGaussian,n_flows_origdata,86,35342,-0.887975100697407,0.6812525102599358
87,windowedGaussian,n_flows_origdata,87,27551,-1.0201951449913764,0.7443872279944719
88,windowedGaussian,n_flows_origdata,88,19786,-1.1519739466782808,0.7997186154804437
89,windowedGaussian,n_flows_origdata,89,16058,-1.2152413481835969,0.8221233778708156
90,windowedGaussian,n_flows_origdata,90,17284,-1.1944350621735333,0.8116790948546397
91,windowedGaussian,n_flows_origdata,91,13274,-1.262488248878554,0.8348394175475389
92,windowedGaussian,n_flows_origdata,92,7862,-1.3543345946260785,0.8633529651653371
93,windowedGaussian,n_flows_origdata,93,6931,-1.3701344741329051,0.8655012756558635
94,windowedGaussian,n_flows_origdata,94,6372,-1.379621190184802,0.8656449013901035
95,windowedGaussian,n_flows_origdata,95,4498,-1.411424599632485,0.8726164866907857
96,windowedGaussian,n_flows_origdata,96,5692,-1.3911613814465014,0.8635204770883048
97,windowedGaussian,n_flows_origdata,97,6420,-1.378806588448682,0.856837668536153
98,windowedGaussian,n_flows_origdata,98,10224,-1.314249400861176,0.8320413195676732
99,windowedGaussian,n_flows_origdata,99,27671,-1.0181586406510765,0.7015848914988416
100,windowedGaussian,n_flows_origdata,100,58451,-0.4957952773641585,0.5890599122853812
101,windowedGaussian,n_flows_origdata,101,68659,-0.32255664148264906,0.6822856370901591
102,windowedGaussian,n_flows_origdata,102,74143,-0.22948839313094482,0.7277927593630011
103,windowedGaussian,n_flows_origdata,103,65521,-0.37581122998149086,0.6515022483999641
104,windowedGaussian,n_flows_origdata,104,60863,-0.4549611592447669,0.607060588056147
105,windowedGaussian,n_flows_origdata,105,51222,-0.6196512793369218,0.5114748580082169
106,windowedGaussian,n_flows_origdata,106,43882,-0.7449703532448542,0.5619887645659929
107,windowedGaussian,n_flows_origdata,107,36171,-0.8760317962634655,0.6365517570269723
108,windowedGaussian,n_flows_origdata,108,27772,-1.0187869590067307,0.7121258154686424
109,windowedGaussian,n_flows_origdata,109,20870,-1.136098083337486,0.7676528496861666
110,windowedGaussian,n_flows_origdata,110,17594,-1.1917792255147615,0.7908118898590722
111,windowedGaussian,n_flows_origdata,111,16319,-1.2134499997137926,0.7983248473607355
112,windowedGaussian,n_flows_origdata,112,11688,-1.2921616509418032,0.8282538484542235
113,windowedGaussian,n_flows_origdata,113,12111,-1.2849720529134188,0.8234478414303599
114,windowedGaussian,n_flows_origdata,114,13770,-1.2567745514262088,0.8102241861212296
115,windowedGaussian,n_flows_origdata,115,12083,-1.2854479601115152,0.8199128413118494
116,windowedGaussian,n_flows_origdata,116,7470,-1.3638536709978923,0.8474706742524577
117,windowedGaussian,n_flows_origdata,117,4253,-1.418532008722036,0.8640840373625494
118,windowedGaussian,n_flows_origdata,118,3701,-1.427914179198793,0.8649251496570234
119,windowedGaussian,n_flows_origdata,119,3721,-1.427574245485867,0.8625828499184345
120,windowedGaussian,n_flows_origdata,120,3387,-1.433251138491731,0.86227200350314
121,windowedGaussian,n_flows_origdata,121,3446,-1.4322483340385994,0.8597657072000713
122,windowedGaussian,n_flows_origdata,122,2988,-1.4400328160646043,0.8602387594128463
123,windowedGaussian,n_flows_origdata,123,6927,-1.3730828713038328,0.8344135801791399
124,windowedGaussian,n_flows_origdata,124,10519,-1.3120307764623267,0.8086174304103402
125,windowedGaussian,n_flows_origdata,125,13473,-1.2618225670631595,0.7856676308829607
126,windowedGaussian,n_flows_origdata,126,15386,-1.2293079074217896,0.7696234408170334
127,windowedGaussian,n_flows_origdata,127,18488,-1.1765841885469701,0.7434118293096973
128,windowedGaussian,n_flows_origdata,128,17375,-1.195501499671301,0.751350894371027
129,windowedGaussian,n_flows_origdata,129,17383,-1.1953655261861307,0.7500673588808238
130,windowedGaussian,n_flows_origdata,130,15010,-1.235698661224798,0.7678947527153416
131,windowedGaussian,n_flows_origdata,131,14860,-1.2382481640717429,0.7677658425804814
132,windowedGaussian,n_flows_origdata,132,11969,-1.2873855822751932,0.78867888527741
133,windowedGaussian,n_flows_origdata,133,11600,-1.2936573592786775,0.7900038254665492
134,windowedGaussian,n_flows_origdata,134,10744,-1.3082065221919095,0.7949224683398433
135,windowedGaussian,n_flows_origdata,135,13771,-1.2567575547405625,0.7703838788703592
136,windowedGaussian,n_flows_origdata,136,16345,-1.213008085886989,0.7482926253264821
137,windowedGaussian,n_flows_origdata,137,13676,-1.258372239876961,0.7688233469205008
138,windowedGaussian,n_flows_origdata,138,16100,-1.217172273870332,0.7478563865548706
139,windowedGaussian,n_flows_origdata,139,11868,-1.2891022475254694,0.7807449039680016
140,windowedGaussian,n_flows_origdata,140,9097,-1.336200063451364,0.8003010250753739
141,windowedGaussian,n_flows_origdata,141,7701,-1.3599274366135972,0.808971544384411
142,windowedGaussian,n_flows_origdata,142,4279,-1.4180900948952324,0.8310398454087475
143,windowedGaussian,n_flows_origdata,143,3293,-1.434848826942483,0.8358875970018748
144,windowedGaussian,n_flows_origdata,144,3493,-1.4314494898132233,0.8329375929512275
145,windowedGaussian,n_flows_origdata,145,3994,-1.4229341503044275,0.8280010939414366
146,windowedGaussian,n_flows_origdata,146,3370,-1.4335400821477182,0.8305964634396036
147,windowedGaussian,n_flows_origdata,147,5335,-1.4001415948527405,0.8156194258618923
148,windowedGaussian,n_flows_origdata,148,8092,-1.3532817325258943,0.7941742836812193
149,windowedGaussian,n_flows_origdata,149,13793,-1.2563836276563438,0.7475042589453442
150,windowedGaussian,n_flows_origdata,150,16980,-1.202215190501589,0.7189042427410087
151,windowedGaussian,n_flows_origdata,151,18191,-1.1816322041839211,0.7071542442006139
152,windowedGaussian,n_flows_origdata,152,17664,-1.1905894575195206,0.7111316841463511
153,windowedGaussian,n_flows_origdata,153,21831,-1.1197642684313927,0.6714484639593471
154,windowedGaussian,n_flows_origdata,154,22182,-1.113798431769542,0.6674441721251574
155,windowedGaussian,n_flows_origdata,155,21682,-1.1222967745926913,0.6716679095402225
