,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,AnDePeDPro,n_packets_origdata,0,393434,-1.0413174991792187,1.0
1,AnDePeDPro,n_packets_origdata,1,480314,-0.9901277710627833,1.0
2,AnDePeDPro,n_packets_origdata,2,1651033,-0.3003397034897497,1.0
3,AnDePeDPro,n_packets_origdata,3,3648527,0.7357225997357393,1.0
4,AnDePeDPro,n_packets_origdata,4,8376092,0.7357225997357393,1.0
5,AnDePeDPro,n_packets_origdata,5,10464367,0.7357225997357391,1.0
6,AnDePeDPro,n_packets_origdata,6,10562694,0.7357225997357395,1.0
7,AnDePeDPro,n_packets_origdata,7,13375136,0.7357225997357393,1.0
8,AnDePeDPro,n_packets_origdata,8,11372388,0.43591256070388384,1.0
9,AnDePeDPro,n_packets_origdata,9,13354400,0.7326184343742637,1.0
10,AnDePeDPro,n_packets_origdata,10,12808166,0.6508475691128697,1.0
11,AnDePeDPro,n_packets_origdata,11,10950839,0.3728069567318215,1.0
12,AnDePeDPro,n_packets_origdata,12,8914296,0.06793782875363763,1.0
13,AnDePeDPro,n_packets_origdata,13,8536147,0.011329175817842874,1.0
14,AnDePeDPro,n_packets_origdata,14,5343342,-0.4666316019091121,1.0
15,AnDePeDPro,n_packets_origdata,15,4173119,-0.6418132040407707,1.0
16,AnDePeDPro,n_packets_origdata,16,4212088,-0.6359795707473996,1.0
17,AnDePeDPro,n_packets_origdata,17,3505072,-0.7418193941081751,1.0
18,AnDePeDPro,n_packets_origdata,18,2672914,-0.8663928913532957,1.0
19,AnDePeDPro,n_packets_origdata,19,3671035,-0.7169748437664227,1.0
20,AnDePeDPro,n_packets_origdata,20,1888224,-0.9838604606769983,1.0
21,AnDePeDPro,n_packets_origdata,21,1612761,-1.025097087942052,1.0
22,AnDePeDPro,n_packets_origdata,22,1291361,-1.0732104534502631,1.0
23,AnDePeDPro,n_packets_origdata,23,290180,-1.2230865809949927,1.0
24,AnDePeDPro,n_packets_origdata,24,448045,-1.1994542958489014,1.0
25,AnDePeDPro,n_packets_origdata,25,620287,-1.1736697833975471,1.0
