,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,AnDePeD,n_packets_origdata,0,393434,-1.041157801582232,1.0
1,AnDePeD,n_packets_origdata,1,480314,-0.9899680734657966,1.0
2,AnDePeD,n_packets_origdata,2,1651033,-0.30018000589276306,1.0
3,AnDePeD,n_packets_origdata,3,3648527,0.7358822973327259,1.0
4,AnDePeD,n_packets_origdata,4,8376092,0.7358822973327259,1.0
5,AnDePeD,n_packets_origdata,5,10464367,0.7358822973327257,1.0
6,AnDePeD,n_packets_origdata,6,10562694,0.7358822973327261,1.0
7,AnDePeD,n_packets_origdata,7,13375136,0.7358822973327259,1.0
8,AnDePeD,n_packets_origdata,8,11372388,0.4360722583008705,1.0
9,AnDePeD,n_packets_origdata,9,13354400,0.7327781319712503,1.0
10,AnDePeD,n_packets_origdata,10,12808166,0.6510072667098563,1.0
11,AnDePeD,n_packets_origdata,11,10950839,0.37296665432880816,1.0
12,AnDePeD,n_packets_origdata,12,8914296,0.06809752635062427,1.0
13,AnDePeD,n_packets_origdata,13,8536147,0.011488873414829515,1.0
14,AnDePeD,n_packets_origdata,14,5343342,-0.4664719043121255,1.0
15,AnDePeD,n_packets_origdata,15,4173119,-0.641653506443784,1.0
16,AnDePeD,n_packets_origdata,16,4212088,-0.635819873150413,1.0
17,AnDePeD,n_packets_origdata,17,3505072,-0.7416596965111885,1.0
18,AnDePeD,n_packets_origdata,18,2672914,-0.866233193756309,1.0
19,AnDePeD,n_packets_origdata,19,3671035,-0.7168151461694361,1.0
20,AnDePeD,n_packets_origdata,20,1888224,-0.9837007630800116,1.0
21,AnDePeD,n_packets_origdata,21,1612761,-1.0249373903450656,1.0
22,AnDePeD,n_packets_origdata,22,1291361,-1.0730507558532763,1.0
23,AnDePeD,n_packets_origdata,23,290180,-1.222926883398006,1.0
24,AnDePeD,n_packets_origdata,24,448045,-1.1992945982519148,1.0
25,AnDePeD,n_packets_origdata,25,620287,-1.1735100858005605,1.0
26,AnDePeD,n_packets_origdata,26,1227337,-1.0826351059257644,1.0
27,AnDePeD,n_packets_origdata,27,3950595,-0.6749652007385853,1.0
28,AnDePeD,n_packets_origdata,28,6923033,-0.22999321584594257,1.0
29,AnDePeD,n_packets_origdata,29,11434363,0.44534987444079377,1.0
30,AnDePeD,n_packets_origdata,30,12579040,0.6167072574210126,1.0
31,AnDePeD,n_packets_origdata,31,15217321,0.7358822973327257,1.0
32,AnDePeD,n_packets_origdata,32,10681153,0.1391083096106065,1.0
33,AnDePeD,n_packets_origdata,33,11806052,0.2870989620764377,1.0
34,AnDePeD,n_packets_origdata,34,10248540,0.08219415097485294,1.0
35,AnDePeD,n_packets_origdata,35,14327962,0.618879065321355,1.0
36,AnDePeD,n_packets_origdata,36,10302398,0.08927965870532883,1.0
37,AnDePeD,n_packets_origdata,37,8121121,-0.19768708803256563,1.0
38,AnDePeD,n_packets_origdata,38,5559860,-0.5346441717576709,1.0
39,AnDePeD,n_packets_origdata,39,3969671,-0.743847938188246,1.0
40,AnDePeD,n_packets_origdata,40,3305944,-0.8311672368890083,1.0
41,AnDePeD,n_packets_origdata,41,4192520,-0.7145301337352614,1.0
42,AnDePeD,n_packets_origdata,42,3796746,-0.76659778824381,1.0
43,AnDePeD,n_packets_origdata,43,3062936,-0.8631371403864927,1.0
44,AnDePeD,n_packets_origdata,44,2331183,-0.9594058755474533,1.0
45,AnDePeD,n_packets_origdata,45,1247790,-1.1019360377637182,1.0
46,AnDePeD,n_packets_origdata,46,824251,-1.1576564295097556,1.0
47,AnDePeD,n_packets_origdata,47,916814,-1.1454789284503761,1.0
48,AnDePeD,n_packets_origdata,48,887172,-1.149378602039198,1.0
49,AnDePeD,n_packets_origdata,49,591138,-1.1883245561311386,1.0
50,AnDePeD,n_packets_origdata,50,1330481,-1.0910572877221125,1.0
51,AnDePeD,n_packets_origdata,51,8227277,-0.18372130470165082,1.0
52,AnDePeD,n_packets_origdata,52,9434980,-0.024837036020692205,1.0
53,AnDePeD,n_packets_origdata,53,12679168,0.40196528031332535,1.0
54,AnDePeD,n_packets_origdata,54,12237744,0.34389195482003476,1.0
55,AnDePeD,n_packets_origdata,55,13486424,0.5081671190090278,1.0
56,AnDePeD,n_packets_origdata,56,12384283,0.3631704875787005,1.0
57,AnDePeD,n_packets_origdata,57,14280622,0.6126510595290728,1.0
58,AnDePeD,n_packets_origdata,58,13363491,0.49199416936680906,1.0
59,AnDePeD,n_packets_origdata,59,11636892,0.26484443187317486,0.0
60,AnDePeD,n_packets_origdata,60,10062280,0.057689960884644176,0.0
61,AnDePeD,n_packets_origdata,61,8276451,-0.17725201959751713,0.0
62,AnDePeD,n_packets_origdata,62,4997653,-0.6086075949190903,0.0
63,AnDePeD,n_packets_origdata,63,6371501,-0.42786544659388315,0.0
64,AnDePeD,n_packets_origdata,64,4026618,-0.7363560445284849,0.0
65,AnDePeD,n_packets_origdata,65,4570251,-0.6648361993050851,0.0
66,AnDePeD,n_packets_origdata,66,4843885,-0.6288371681059861,0.0
67,AnDePeD,n_packets_origdata,67,3371745,-0.8225105193322284,0.0
68,AnDePeD,n_packets_origdata,68,3143018,-0.8526016279264685,0.0
69,AnDePeD,n_packets_origdata,69,1521356,-1.065945952580544,0.0
70,AnDePeD,n_packets_origdata,70,1472097,-1.0724264202045832,0.0
71,AnDePeD,n_packets_origdata,71,1309283,-1.0938460766275795,0.0
72,AnDePeD,n_packets_origdata,72,853283,-1.1538370069461403,0.0
73,AnDePeD,n_packets_origdata,73,578645,-1.1899681234391863,0.0
74,AnDePeD,n_packets_origdata,74,1746612,-1.0363114854756366,0.0
75,AnDePeD,n_packets_origdata,75,3907560,-0.7520192028220534,0.0
76,AnDePeD,n_packets_origdata,76,11449104,0.24013921954277606,0.0
77,AnDePeD,n_packets_origdata,77,11066098,0.18975131108314702,0.0
78,AnDePeD,n_packets_origdata,78,15001144,0.7074422549128234,0.0
