,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,bayesChangePt,n_packets_origdata,0,393434,-1.0413103074950365,0.0
1,bayesChangePt,n_packets_origdata,1,480314,-0.9901205793786012,0.0
2,bayesChangePt,n_packets_origdata,2,1651033,-0.3003325118055676,0.0
3,bayesChangePt,n_packets_origdata,3,3648527,0.7357297914199215,0.0
4,bayesChangePt,n_packets_origdata,4,8376092,0.7357297914199215,0.0
5,bayesChangePt,n_packets_origdata,5,10464367,0.7357297914199212,0.0
6,bayesChangePt,n_packets_origdata,6,10562694,0.7357297914199217,0.0
7,bayesChangePt,n_packets_origdata,7,13375136,0.7357297914199215,0.0
8,bayesChangePt,n_packets_origdata,8,11372388,0.43591975238806596,0.0
9,bayesChangePt,n_packets_origdata,9,13354400,0.7326256260584458,0.2222222222222222
10,bayesChangePt,n_packets_origdata,10,12808166,0.6508547607970518,0.0
11,bayesChangePt,n_packets_origdata,11,10950839,0.37281414841600363,0.0
12,bayesChangePt,n_packets_origdata,12,8914296,0.06794502043781975,0.0
13,bayesChangePt,n_packets_origdata,13,8536147,0.011336367502024991,0.0
14,bayesChangePt,n_packets_origdata,14,5343342,-0.46662441022493,0.0
15,bayesChangePt,n_packets_origdata,15,4173119,-0.6418060123565885,0.0
16,bayesChangePt,n_packets_origdata,16,4212088,-0.6359723790632175,0.0
17,bayesChangePt,n_packets_origdata,17,3505072,-0.741812202423993,0.0
18,bayesChangePt,n_packets_origdata,18,2672914,-0.8663856996691135,0.0
19,bayesChangePt,n_packets_origdata,19,3671035,-0.7169676520822406,0.0
20,bayesChangePt,n_packets_origdata,20,1888224,-0.9838532689928161,0.0
21,bayesChangePt,n_packets_origdata,21,1612761,-1.02508989625787,0.6190476190476191
22,bayesChangePt,n_packets_origdata,22,1291361,-1.073203261766081,0.0
23,bayesChangePt,n_packets_origdata,23,290180,-1.2230793893108105,0.0
24,bayesChangePt,n_packets_origdata,24,448045,-1.1994471041647192,0.0
25,bayesChangePt,n_packets_origdata,25,620287,-1.173662591713365,0.0
26,bayesChangePt,n_packets_origdata,26,1227337,-1.082787611838569,0.0
27,bayesChangePt,n_packets_origdata,27,3950595,-0.6751177066513898,0.0
28,bayesChangePt,n_packets_origdata,28,6923033,-0.2301457217587471,0.0
29,bayesChangePt,n_packets_origdata,29,11434363,0.44519736852798925,0.0
30,bayesChangePt,n_packets_origdata,30,12579040,0.6165547515082082,0.8125
31,bayesChangePt,n_packets_origdata,31,15217321,0.7357297914199212,0.0
32,bayesChangePt,n_packets_origdata,32,10681153,0.13895580369780197,0.0
33,bayesChangePt,n_packets_origdata,33,11806052,0.2869464561636332,0.0
34,bayesChangePt,n_packets_origdata,34,10248540,0.08204164506204842,0.0
35,bayesChangePt,n_packets_origdata,35,14327962,0.6187265594085505,0.0
36,bayesChangePt,n_packets_origdata,36,10302398,0.08912715279252431,0.0
37,bayesChangePt,n_packets_origdata,37,8121121,-0.19783959394537015,0.0
38,bayesChangePt,n_packets_origdata,38,5559860,-0.5347966776704753,0.0
39,bayesChangePt,n_packets_origdata,39,3969671,-0.7440004441010506,0.0
40,bayesChangePt,n_packets_origdata,40,3305944,-0.8313197428018129,0.0
41,bayesChangePt,n_packets_origdata,41,4192520,-0.7146826396480659,0.0
42,bayesChangePt,n_packets_origdata,42,3796746,-0.7667502941566144,0.0
43,bayesChangePt,n_packets_origdata,43,3062936,-0.8632896462992972,0.0
44,bayesChangePt,n_packets_origdata,44,2331183,-0.9595583814602577,0.8181818181818181
45,bayesChangePt,n_packets_origdata,45,1247790,-1.1020885436765226,0.0
46,bayesChangePt,n_packets_origdata,46,824251,-1.15780893542256,0.0
47,bayesChangePt,n_packets_origdata,47,916814,-1.1456314343631806,0.0
48,bayesChangePt,n_packets_origdata,48,887172,-1.1495311079520025,0.0
49,bayesChangePt,n_packets_origdata,49,591138,-1.188477062043943,0.0
50,bayesChangePt,n_packets_origdata,50,1330481,-1.091209793634917,0.0
51,bayesChangePt,n_packets_origdata,51,8227277,-0.18387381061445535,0.0
52,bayesChangePt,n_packets_origdata,52,9434980,-0.02498954193349673,0.0
53,bayesChangePt,n_packets_origdata,53,12679168,0.4018127744005208,0.0
54,bayesChangePt,n_packets_origdata,54,12237744,0.34373944890723024,0.7647058823529411
55,bayesChangePt,n_packets_origdata,55,13486424,0.5080146130962233,0.0
56,bayesChangePt,n_packets_origdata,56,12384283,0.363017981665896,0.0
57,bayesChangePt,n_packets_origdata,57,14280622,0.6124985536162684,0.0
58,bayesChangePt,n_packets_origdata,58,13363491,0.49184166345400454,0.0
59,bayesChangePt,n_packets_origdata,59,11636892,0.26469192596037033,0.0
60,bayesChangePt,n_packets_origdata,60,10062280,0.05753745497183965,0.0
61,bayesChangePt,n_packets_origdata,61,8276451,-0.17740452551032165,0.0
62,bayesChangePt,n_packets_origdata,62,4997653,-0.6087601008318948,0.0
63,bayesChangePt,n_packets_origdata,63,6371501,-0.42801795250668767,0.0
64,bayesChangePt,n_packets_origdata,64,4026618,-0.7365085504412894,0.0
65,bayesChangePt,n_packets_origdata,65,4570251,-0.6649887052178896,0.6428571428571428
66,bayesChangePt,n_packets_origdata,66,4843885,-0.6289896740187906,0.0
67,bayesChangePt,n_packets_origdata,67,3371745,-0.8226630252450329,0.0
68,bayesChangePt,n_packets_origdata,68,3143018,-0.852754133839273,0.0
69,bayesChangePt,n_packets_origdata,69,1521356,-1.0660984584933484,0.0
70,bayesChangePt,n_packets_origdata,70,1472097,-1.072578926117388,0.0
71,bayesChangePt,n_packets_origdata,71,1309283,-1.093998582540384,0.0
72,bayesChangePt,n_packets_origdata,72,853283,-1.153989512858945,0.0
73,bayesChangePt,n_packets_origdata,73,578645,-1.190120629351991,0.0
74,bayesChangePt,n_packets_origdata,74,1746612,-1.036463991388441,0.0
75,bayesChangePt,n_packets_origdata,75,3907560,-0.7521717087348578,0.0
76,bayesChangePt,n_packets_origdata,76,11449104,0.23998671362997154,0.0
77,bayesChangePt,n_packets_origdata,77,11066098,0.1895988051703425,0.875
78,bayesChangePt,n_packets_origdata,78,15001144,0.707289749000019,0.0
79,bayesChangePt,n_packets_origdata,79,14621789,0.6573821626601115,0.0
80,bayesChangePt,n_packets_origdata,80,12737856,0.4095337123797657,0.0
81,bayesChangePt,n_packets_origdata,81,11235200,0.21181579122388733,0.0
82,bayesChangePt,n_packets_origdata,82,10625721,0.13162872987505353,0.0
83,bayesChangePt,n_packets_origdata,83,13379724,0.4939634575947484,0.0
84,bayesChangePt,n_packets_origdata,84,8718474,-0.11930121553139822,0.0
85,bayesChangePt,n_packets_origdata,85,10686373,0.13960850546195575,0.0
86,bayesChangePt,n_packets_origdata,86,5574064,-0.5330004530373433,0.0
87,bayesChangePt,n_packets_origdata,87,4467505,-0.6785866248645991,0.0
88,bayesChangePt,n_packets_origdata,88,4066287,-0.731373500836136,0.0
89,bayesChangePt,n_packets_origdata,89,3972765,-0.7436778695698669,0.0
90,bayesChangePt,n_packets_origdata,90,3171023,-0.8491603143135522,0.9444444444444444
91,bayesChangePt,n_packets_origdata,91,2331685,-0.9595891358125823,0.0
92,bayesChangePt,n_packets_origdata,92,2608115,-0.9232201889437679,0.0
93,bayesChangePt,n_packets_origdata,93,1501791,-1.0687754426271385,0.0
94,bayesChangePt,n_packets_origdata,94,1020627,-1.132080539581833,0.0
95,bayesChangePt,n_packets_origdata,95,264776,-1.2315252628743127,0.0
96,bayesChangePt,n_packets_origdata,96,600138,-1.1874028349185217,0.0
97,bayesChangePt,n_packets_origdata,97,1106005,-1.1208476489919346,0.0
98,bayesChangePt,n_packets_origdata,98,1736168,-1.037939264714929,0.0
99,bayesChangePt,n_packets_origdata,99,3226343,-0.8418820516764187,0.0
100,bayesChangePt,n_packets_origdata,100,6771908,-0.37540422689282943,0.0
101,bayesChangePt,n_packets_origdata,101,9647981,0.0029908319930779803,0.0
102,bayesChangePt,n_packets_origdata,102,9088281,-0.07064697708146289,0.875
103,bayesChangePt,n_packets_origdata,103,6973517,-0.34887922233733687,0.0
104,bayesChangePt,n_packets_origdata,104,8043505,-0.20810457153145873,0.0
105,bayesChangePt,n_packets_origdata,105,7457928,-0.28543195384254066,0.6842105263157895
106,bayesChangePt,n_packets_origdata,106,8703411,-0.12309042327755099,0.0
107,bayesChangePt,n_packets_origdata,107,4428418,-0.6867227740607509,0.0
108,bayesChangePt,n_packets_origdata,108,4511117,-0.6758194037447247,0.0
109,bayesChangePt,n_packets_origdata,109,5351338,-0.5650412720828926,0.0
110,bayesChangePt,n_packets_origdata,110,2810587,-0.9000241501565562,0.0
111,bayesChangePt,n_packets_origdata,111,2484084,-0.9430716249542381,0.0
112,bayesChangePt,n_packets_origdata,112,1574785,-1.0629572792546809,0.0
113,bayesChangePt,n_packets_origdata,113,3678956,-0.7855348724390823,0.0
114,bayesChangePt,n_packets_origdata,114,3821014,-0.7668053717153245,0.0
115,bayesChangePt,n_packets_origdata,115,3648494,-0.7895511056047408,0.0
116,bayesChangePt,n_packets_origdata,116,2401515,-0.9539578555449826,0.0
117,bayesChangePt,n_packets_origdata,117,729291,-1.174430624542753,0.0
118,bayesChangePt,n_packets_origdata,118,732015,-1.174071481376078,0.0
119,bayesChangePt,n_packets_origdata,119,683862,-1.1804201674645145,0.0
120,bayesChangePt,n_packets_origdata,120,534238,-1.2001472001996758,0.0
121,bayesChangePt,n_packets_origdata,121,439434,-1.2126465426275232,0.0
122,bayesChangePt,n_packets_origdata,122,266796,-1.2354078341137338,0.0
123,bayesChangePt,n_packets_origdata,123,1104818,-1.124919627497246,0.0
124,bayesChangePt,n_packets_origdata,124,1450571,-1.0793341549174444,0.0
125,bayesChangePt,n_packets_origdata,125,1247025,-1.1061704820114344,0.0
126,bayesChangePt,n_packets_origdata,126,3608500,-0.7948240761656806,0.0
127,bayesChangePt,n_packets_origdata,127,2605874,-0.9270143392459607,0.0
128,bayesChangePt,n_packets_origdata,128,2651742,-0.9209669167903629,0.0
129,bayesChangePt,n_packets_origdata,129,9336415,-0.03963261818285996,0.0
130,bayesChangePt,n_packets_origdata,130,2157356,-0.9861487646610618,0.0
131,bayesChangePt,n_packets_origdata,131,1957883,-1.0124480909775675,0.0
132,bayesChangePt,n_packets_origdata,132,1752840,-1.0394817886003798,0.0
133,bayesChangePt,n_packets_origdata,133,1680168,-1.0490631587210133,0.0
134,bayesChangePt,n_packets_origdata,134,1180773,-1.1149054133912257,0.0
135,bayesChangePt,n_packets_origdata,135,2005113,-1.006221096938632,0.0
136,bayesChangePt,n_packets_origdata,136,2552946,-0.9339925806284035,0.0
137,bayesChangePt,n_packets_origdata,137,4415421,-0.6884363510568137,0.0
138,bayesChangePt,n_packets_origdata,138,3612240,-0.7943309794537259,0.0
139,bayesChangePt,n_packets_origdata,139,4172611,-0.7204494025620836,0.0
140,bayesChangePt,n_packets_origdata,140,2448374,-0.9477797756451207,0.0
141,bayesChangePt,n_packets_origdata,141,1520549,-1.0701079726422673,0.0
142,bayesChangePt,n_packets_origdata,142,729966,-1.174341629815328,0.0
143,bayesChangePt,n_packets_origdata,143,704054,-1.1777579725961218,0.0
144,bayesChangePt,n_packets_origdata,144,261996,-1.2360406855087558,0.0
145,bayesChangePt,n_packets_origdata,145,673645,-1.1817672180276269,0.0
146,bayesChangePt,n_packets_origdata,146,453900,-1.2107392867357756,0.0
147,bayesChangePt,n_packets_origdata,147,780001,-1.1677448132424266,0.0
148,bayesChangePt,n_packets_origdata,148,737209,-1.1733866834290478,0.0
149,bayesChangePt,n_packets_origdata,149,1198502,-1.1125679503949037,0.0
150,bayesChangePt,n_packets_origdata,150,2726951,-0.9110510583386522,0.0
151,bayesChangePt,n_packets_origdata,151,2737468,-0.909664454563351,0.0
152,bayesChangePt,n_packets_origdata,152,3616284,-0.794239966683149,0.0
153,bayesChangePt,n_packets_origdata,153,3080107,-0.8668006753661175,0.0
154,bayesChangePt,n_packets_origdata,154,3271785,-0.8450215048339189,0.0
155,bayesChangePt,n_packets_origdata,155,3653390,-0.7945237625470138,0.0
156,bayesChangePt,n_packets_origdata,156,2449018,-0.9538981598257823,0.0
157,bayesChangePt,n_packets_origdata,157,2963764,-0.8857818855337389,0.2816901408450704
158,bayesChangePt,n_packets_origdata,158,2160504,-0.9920771816367233,0.0
159,bayesChangePt,n_packets_origdata,159,3318331,-0.838862078430999,0.0
160,bayesChangePt,n_packets_origdata,160,3219019,-0.8520040230648407,0.0
161,bayesChangePt,n_packets_origdata,161,3221750,-0.8516426301738,0.0
162,bayesChangePt,n_packets_origdata,162,3585588,-0.8034959927917349,0.0
163,bayesChangePt,n_packets_origdata,163,3705047,-0.7876879981484484,0.0
164,bayesChangePt,n_packets_origdata,164,3746978,-0.7821392741227353,0.0
165,bayesChangePt,n_packets_origdata,165,1238905,-1.1140322629220036,0.0
166,bayesChangePt,n_packets_origdata,166,1186948,-1.1209077262833347,0.0
167,bayesChangePt,n_packets_origdata,167,786068,-1.1739561269279135,0.0
168,bayesChangePt,n_packets_origdata,168,866244,-1.1633464467989978,0.0
169,bayesChangePt,n_packets_origdata,169,963088,-1.1505310922988392,0.0
170,bayesChangePt,n_packets_origdata,170,1999593,-1.0133705142951743,0.0
171,bayesChangePt,n_packets_origdata,171,5372042,-0.5670947566983644,0.0
172,bayesChangePt,n_packets_origdata,172,7638464,-0.2671794147364615,0.0
173,bayesChangePt,n_packets_origdata,173,12189802,0.33509857791195236,0.9696969696969697
174,bayesChangePt,n_packets_origdata,174,15699444,0.7357297914199212,0.0
175,bayesChangePt,n_packets_origdata,175,14585427,0.5928692593866931,0.0
