,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,knncad,n_packets_origdata,0,393434,-1.0411643230591847,0.0
1,knncad,n_packets_origdata,1,480314,-0.9899745949427494,0.0
2,knncad,n_packets_origdata,2,1651033,-0.3001865273697158,0.0
3,knncad,n_packets_origdata,3,3648527,0.7358757758557732,0.0
4,knncad,n_packets_origdata,4,8376092,0.7358757758557732,0.0
5,knncad,n_packets_origdata,5,10464367,0.735875775855773,0.0
6,knncad,n_packets_origdata,6,10562694,0.7358757758557735,0.0
7,knncad,n_packets_origdata,7,13375136,0.7358757758557732,0.0
8,knncad,n_packets_origdata,8,11372388,0.43606573682391775,0.0
9,knncad,n_packets_origdata,9,13354400,0.7327716104942976,0.0
10,knncad,n_packets_origdata,10,12808166,0.6510007452329036,0.0
11,knncad,n_packets_origdata,11,10950839,0.3729601328518554,0.0
12,knncad,n_packets_origdata,12,8914296,0.06809100487367153,0.0
13,knncad,n_packets_origdata,13,8536147,0.011482351937876778,0.0
14,knncad,n_packets_origdata,14,5343342,-0.4664784257890782,0.0
15,knncad,n_packets_origdata,15,4173119,-0.6416600279207367,0.0
16,knncad,n_packets_origdata,16,4212088,-0.6358263946273657,0.0
17,knncad,n_packets_origdata,17,3505072,-0.7416662179881413,0.0
18,knncad,n_packets_origdata,18,2672914,-0.8662397152332617,0.0
19,knncad,n_packets_origdata,19,3671035,-0.7168216676463888,0.0
20,knncad,n_packets_origdata,20,1888224,-0.9837072845569643,0.0
21,knncad,n_packets_origdata,21,1612761,-1.0249439118220183,0.0
22,knncad,n_packets_origdata,22,1291361,-1.0730572773302292,0.0
23,knncad,n_packets_origdata,23,290180,-1.2229334048749587,0.0
24,knncad,n_packets_origdata,24,448045,-1.1993011197288674,0.0
25,knncad,n_packets_origdata,25,620287,-1.1735166072775132,0.0
26,knncad,n_packets_origdata,26,1227337,-1.0826416274027173,0.0
27,knncad,n_packets_origdata,27,3950595,-0.674971722215538,0.0
28,knncad,n_packets_origdata,28,6923033,-0.2299997373228953,0.0
29,knncad,n_packets_origdata,29,11434363,0.44534335296384103,0.0
30,knncad,n_packets_origdata,30,12579040,0.6167007359440599,0.0
31,knncad,n_packets_origdata,31,15217321,0.735875775855773,0.0
32,knncad,n_packets_origdata,32,10681153,0.13910178813365376,0.0
33,knncad,n_packets_origdata,33,11806052,0.28709244059948497,0.0
34,knncad,n_packets_origdata,34,10248540,0.0821876294979002,0.0
35,knncad,n_packets_origdata,35,14327962,0.6188725438444023,0.0
36,knncad,n_packets_origdata,36,10302398,0.0892731372283761,0.0
37,knncad,n_packets_origdata,37,8121121,-0.19769360950951836,0.0
38,knncad,n_packets_origdata,38,5559860,-0.5346506932346236,0.0
39,knncad,n_packets_origdata,39,3969671,-0.7438544596651988,0.0
40,knncad,n_packets_origdata,40,3305944,-0.8311737583659611,0.0
41,knncad,n_packets_origdata,41,4192520,-0.7145366552122141,0.0
42,knncad,n_packets_origdata,42,3796746,-0.7666043097207627,0.0
43,knncad,n_packets_origdata,43,3062936,-0.8631436618634454,0.0
44,knncad,n_packets_origdata,44,2331183,-0.959412397024406,0.0
45,knncad,n_packets_origdata,45,1247790,-1.1019425592406709,0.0
46,knncad,n_packets_origdata,46,824251,-1.1576629509867082,0.0
47,knncad,n_packets_origdata,47,916814,-1.1454854499273288,0.0
48,knncad,n_packets_origdata,48,887172,-1.1493851235161507,0.0
49,knncad,n_packets_origdata,49,591138,-1.1883310776080913,0.0
50,knncad,n_packets_origdata,50,1330481,-1.0910638091990652,0.0
51,knncad,n_packets_origdata,51,8227277,-0.18372782617860356,0.0
52,knncad,n_packets_origdata,52,9434980,-0.02484355749764494,0.0
53,knncad,n_packets_origdata,53,12679168,0.4019587588363726,0.0
54,knncad,n_packets_origdata,54,12237744,0.343885433343082,0.0
55,knncad,n_packets_origdata,55,13486424,0.5081605975320751,0.0
56,knncad,n_packets_origdata,56,12384283,0.3631639661017478,0.0
57,knncad,n_packets_origdata,57,14280622,0.6126445380521202,0.0
58,knncad,n_packets_origdata,58,13363491,0.4919876478898563,0.0
59,knncad,n_packets_origdata,59,11636892,0.2648379103962221,0.0
60,knncad,n_packets_origdata,60,10062280,0.05768343940769144,0.0
61,knncad,n_packets_origdata,61,8276451,-0.17725854107446987,0.0
62,knncad,n_packets_origdata,62,4997653,-0.608614116396043,0.0
63,knncad,n_packets_origdata,63,6371501,-0.4278719680708359,0.0
64,knncad,n_packets_origdata,64,4026618,-0.7363625660054376,0.0
65,knncad,n_packets_origdata,65,4570251,-0.6648427207820378,0.0
66,knncad,n_packets_origdata,66,4843885,-0.6288436895829388,0.0
67,knncad,n_packets_origdata,67,3371745,-0.8225170408091811,0.0
68,knncad,n_packets_origdata,68,3143018,-0.8526081494034212,0.0
69,knncad,n_packets_origdata,69,1521356,-1.0659524740574966,0.0
70,knncad,n_packets_origdata,70,1472097,-1.0724329416815361,0.0
71,knncad,n_packets_origdata,71,1309283,-1.0938525981045322,0.0
72,knncad,n_packets_origdata,72,853283,-1.1538435284230932,0.0
73,knncad,n_packets_origdata,73,578645,-1.1899746449161392,0.0
74,knncad,n_packets_origdata,74,1746612,-1.0363180069525892,0.0
75,knncad,n_packets_origdata,75,3907560,-0.752025724299006,0.0
76,knncad,n_packets_origdata,76,11449104,0.24013269806582332,0.0
77,knncad,n_packets_origdata,77,11066098,0.1897447896061943,0.0
78,knncad,n_packets_origdata,78,15001144,0.7074357334358707,0.0
79,knncad,n_packets_origdata,79,14621789,0.6575281470959633,0.0
80,knncad,n_packets_origdata,80,12737856,0.4096796968156175,0.0
81,knncad,n_packets_origdata,81,11235200,0.21196177565973912,0.0
82,knncad,n_packets_origdata,82,10625721,0.13177471431090532,0.0
83,knncad,n_packets_origdata,83,13379724,0.4941094420306002,0.0
84,knncad,n_packets_origdata,84,8718474,-0.11915523109554643,0.0
85,knncad,n_packets_origdata,85,10686373,0.13975448989780753,0.0
86,knncad,n_packets_origdata,86,5574064,-0.5328544686014915,0.0
87,knncad,n_packets_origdata,87,4467505,-0.6784406404287473,0.0
88,knncad,n_packets_origdata,88,4066287,-0.7312275164002842,0.0
89,knncad,n_packets_origdata,89,3972765,-0.7435318851340151,0.0
90,knncad,n_packets_origdata,90,3171023,-0.8490143298777004,0.0
91,knncad,n_packets_origdata,91,2331685,-0.9594431513767305,0.0
92,knncad,n_packets_origdata,92,2608115,-0.9230742045079161,0.0
93,knncad,n_packets_origdata,93,1501791,-1.0686294581912867,0.0
94,knncad,n_packets_origdata,94,1020627,-1.1319345551459812,0.0
95,knncad,n_packets_origdata,95,264776,-1.231379278438461,0.0
96,knncad,n_packets_origdata,96,600138,-1.18725685048267,0.0
97,knncad,n_packets_origdata,97,1106005,-1.1207016645560828,0.0
98,knncad,n_packets_origdata,98,1736168,-1.0377932802790772,0.0
99,knncad,n_packets_origdata,99,3226343,-0.8417360672405669,0.0
100,knncad,n_packets_origdata,100,6771908,-0.37525824245697764,0.0
101,knncad,n_packets_origdata,101,9647981,0.0031368164289297673,0.0
102,knncad,n_packets_origdata,102,9088281,-0.0705009926456111,0.0
103,knncad,n_packets_origdata,103,6973517,-0.3487332379014851,0.0
104,knncad,n_packets_origdata,104,8043505,-0.20795858709560694,0.0
105,knncad,n_packets_origdata,105,7457928,-0.2852859694066889,0.0
106,knncad,n_packets_origdata,106,8703411,-0.1229444388416992,0.0
107,knncad,n_packets_origdata,107,4428418,-0.6865767896248991,0.0
108,knncad,n_packets_origdata,108,4511117,-0.6756734193088729,0.0
109,knncad,n_packets_origdata,109,5351338,-0.5648952876470408,0.0
110,knncad,n_packets_origdata,110,2810587,-0.8998781657207044,0.0
111,knncad,n_packets_origdata,111,2484084,-0.9429256405183863,0.0
112,knncad,n_packets_origdata,112,1574785,-1.062811294818829,0.0
113,knncad,n_packets_origdata,113,3678956,-0.7853888880032305,0.0
114,knncad,n_packets_origdata,114,3821014,-0.7666593872794727,0.0
115,knncad,n_packets_origdata,115,3648494,-0.7894051211688891,0.0
116,knncad,n_packets_origdata,116,2401515,-0.9538118711091308,0.0
117,knncad,n_packets_origdata,117,729291,-1.1742846401069011,0.0
118,knncad,n_packets_origdata,118,732015,-1.1739254969402262,0.0
119,knncad,n_packets_origdata,119,683862,-1.1802741830286627,0.0
120,knncad,n_packets_origdata,120,534238,-1.200001215763824,0.0
121,knncad,n_packets_origdata,121,439434,-1.2125005581916715,0.0
122,knncad,n_packets_origdata,122,266796,-1.235261849677882,0.0
123,knncad,n_packets_origdata,123,1104818,-1.1247736430613942,0.0
124,knncad,n_packets_origdata,124,1450571,-1.0791881704815927,0.0
125,knncad,n_packets_origdata,125,1247025,-1.1060244975755826,0.0
126,knncad,n_packets_origdata,126,3608500,-0.7946780917298288,0.0
127,knncad,n_packets_origdata,127,2605874,-0.9268683548101089,0.0
128,knncad,n_packets_origdata,128,2651742,-0.9208209323545111,0.0
129,knncad,n_packets_origdata,129,9336415,-0.03948663374700817,0.0
130,knncad,n_packets_origdata,130,2157356,-0.98600278022521,0.0
131,knncad,n_packets_origdata,131,1957883,-1.0123021065417157,0.0
132,knncad,n_packets_origdata,132,1752840,-1.039335804164528,0.0
133,knncad,n_packets_origdata,133,1680168,-1.0489171742851615,0.0
134,knncad,n_packets_origdata,134,1180773,-1.114759428955374,0.0
135,knncad,n_packets_origdata,135,2005113,-1.0060751125027803,0.0
136,knncad,n_packets_origdata,136,2552946,-0.9338465961925517,0.0
137,knncad,n_packets_origdata,137,4415421,-0.6882903666209619,0.0
138,knncad,n_packets_origdata,138,3612240,-0.7941849950178741,0.0
139,knncad,n_packets_origdata,139,4172611,-0.7203034181262318,0.0
140,knncad,n_packets_origdata,140,2448374,-0.9476337912092689,0.0
141,knncad,n_packets_origdata,141,1520549,-1.0699619882064155,0.0
142,knncad,n_packets_origdata,142,729966,-1.1741956453794762,0.0
143,knncad,n_packets_origdata,143,704054,-1.17761198816027,0.0
144,knncad,n_packets_origdata,144,261996,-1.235894701072904,0.0
145,knncad,n_packets_origdata,145,673645,-1.181621233591775,0.0
146,knncad,n_packets_origdata,146,453900,-1.2105933022999238,0.0
147,knncad,n_packets_origdata,147,780001,-1.1675988288065748,0.0
148,knncad,n_packets_origdata,148,737209,-1.173240698993196,0.0
149,knncad,n_packets_origdata,149,1198502,-1.112421965959052,0.0
150,knncad,n_packets_origdata,150,2726951,-0.9109050739028004,0.0
151,knncad,n_packets_origdata,151,2737468,-0.9095184701274992,0.0
152,knncad,n_packets_origdata,152,3616284,-0.7940939822472972,0.0
153,knncad,n_packets_origdata,153,3080107,-0.8666546909302657,0.0
154,knncad,n_packets_origdata,154,3271785,-0.8448755203980671,0.0
155,knncad,n_packets_origdata,155,3653390,-0.7943777781111621,0.0
156,knncad,n_packets_origdata,156,2449018,-0.9537521753899305,0.0
157,knncad,n_packets_origdata,157,2963764,-0.8856359010978871,0.0
