,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,windowedGaussian,n_packets_origdata,0,393434,-1.0411635797432384,0.0
1,windowedGaussian,n_packets_origdata,1,480314,-0.9899738516268031,1.0
2,windowedGaussian,n_packets_origdata,2,1651033,-0.3001857840537695,1.0
3,windowedGaussian,n_packets_origdata,3,3648527,0.7358765191717195,0.999996230121161
4,windowedGaussian,n_packets_origdata,4,8376092,0.7358765191717195,0.9431152826708262
5,windowedGaussian,n_packets_origdata,5,10464367,0.7358765191717193,0.8759269928626621
6,windowedGaussian,n_packets_origdata,6,10562694,0.7358765191717197,0.8298501361970052
7,windowedGaussian,n_packets_origdata,7,13375136,0.7358765191717195,0.7968832467328544
8,windowedGaussian,n_packets_origdata,8,11372388,0.43606648013986404,0.6374035167922711
9,windowedGaussian,n_packets_origdata,9,13354400,0.7327723538102439,0.7702980828469742
10,windowedGaussian,n_packets_origdata,10,12808166,0.6510014885488499,0.7147273090727679
11,windowedGaussian,n_packets_origdata,11,10950839,0.3729608761678017,0.5496531234763402
12,windowedGaussian,n_packets_origdata,12,8914296,0.06809174818961783,0.6360551812163051
13,windowedGaussian,n_packets_origdata,13,8536147,0.011483095253823072,0.6637206107246704
14,windowedGaussian,n_packets_origdata,14,5343342,-0.4664776824731319,0.8824683799879468
15,windowedGaussian,n_packets_origdata,15,4173119,-0.6416592846047905,0.9163103477518969
16,windowedGaussian,n_packets_origdata,16,4212088,-0.6358256513114194,0.8951592413033108
17,windowedGaussian,n_packets_origdata,17,3505072,-0.7416654746721949,0.9081473552268142
18,windowedGaussian,n_packets_origdata,18,2672914,-0.8662389719173155,0.9227363829641216
19,windowedGaussian,n_packets_origdata,19,3671035,-0.7168209243304425,0.8629558822509412
20,windowedGaussian,n_packets_origdata,20,1888224,-0.9837065412410181,0.9241370295272253
21,windowedGaussian,n_packets_origdata,21,1612761,-1.024943168506072,0.9185307089478246
22,windowedGaussian,n_packets_origdata,22,1291361,-1.0730565340142828,0.9155006392501137
23,windowedGaussian,n_packets_origdata,23,290180,-1.2229326615590126,0.9336855575856037
24,windowedGaussian,n_packets_origdata,24,448045,-1.1993003764129213,0.9154171015237619
25,windowedGaussian,n_packets_origdata,25,620287,-1.1735158639615668,0.8968950217292636
26,windowedGaussian,n_packets_origdata,26,1227337,-1.082640884086771,0.860271225316871
27,windowedGaussian,n_packets_origdata,27,3950595,-0.6749709788995918,0.6897108224811382
28,windowedGaussian,n_packets_origdata,28,6923033,-0.229998994006949,0.5469939085149579
29,windowedGaussian,n_packets_origdata,29,11434363,0.4453440962797873,0.8521523378683545
30,windowedGaussian,n_packets_origdata,30,12579040,0.6167014792600062,0.8935388199886918
31,windowedGaussian,n_packets_origdata,31,15217321,0.7358765191717193,0.9128248349404465
32,windowedGaussian,n_packets_origdata,32,10681153,0.13910253144960005,0.6899217003443451
33,windowedGaussian,n_packets_origdata,33,11806052,0.28709318391543126,0.7542962383297133
34,windowedGaussian,n_packets_origdata,34,10248540,0.0821883728138465,0.6522961157283047
35,windowedGaussian,n_packets_origdata,35,14327962,0.6188732871603485,0.8711746266116889
36,windowedGaussian,n_packets_origdata,36,10302398,0.08927388054432239,0.6414115058193927
37,windowedGaussian,n_packets_origdata,37,8121121,-0.19769286619357207,0.518393265181328
38,windowedGaussian,n_packets_origdata,38,5559860,-0.5346499499186773,0.7001415848332948
39,windowedGaussian,n_packets_origdata,39,3969671,-0.7438537163492525,0.792928756650342
40,windowedGaussian,n_packets_origdata,40,3305944,-0.8311730150500147,0.8226869743781815
41,windowedGaussian,n_packets_origdata,41,4192520,-0.7145359118962679,0.7692342554627106
42,windowedGaussian,n_packets_origdata,42,3796746,-0.7666035664048164,0.7877186236241347
43,windowedGaussian,n_packets_origdata,43,3062936,-0.8631429185474991,0.8223422040683311
44,windowedGaussian,n_packets_origdata,44,2331183,-0.9594116537084597,0.8521763658614009
45,windowedGaussian,n_packets_origdata,45,1247790,-1.1019418159247247,0.8906656971625315
46,windowedGaussian,n_packets_origdata,46,824251,-1.157662207670762,0.899394734544676
47,windowedGaussian,n_packets_origdata,47,916814,-1.1454847066113825,0.8897935632836442
48,windowedGaussian,n_packets_origdata,48,887172,-1.1493843802002046,0.8848663916490347
49,windowedGaussian,n_packets_origdata,49,591138,-1.1883303342921452,0.889911986571115
50,windowedGaussian,n_packets_origdata,50,1330481,-1.091063065883119,0.8548118659285582
51,windowedGaussian,n_packets_origdata,51,8227277,-0.18372708286265726,0.6010507244794683
52,windowedGaussian,n_packets_origdata,52,9434980,-0.024842814181698647,0.6849833853280036
53,windowedGaussian,n_packets_origdata,53,12679168,0.4019595021523189,0.8629602211988225
