,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,earthgeckoSkyline,n_bytes_origdata,0,70636890,-0.3719096344870393,0.0
1,earthgeckoSkyline,n_bytes_origdata,1,141965063,-0.30711824862950354,0.0
2,earthgeckoSkyline,n_bytes_origdata,2,625205225,0.1318359328830392,0.0
3,earthgeckoSkyline,n_bytes_origdata,3,942313274,0.41988298494042653,0.0
4,earthgeckoSkyline,n_bytes_origdata,4,704080595,0.20348286168248975,0.0
5,earthgeckoSkyline,n_bytes_origdata,5,419203326,-0.05528716258015309,0.0
6,earthgeckoSkyline,n_bytes_origdata,6,739907606,0.23602654808566148,0.0
7,earthgeckoSkyline,n_bytes_origdata,7,680226831,0.18181514803617793,0.0
8,earthgeckoSkyline,n_bytes_origdata,8,1793126513,1.1927244379347255,0.0
9,earthgeckoSkyline,n_bytes_origdata,9,517075463,0.033615596685370064,0.0
10,earthgeckoSkyline,n_bytes_origdata,10,370113824,-0.1077164586568764,0.0
11,earthgeckoSkyline,n_bytes_origdata,11,259629516,-0.2085387852029691,0.0
12,earthgeckoSkyline,n_bytes_origdata,12,233275367,-0.2325882331691218,0.0
13,earthgeckoSkyline,n_bytes_origdata,13,188148615,-0.2737685981319774,0.0
14,earthgeckoSkyline,n_bytes_origdata,14,253094238,-0.21450254552796932,0.0
15,earthgeckoSkyline,n_bytes_origdata,15,275838635,-0.1937471725438893,0.0
16,earthgeckoSkyline,n_bytes_origdata,16,154992081,-0.3040255546047882,0.0
17,earthgeckoSkyline,n_bytes_origdata,17,221032315,-0.24376061600800236,0.0
18,earthgeckoSkyline,n_bytes_origdata,18,194576437,-0.267902896654586,0.0
19,earthgeckoSkyline,n_bytes_origdata,19,67680454,-0.3837016781015715,0.0
20,earthgeckoSkyline,n_bytes_origdata,20,363425387,-0.11381998404888927,0.0
21,earthgeckoSkyline,n_bytes_origdata,21,380972239,-0.09780762469918003,0.0
22,earthgeckoSkyline,n_bytes_origdata,22,351529803,-0.12467528536918604,0.0
23,earthgeckoSkyline,n_bytes_origdata,23,240272260,-0.22620322661367442,0.0
24,earthgeckoSkyline,n_bytes_origdata,24,194285523,-0.26816836988635784,0.0
25,earthgeckoSkyline,n_bytes_origdata,25,148341839,-0.31009422519405005,0.0
26,earthgeckoSkyline,n_bytes_origdata,26,332949375,-0.14163083329353165,0.0
27,earthgeckoSkyline,n_bytes_origdata,27,790547323,0.2759496410311839,0.0
28,earthgeckoSkyline,n_bytes_origdata,28,791870273,0.27715689751238615,0.0
29,earthgeckoSkyline,n_bytes_origdata,29,649757986,0.14747249557789566,0.0
