,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,knncad,n_bytes_origdata,0,70636890,-0.3721250051931684,0.0
1,knncad,n_bytes_origdata,1,141965063,-0.30733361933563264,0.0
2,knncad,n_bytes_origdata,2,625205225,0.1316205621769101,0.0
3,knncad,n_bytes_origdata,3,942313274,0.41966761423429744,0.0
4,knncad,n_bytes_origdata,4,704080595,0.20326749097636065,0.0
5,knncad,n_bytes_origdata,5,419203326,-0.055502533286282185,0.0
6,knncad,n_bytes_origdata,6,739907606,0.2358111773795324,0.0
7,knncad,n_bytes_origdata,7,680226831,0.18159977733004884,0.0
8,knncad,n_bytes_origdata,8,1793126513,1.1925090672285965,0.0
9,knncad,n_bytes_origdata,9,517075463,0.03340022597924097,0.0
10,knncad,n_bytes_origdata,10,370113824,-0.1079318293630055,0.0
11,knncad,n_bytes_origdata,11,259629516,-0.20875415590909818,0.0
12,knncad,n_bytes_origdata,12,233275367,-0.2328036038752509,0.0
13,knncad,n_bytes_origdata,13,188148615,-0.2739839688381065,0.0
14,knncad,n_bytes_origdata,14,253094238,-0.21471791623409842,0.0
15,knncad,n_bytes_origdata,15,275838635,-0.19396254325001838,0.0
16,knncad,n_bytes_origdata,16,154992081,-0.3042409253109173,0.0
17,knncad,n_bytes_origdata,17,221032315,-0.24397598671413145,0.0
18,knncad,n_bytes_origdata,18,194576437,-0.2681182673607151,0.0
19,knncad,n_bytes_origdata,19,67680454,-0.3839170488077006,0.0
20,knncad,n_bytes_origdata,20,363425387,-0.11403535475501836,0.0
21,knncad,n_bytes_origdata,21,380972239,-0.09802299540530912,0.0
22,knncad,n_bytes_origdata,22,351529803,-0.12489065607531513,0.0
23,knncad,n_bytes_origdata,23,240272260,-0.22641859731980352,0.0
24,knncad,n_bytes_origdata,24,194285523,-0.26838374059248693,0.0
25,knncad,n_bytes_origdata,25,148341839,-0.31030959590017915,0.0
26,knncad,n_bytes_origdata,26,332949375,-0.14184620399966075,0.0
27,knncad,n_bytes_origdata,27,790547323,0.2757342703250548,0.0
28,knncad,n_bytes_origdata,28,791870273,0.27694152680625705,0.0
29,knncad,n_bytes_origdata,29,649757986,0.14725712487176656,0.0
30,knncad,n_bytes_origdata,30,643774201,0.14179662884140165,0.0
31,knncad,n_bytes_origdata,31,553850566,0.05973692048732793,0.0
32,knncad,n_bytes_origdata,32,491329328,0.0026832375905496697,0.0
33,knncad,n_bytes_origdata,33,709302480,0.2007458602176797,0.0
34,knncad,n_bytes_origdata,34,1216224586,0.6636180989548333,0.0
35,knncad,n_bytes_origdata,35,286807477,-0.18503571367539173,0.0
36,knncad,n_bytes_origdata,36,198271482,-0.26587822129030214,0.0
37,knncad,n_bytes_origdata,37,180677599,-0.2819432536017744,0.0
