,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,windowedGaussian,n_bytes_origdata,0,70636890,-0.37209574368981413,0.0
1,windowedGaussian,n_bytes_origdata,1,141965063,-0.3073043578322784,1.0
2,windowedGaussian,n_bytes_origdata,2,625205225,0.13164982368026434,1.0
3,windowedGaussian,n_bytes_origdata,3,942313274,0.4196968757376517,0.9964441838068084
4,windowedGaussian,n_bytes_origdata,4,704080595,0.2032967524797149,0.7655374681337273
5,windowedGaussian,n_bytes_origdata,5,419203326,-0.055473271782927935,0.5912890860254771
6,windowedGaussian,n_bytes_origdata,6,739907606,0.23584043888288664,0.7968000856127689
7,windowedGaussian,n_bytes_origdata,7,680226831,0.1816290388334031,0.7033051934887639
8,windowedGaussian,n_bytes_origdata,8,1793126513,1.1925383287319509,0.9999945406027854
9,windowedGaussian,n_bytes_origdata,9,517075463,0.03342948748259522,0.6334896491737008
10,windowedGaussian,n_bytes_origdata,10,370113824,-0.10790256785965124,0.7466272840389152
11,windowedGaussian,n_bytes_origdata,11,259629516,-0.20872489440574393,0.8083235176364822
12,windowedGaussian,n_bytes_origdata,12,233275367,-0.23277434237189665,0.8078604917275986
13,windowedGaussian,n_bytes_origdata,13,188148615,-0.27395470733475225,0.8206021507052655
14,windowedGaussian,n_bytes_origdata,14,253094238,-0.21468865473074417,0.7600334729794304
15,windowedGaussian,n_bytes_origdata,15,275838635,-0.19393328174666413,0.7313911895424999
16,windowedGaussian,n_bytes_origdata,16,154992081,-0.30421166380756304,0.8119850447805493
17,windowedGaussian,n_bytes_origdata,17,221032315,-0.2439467252107772,0.7508974219771859
18,windowedGaussian,n_bytes_origdata,18,194576437,-0.26808900585736084,0.7630320717960125
19,windowedGaussian,n_bytes_origdata,19,67680454,-0.38388778730434636,0.8435462351693539
20,windowedGaussian,n_bytes_origdata,20,363425387,-0.11400609325166411,0.583115257798597
21,windowedGaussian,n_bytes_origdata,21,380972239,-0.09799373390195487,0.563194110804903
22,windowedGaussian,n_bytes_origdata,22,351529803,-0.12486139457196088,0.5923002391466592
23,windowedGaussian,n_bytes_origdata,23,240272260,-0.22638933581644927,0.7018125984327491
24,windowedGaussian,n_bytes_origdata,24,194285523,-0.2683544790891327,0.7395808344398894
25,windowedGaussian,n_bytes_origdata,25,148341839,-0.3102803343968249,0.7739696170699453
26,windowedGaussian,n_bytes_origdata,26,332949375,-0.1418169424963065,0.583358745171088
27,windowedGaussian,n_bytes_origdata,27,790547323,0.27576353182840907,0.8650976134482238
28,windowedGaussian,n_bytes_origdata,28,791870273,0.2769707883096113,0.8564671487637392
29,windowedGaussian,n_bytes_origdata,29,649757986,0.14728638637512081,0.7328045173637454
30,windowedGaussian,n_bytes_origdata,30,643774201,0.1418258903447559,0.7223215921578201
31,windowedGaussian,n_bytes_origdata,31,553850566,0.05976618199068218,0.6236954825314865
32,windowedGaussian,n_bytes_origdata,32,491329328,0.0027124990939039195,0.5497997269469379
33,windowedGaussian,n_bytes_origdata,33,709302480,0.20077512172103396,0.7804878986848396
34,windowedGaussian,n_bytes_origdata,34,1216224586,0.6636473604581875,0.9888645829107265
35,windowedGaussian,n_bytes_origdata,35,286807477,-0.18500645217203748,0.7099978654002459
36,windowedGaussian,n_bytes_origdata,36,198271482,-0.2658489597869479,0.7877773669210285
