,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,bayesChangePt,n_flows_origdata,0,6701,0.45689292886685273,0.0
1,bayesChangePt,n_flows_origdata,1,9398,0.8202965534710432,0.0
2,bayesChangePt,n_flows_origdata,2,15859,1.6908752774486757,0.0
3,bayesChangePt,n_flows_origdata,3,19217,1.9988992618184125,0.0
4,bayesChangePt,n_flows_origdata,4,15196,1.493589805330822,0.0
5,bayesChangePt,n_flows_origdata,5,12097,1.104145884501416,0.0
6,bayesChangePt,n_flows_origdata,6,11701,1.0543815112686166,0.0
7,bayesChangePt,n_flows_origdata,7,13549,1.28661525302168,0.0
8,bayesChangePt,n_flows_origdata,8,12705,1.180551790879047,0.0
9,bayesChangePt,n_flows_origdata,9,13787,1.316524144005029,0.0
10,bayesChangePt,n_flows_origdata,10,12764,1.1879661798202976,0.0
11,bayesChangePt,n_flows_origdata,11,8580,0.6621729030373883,0.0
12,bayesChangePt,n_flows_origdata,12,7498,0.5262005499114065,0.0
13,bayesChangePt,n_flows_origdata,13,7420,0.5163984763958551,0.0
14,bayesChangePt,n_flows_origdata,14,6670,0.42214776951555355,0.0
15,bayesChangePt,n_flows_origdata,15,6083,0.3483808829305708,0.0
16,bayesChangePt,n_flows_origdata,16,5883,0.32324736109582375,0.0
17,bayesChangePt,n_flows_origdata,17,5945,0.3310387528645953,0.0
18,bayesChangePt,n_flows_origdata,18,6637,0.41800073841282026,0.5555555555555556
19,bayesChangePt,n_flows_origdata,19,6000,0.3379504713691508,0.0
20,bayesChangePt,n_flows_origdata,20,5782,0.31055493256927647,0.0
21,bayesChangePt,n_flows_origdata,21,5692,0.29924484774364024,0.0
22,bayesChangePt,n_flows_origdata,22,5447,0.2684562834960751,0.0
23,bayesChangePt,n_flows_origdata,23,5917,0.3275200598077307,0.0
24,bayesChangePt,n_flows_origdata,24,5032,0.21630422568897478,0.0
25,bayesChangePt,n_flows_origdata,25,6522,0.40354896335784063,0.0
26,bayesChangePt,n_flows_origdata,26,11173,0.9880290136248845,0.0
27,bayesChangePt,n_flows_origdata,27,13211,1.2441396011209571,0.875
28,bayesChangePt,n_flows_origdata,28,11720,1.0567691958429175,0.0
29,bayesChangePt,n_flows_origdata,29,11340,1.0090155043568982,0.0
30,bayesChangePt,n_flows_origdata,30,12034,1.0962288251234704,0.0
31,bayesChangePt,n_flows_origdata,31,11547,1.0350286994558613,0.0
32,bayesChangePt,n_flows_origdata,32,12440,1.1434874599881821,0.0
33,bayesChangePt,n_flows_origdata,33,10982,0.9337760645087053,0.0
34,bayesChangePt,n_flows_origdata,34,11181,0.9331874389949922,0.0
35,bayesChangePt,n_flows_origdata,35,7310,0.41982625604956425,0.0
36,bayesChangePt,n_flows_origdata,36,6274,0.2824348363824334,0.0
37,bayesChangePt,n_flows_origdata,37,6448,0.3055102292608898,0.0
38,bayesChangePt,n_flows_origdata,38,5786,0.2177176425623949,0.0
39,bayesChangePt,n_flows_origdata,39,5967,0.24172135584400756,0.0
40,bayesChangePt,n_flows_origdata,40,6383,0.29689011123158127,0.5714285714285714
41,bayesChangePt,n_flows_origdata,41,6606,0.32646374693213165,0.0
42,bayesChangePt,n_flows_origdata,42,5630,0.19702935929205478,0.0
43,bayesChangePt,n_flows_origdata,43,5197,0.1396061114968158,0.0
44,bayesChangePt,n_flows_origdata,44,6068,0.2551156930895483,0.0
45,bayesChangePt,n_flows_origdata,45,7023,0.38176511952015635,0.0
46,bayesChangePt,n_flows_origdata,46,5394,0.16573169998564274,0.0
47,bayesChangePt,n_flows_origdata,47,5916,0.2349578786210117,0.0
48,bayesChangePt,n_flows_origdata,48,6695,0.3382666777722616,0.0
49,bayesChangePt,n_flows_origdata,49,7303,0.41889793564640787,0.0
50,bayesChangePt,n_flows_origdata,50,12259,1.0761487810810606,0.9333333333333333
51,bayesChangePt,n_flows_origdata,51,17481,1.7686758018356525,0.0
52,bayesChangePt,n_flows_origdata,52,12546,1.1142099176104687,0.0
53,bayesChangePt,n_flows_origdata,53,12997,1.1740202750138238,0.0
54,bayesChangePt,n_flows_origdata,54,11093,0.921517125355313,0.0
55,bayesChangePt,n_flows_origdata,55,11836,1.0200517052903306,0.0
56,bayesChangePt,n_flows_origdata,56,12357,1.0891452667252488,0.0
57,bayesChangePt,n_flows_origdata,57,11330,0.9529474018621761,0.0
58,bayesChangePt,n_flows_origdata,58,11076,0.8837701610718879,0.0
59,bayesChangePt,n_flows_origdata,59,7808,0.43612958850836503,0.0
60,bayesChangePt,n_flows_origdata,60,7439,0.3855851052537934,0.0
61,bayesChangePt,n_flows_origdata,61,7839,0.4403758730094266,0.0
62,bayesChangePt,n_flows_origdata,62,7093,0.33819109114517065,0.0
63,bayesChangePt,n_flows_origdata,63,7751,0.42832190410318727,0.0
64,bayesChangePt,n_flows_origdata,64,7113,0.3409306295329523,0.0
65,bayesChangePt,n_flows_origdata,65,8402,0.5174938786254802,0.0
66,bayesChangePt,n_flows_origdata,66,8026,0.4659905569351851,0.5
67,bayesChangePt,n_flows_origdata,67,7801,0.4351707500726413,0.0
68,bayesChangePt,n_flows_origdata,68,7030,0.32956154522365844,0.0
69,bayesChangePt,n_flows_origdata,69,5838,0.1662850573118716,0.0
70,bayesChangePt,n_flows_origdata,70,5916,0.17696925702422006,0.0
71,bayesChangePt,n_flows_origdata,71,6458,0.251210747333103,0.0
72,bayesChangePt,n_flows_origdata,72,6747,0.290797077036548,0.0
73,bayesChangePt,n_flows_origdata,73,8825,0.5754351155270622,0.0
74,bayesChangePt,n_flows_origdata,74,14037,1.2893588193829624,0.0
75,bayesChangePt,n_flows_origdata,75,16133,1.5764624424224802,0.92
76,bayesChangePt,n_flows_origdata,76,13617,1.2318285132395475,0.0
77,bayesChangePt,n_flows_origdata,77,23289,1.9988992618184125,0.0
78,bayesChangePt,n_flows_origdata,78,12882,0.8842417349078998,0.0
79,bayesChangePt,n_flows_origdata,79,13921,0.9955254065193174,0.0
80,bayesChangePt,n_flows_origdata,80,14484,1.0558263758333002,0.0
81,bayesChangePt,n_flows_origdata,81,12699,0.8646412422179196,0.0
82,bayesChangePt,n_flows_origdata,82,12522,0.8456833886325289,0.0
83,bayesChangePt,n_flows_origdata,83,9371,0.5081907522056023,0.0
84,bayesChangePt,n_flows_origdata,84,9255,0.49576639618353846,0.0
85,bayesChangePt,n_flows_origdata,85,7422,0.29944014973144184,0.0
86,bayesChangePt,n_flows_origdata,86,7653,0.3241817552581381,0.0
87,bayesChangePt,n_flows_origdata,87,9174,0.48709076827158004,0.0
88,bayesChangePt,n_flows_origdata,88,8898,0.4575293694604623,0.0
89,bayesChangePt,n_flows_origdata,89,7707,0.32996550719944373,0.0
90,bayesChangePt,n_flows_origdata,90,7330,0.2895863501277359,0.0
91,bayesChangePt,n_flows_origdata,91,5751,0.12046515910326216,0.7804878048780488
92,bayesChangePt,n_flows_origdata,92,5916,0.13813773447947375,0.0
93,bayesChangePt,n_flows_origdata,93,4816,0.020320565304729477,0.0
94,bayesChangePt,n_flows_origdata,94,6448,0.19511840175307738,0.0
95,bayesChangePt,n_flows_origdata,95,5156,0.056736781231468636,0.0
96,bayesChangePt,n_flows_origdata,96,6760,0.22853563519173214,0.0
97,bayesChangePt,n_flows_origdata,97,7347,0.2914071609240729,0.0
98,bayesChangePt,n_flows_origdata,98,12812,0.8767442786876888,0.0
99,bayesChangePt,n_flows_origdata,99,16765,1.300136342094747,0.0
100,bayesChangePt,n_flows_origdata,100,14809,1.0906359939985655,0.0
101,bayesChangePt,n_flows_origdata,101,12747,0.8697823550546356,0.0
102,bayesChangePt,n_flows_origdata,102,13239,0.9224787616309759,0.0
103,bayesChangePt,n_flows_origdata,103,12057,0.7958788580268416,0.0
104,bayesChangePt,n_flows_origdata,104,13289,0.9278340875025551,0.0
105,bayesChangePt,n_flows_origdata,105,14214,1.0269076161267718,0.0
106,bayesChangePt,n_flows_origdata,106,12499,0.8432199387316025,0.0
107,bayesChangePt,n_flows_origdata,107,10425,0.6210810215784938,0.0
108,bayesChangePt,n_flows_origdata,108,8402,0.4044045368143958,0.0
109,bayesChangePt,n_flows_origdata,109,7834,0.34356803491325516,0.0
110,bayesChangePt,n_flows_origdata,110,8209,0.38373297895009983,0.0
111,bayesChangePt,n_flows_origdata,111,8856,0.45303089572833577,0.0
112,bayesChangePt,n_flows_origdata,112,7536,0.31165029271864264,0.0
113,bayesChangePt,n_flows_origdata,113,6895,0.2429950150449962,0.0
114,bayesChangePt,n_flows_origdata,114,7687,0.3278233768508121,0.0
115,bayesChangePt,n_flows_origdata,115,7633,0.32203962490950644,0.0
116,bayesChangePt,n_flows_origdata,116,6799,0.23271278937156392,0.8636363636363636
117,bayesChangePt,n_flows_origdata,117,4994,0.03938552540755169,0.0
118,bayesChangePt,n_flows_origdata,118,4936,0.03317334739651978,0.0
119,bayesChangePt,n_flows_origdata,119,4706,0.00853884838725505,0.7272727272727273
120,bayesChangePt,n_flows_origdata,120,5655,0.11018293342982988,0.0
121,bayesChangePt,n_flows_origdata,121,6598,0.2111843793678152,0.0
122,bayesChangePt,n_flows_origdata,122,5610,0.10536314014540848,0.0
123,bayesChangePt,n_flows_origdata,123,7270,0.2831599590818408,0.0
124,bayesChangePt,n_flows_origdata,124,6429,0.19308337792187724,0.0
125,bayesChangePt,n_flows_origdata,125,7192,0.2748056507221771,0.0
126,bayesChangePt,n_flows_origdata,126,7927,0.3535289410343926,0.0
127,bayesChangePt,n_flows_origdata,127,7672,0.3262167790893382,0.0
128,bayesChangePt,n_flows_origdata,128,7729,0.3323218505829386,0.0
129,bayesChangePt,n_flows_origdata,129,8170,0.37955582477026795,0.0
130,bayesChangePt,n_flows_origdata,130,7957,0.356126305641406,0.0
131,bayesChangePt,n_flows_origdata,131,7870,0.3468045441499241,0.0
132,bayesChangePt,n_flows_origdata,132,7697,0.3282681678507706,0.0
133,bayesChangePt,n_flows_origdata,133,7272,0.2827308272314628,0.0
134,bayesChangePt,n_flows_origdata,134,7570,0.3146605390068833,0.0
135,bayesChangePt,n_flows_origdata,135,8457,0.40969964754647403,0.0
136,bayesChangePt,n_flows_origdata,136,7841,0.3436972903194302,0.0
137,bayesChangePt,n_flows_origdata,137,7551,0.3126247520144908,0.0
138,bayesChangePt,n_flows_origdata,138,8025,0.3634122801404952,0.0
139,bayesChangePt,n_flows_origdata,139,8508,0.415164128420791,0.0
140,bayesChangePt,n_flows_origdata,140,8643,0.4296289307351593,0.0
141,bayesChangePt,n_flows_origdata,141,7070,0.26108719710181527,0.0
142,bayesChangePt,n_flows_origdata,142,6411,0.19047753247093557,0.0
143,bayesChangePt,n_flows_origdata,143,6378,0.18694169190520116,0.0
144,bayesChangePt,n_flows_origdata,144,6060,0.1528690464535779,0.0
145,bayesChangePt,n_flows_origdata,145,7213,0.2764091728866648,0.0
146,bayesChangePt,n_flows_origdata,146,8769,0.44312941289523644,0.0
147,bayesChangePt,n_flows_origdata,147,9552,0.5270252663185729,0.0
148,bayesChangePt,n_flows_origdata,148,9628,0.5351684142881433,0.0
149,bayesChangePt,n_flows_origdata,149,10286,0.6056709322352128,0.0
150,bayesChangePt,n_flows_origdata,150,10341,0.6115639998447705,0.0
151,bayesChangePt,n_flows_origdata,151,10446,0.6228144016448346,0.0
152,bayesChangePt,n_flows_origdata,152,10352,0.6127426133666819,0.0
153,bayesChangePt,n_flows_origdata,153,10830,0.663958728227927,0.8222222222222222
154,bayesChangePt,n_flows_origdata,154,10393,0.6171356274028975,0.0
155,bayesChangePt,n_flows_origdata,155,11627,0.7493546352246053,0.0
156,bayesChangePt,n_flows_origdata,156,10078,0.5833844220027046,0.0
157,bayesChangePt,n_flows_origdata,157,9344,0.5047387560860647,0.0
158,bayesChangePt,n_flows_origdata,158,8268,0.38944892430635836,0.0
