,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,contextOSE,n_packets_origdata,0,149380,-0.03164351176484492,0.0
1,contextOSE,n_packets_origdata,1,317195,0.11909994275431468,0.0
2,contextOSE,n_packets_origdata,2,813565,0.5649750344903055,0.0
3,contextOSE,n_packets_origdata,3,1175026,0.8896651981464149,0.0
4,contextOSE,n_packets_origdata,4,834388,0.5836797447572808,0.0
5,contextOSE,n_packets_origdata,5,595122,0.36875388360672057,0.0
6,contextOSE,n_packets_origdata,6,905112,0.6472091079096394,0.0
7,contextOSE,n_packets_origdata,7,823659,0.5740421883795073,0.0
8,contextOSE,n_packets_origdata,8,1602453,1.2736107485129544,0.0
9,contextOSE,n_packets_origdata,9,702149,0.4648932019443073,0.0
10,contextOSE,n_packets_origdata,10,572615,0.3379464169028136,0.0
11,contextOSE,n_packets_origdata,11,364934,0.1501213444383901,0.0
12,contextOSE,n_packets_origdata,12,335470,0.12347433322844903,0.0
13,contextOSE,n_packets_origdata,13,270621,0.06482540470708498,0.0
14,contextOSE,n_packets_origdata,14,366160,0.15123012925183654,0.0
15,contextOSE,n_packets_origdata,15,301095,0.09238585201945748,0.0
16,contextOSE,n_packets_origdata,16,198176,-0.0006932868183081586,0.0
17,contextOSE,n_packets_origdata,17,234874,0.03249609742627568,0.0
18,contextOSE,n_packets_origdata,18,253260,0.04912425205925075,0.0
19,contextOSE,n_packets_origdata,19,136601,-0.05638123534030515,0.0
20,contextOSE,n_packets_origdata,20,423106,0.20273164636971952,0.0
21,contextOSE,n_packets_origdata,21,384019,0.16738166920562214,0.0
22,contextOSE,n_packets_origdata,22,390339,0.1730974277871734,0.0
23,contextOSE,n_packets_origdata,23,267428,0.061937680474348666,0.0
24,contextOSE,n_packets_origdata,24,236149,0.0336491974565728,0.0
25,contextOSE,n_packets_origdata,25,216208,0.015614712982725654,0.0
26,contextOSE,n_packets_origdata,26,492319,0.265327342367332,0.0
27,contextOSE,n_packets_origdata,27,968563,0.6960386920370027,0.0
28,contextOSE,n_packets_origdata,28,959928,0.688229265557304,0.0
29,contextOSE,n_packets_origdata,29,736720,0.486361695704313,0.0
30,contextOSE,n_packets_origdata,30,833946,0.5742921298577793,0.0
31,contextOSE,n_packets_origdata,31,792858,0.5371324639402508,0.0
32,contextOSE,n_packets_origdata,32,668103,0.4243050174463532,0.0
33,contextOSE,n_packets_origdata,33,824022,0.5653169418572548,0.0
34,contextOSE,n_packets_origdata,34,1248378,0.9491011900586449,0.0
35,contextOSE,n_packets_origdata,35,429418,0.20844016981382585,0.0
36,contextOSE,n_packets_origdata,36,333578,0.12176322322270605,0.0
37,contextOSE,n_packets_origdata,37,261502,0.05657825241196368,0.0
38,contextOSE,n_packets_origdata,38,163427,-0.03212001070285342,0.0
39,contextOSE,n_packets_origdata,39,547664,0.315380927604034,0.0
40,contextOSE,n_packets_origdata,40,424202,0.20372286019968477,0.0
41,contextOSE,n_packets_origdata,41,575889,0.3409073969021804,0.0
42,contextOSE,n_packets_origdata,42,215927,0.01536057877996988,0.0
43,contextOSE,n_packets_origdata,43,339661,0.12726464085744926,0.0
44,contextOSE,n_packets_origdata,44,584820,0.3489845234673442,0.0
45,contextOSE,n_packets_origdata,45,255122,0.05080823029957482,0.0
46,contextOSE,n_packets_origdata,46,205887,0.006280481286492834,0.0
47,contextOSE,n_packets_origdata,47,185081,-0.012536302423595158,0.0
48,contextOSE,n_packets_origdata,48,487293,0.2607818672675096,0.0
49,contextOSE,n_packets_origdata,49,206724,0.007037457541676173,0.0
50,contextOSE,n_packets_origdata,50,704326,0.4570648154051401,0.0
51,contextOSE,n_packets_origdata,51,1144605,0.8552497002986253,0.0
52,contextOSE,n_packets_origdata,52,794298,0.5384347886803511,0.0
53,contextOSE,n_packets_origdata,53,786851,0.5316997801112352,0.0
54,contextOSE,n_packets_origdata,54,599977,0.3626923957490804,0.0
55,contextOSE,n_packets_origdata,55,1346443,1.0377904092516559,0.0
56,contextOSE,n_packets_origdata,56,732830,0.482843610121681,0.0
57,contextOSE,n_packets_origdata,57,995340,0.7202556014576038,0.0
58,contextOSE,n_packets_origdata,58,926727,0.6582025407683666,0.0
59,contextOSE,n_packets_origdata,59,385980,0.16915518227182813,0.0
60,contextOSE,n_packets_origdata,60,556164,0.3230682611393483,0.0
61,contextOSE,n_packets_origdata,61,605730,0.3678953639642172,0.0
62,contextOSE,n_packets_origdata,62,189969,-0.008115633444699122,0.0
63,contextOSE,n_packets_origdata,63,435883,0.21428706526156782,0.0
64,contextOSE,n_packets_origdata,64,761352,0.5086386838974731,0.0
65,contextOSE,n_packets_origdata,65,580389,0.34497716171499393,0.0
66,contextOSE,n_packets_origdata,66,792293,0.5366214823581976,0.0
67,contextOSE,n_packets_origdata,67,763714,0.5107748582281099,0.0
68,contextOSE,n_packets_origdata,68,348119,0.1349139899211772,0.0
69,contextOSE,n_packets_origdata,69,437622,0.21585980326367504,0.0
70,contextOSE,n_packets_origdata,70,497242,0.2697796650725498,0.0
71,contextOSE,n_packets_origdata,71,354001,0.1402336247276147,0.0
72,contextOSE,n_packets_origdata,72,209623,0.009659290473308602,0.0
73,contextOSE,n_packets_origdata,73,469020,0.2442559089509453,0.0
74,contextOSE,n_packets_origdata,74,831524,0.5721016919963051,0.0
75,contextOSE,n_packets_origdata,75,897485,0.6317563046225243,0.0
76,contextOSE,n_packets_origdata,76,788097,0.5328266527682942,0.0
77,contextOSE,n_packets_origdata,77,951692,0.6807806915576748,0.0
78,contextOSE,n_packets_origdata,78,801900,0.545309978037464,0.0
79,contextOSE,n_packets_origdata,79,1247858,0.9486309061247197,0.0
80,contextOSE,n_packets_origdata,80,1173985,0.8818207425653938,0.0
81,contextOSE,n_packets_origdata,81,905588,0.6390845944621304,0.0
