,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,earthgeckoSkyline,n_packets_origdata,0,149380,-0.03163509569365053,0.0
1,earthgeckoSkyline,n_packets_origdata,1,317195,0.11910835882550908,0.0
2,earthgeckoSkyline,n_packets_origdata,2,813565,0.5649834505614999,0.0
3,earthgeckoSkyline,n_packets_origdata,3,1175026,0.8896736142176093,0.0
4,earthgeckoSkyline,n_packets_origdata,4,834388,0.5836881608284752,0.0
5,earthgeckoSkyline,n_packets_origdata,5,595122,0.36876229967791496,0.0
6,earthgeckoSkyline,n_packets_origdata,6,905112,0.6472175239808338,0.0
7,earthgeckoSkyline,n_packets_origdata,7,823659,0.5740506044507017,0.0
8,earthgeckoSkyline,n_packets_origdata,8,1602453,1.273619164584149,0.0
9,earthgeckoSkyline,n_packets_origdata,9,702149,0.46490161801550167,0.0
10,earthgeckoSkyline,n_packets_origdata,10,572615,0.33795483297400797,0.0
11,earthgeckoSkyline,n_packets_origdata,11,364934,0.1501297605095845,0.0
12,earthgeckoSkyline,n_packets_origdata,12,335470,0.12348274929964342,0.0
13,earthgeckoSkyline,n_packets_origdata,13,270621,0.06483382077827937,0.0
14,earthgeckoSkyline,n_packets_origdata,14,366160,0.15123854532303094,0.0
15,earthgeckoSkyline,n_packets_origdata,15,301095,0.09239426809065188,0.0
16,earthgeckoSkyline,n_packets_origdata,16,198176,-0.0006848707471137638,0.0
17,earthgeckoSkyline,n_packets_origdata,17,234874,0.03250451349747008,0.0
18,earthgeckoSkyline,n_packets_origdata,18,253260,0.049132668130445145,0.0
19,earthgeckoSkyline,n_packets_origdata,19,136601,-0.05637281926911075,0.0
20,earthgeckoSkyline,n_packets_origdata,20,423106,0.20274006244091392,0.0
21,earthgeckoSkyline,n_packets_origdata,21,384019,0.16739008527681654,0.0
22,earthgeckoSkyline,n_packets_origdata,22,390339,0.1731058438583678,0.0
23,earthgeckoSkyline,n_packets_origdata,23,267428,0.06194609654554306,0.0
24,earthgeckoSkyline,n_packets_origdata,24,236149,0.033657613527767194,0.0
25,earthgeckoSkyline,n_packets_origdata,25,216208,0.015623129053920048,0.0
26,earthgeckoSkyline,n_packets_origdata,26,492319,0.2653357584385264,0.0
27,earthgeckoSkyline,n_packets_origdata,27,968563,0.6960471081081971,0.0
28,earthgeckoSkyline,n_packets_origdata,28,959928,0.6882376816284984,0.0
29,earthgeckoSkyline,n_packets_origdata,29,736720,0.4863701117755074,0.0
30,earthgeckoSkyline,n_packets_origdata,30,833946,0.5743005459289737,0.0
31,earthgeckoSkyline,n_packets_origdata,31,792858,0.5371408800114452,0.0
32,earthgeckoSkyline,n_packets_origdata,32,668103,0.4243134335175476,0.0
33,earthgeckoSkyline,n_packets_origdata,33,824022,0.5653253579284492,0.0
34,earthgeckoSkyline,n_packets_origdata,34,1248378,0.9491096061298393,0.0
35,earthgeckoSkyline,n_packets_origdata,35,429418,0.20844858588502024,0.0
36,earthgeckoSkyline,n_packets_origdata,36,333578,0.12177163929390045,0.0
37,earthgeckoSkyline,n_packets_origdata,37,261502,0.056586668483158076,0.0
38,earthgeckoSkyline,n_packets_origdata,38,163427,-0.032111594631659024,0.0
39,earthgeckoSkyline,n_packets_origdata,39,547664,0.3153893436752284,0.0
40,earthgeckoSkyline,n_packets_origdata,40,424202,0.20373127627087917,0.0
41,earthgeckoSkyline,n_packets_origdata,41,575889,0.3409158129733748,0.0
42,earthgeckoSkyline,n_packets_origdata,42,215927,0.015368994851164275,0.0
43,earthgeckoSkyline,n_packets_origdata,43,339661,0.12727305692864366,0.0
44,earthgeckoSkyline,n_packets_origdata,44,584820,0.3489929395385386,0.0
45,earthgeckoSkyline,n_packets_origdata,45,255122,0.050816646370769214,0.0
46,earthgeckoSkyline,n_packets_origdata,46,205887,0.006288897357687229,0.0
47,earthgeckoSkyline,n_packets_origdata,47,185081,-0.012527886352400763,0.0
48,earthgeckoSkyline,n_packets_origdata,48,487293,0.260790283338704,0.0
49,earthgeckoSkyline,n_packets_origdata,49,206724,0.007045873612870568,0.0
50,earthgeckoSkyline,n_packets_origdata,50,704326,0.4570732314763345,0.0
51,earthgeckoSkyline,n_packets_origdata,51,1144605,0.8552581163698197,0.0
52,earthgeckoSkyline,n_packets_origdata,52,794298,0.5384432047515455,0.0
53,earthgeckoSkyline,n_packets_origdata,53,786851,0.5317081961824296,0.0
54,earthgeckoSkyline,n_packets_origdata,54,599977,0.3627008118202748,0.0
55,earthgeckoSkyline,n_packets_origdata,55,1346443,1.03779882532285,0.0
56,earthgeckoSkyline,n_packets_origdata,56,732830,0.48285202619287537,0.0
57,earthgeckoSkyline,n_packets_origdata,57,995340,0.7202640175287982,0.0
58,earthgeckoSkyline,n_packets_origdata,58,926727,0.658210956839561,0.0
59,earthgeckoSkyline,n_packets_origdata,59,385980,0.16916359834302253,0.0
60,earthgeckoSkyline,n_packets_origdata,60,556164,0.3230766772105427,0.0
61,earthgeckoSkyline,n_packets_origdata,61,605730,0.3679037800354116,0.0
62,earthgeckoSkyline,n_packets_origdata,62,189969,-0.008107217373504727,0.0
63,earthgeckoSkyline,n_packets_origdata,63,435883,0.21429548133276222,0.0
64,earthgeckoSkyline,n_packets_origdata,64,761352,0.5086470999686675,0.0
65,earthgeckoSkyline,n_packets_origdata,65,580389,0.3449855777861883,0.0
66,earthgeckoSkyline,n_packets_origdata,66,792293,0.536629898429392,0.0
67,earthgeckoSkyline,n_packets_origdata,67,763714,0.5107832742993043,0.0
68,earthgeckoSkyline,n_packets_origdata,68,348119,0.1349224059923716,0.0
69,earthgeckoSkyline,n_packets_origdata,69,437622,0.21586821933486944,0.0
70,earthgeckoSkyline,n_packets_origdata,70,497242,0.2697880811437442,0.0
71,earthgeckoSkyline,n_packets_origdata,71,354001,0.1402420407988091,0.0
72,earthgeckoSkyline,n_packets_origdata,72,209623,0.009667706544502996,0.0
73,earthgeckoSkyline,n_packets_origdata,73,469020,0.24426432502213968,0.0
74,earthgeckoSkyline,n_packets_origdata,74,831524,0.5721101080674995,0.0
75,earthgeckoSkyline,n_packets_origdata,75,897485,0.6317647206937187,0.0
76,earthgeckoSkyline,n_packets_origdata,76,788097,0.5328350688394886,0.0
77,earthgeckoSkyline,n_packets_origdata,77,951692,0.6807891076288692,0.0
78,earthgeckoSkyline,n_packets_origdata,78,801900,0.5453183941086583,0.0
79,earthgeckoSkyline,n_packets_origdata,79,1247858,0.9486393221959141,0.0
80,earthgeckoSkyline,n_packets_origdata,80,1173985,0.8818291586365882,0.0
81,earthgeckoSkyline,n_packets_origdata,81,905588,0.6390930105333248,0.0
82,earthgeckoSkyline,n_packets_origdata,82,885546,0.6209671824492343,0.0
83,earthgeckoSkyline,n_packets_origdata,83,451043,0.2280060667910403,0.0
84,earthgeckoSkyline,n_packets_origdata,84,710650,0.46279260762660823,0.0
85,earthgeckoSkyline,n_packets_origdata,85,349808,0.13644992438544756,0.0
86,earthgeckoSkyline,n_packets_origdata,86,514674,0.28555344563640284,0.0
