,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,relativeEntropy,n_packets_origdata,0,149380,-0.03164701612464693,0.0
1,relativeEntropy,n_packets_origdata,1,317195,0.11909643839451267,0.0
2,relativeEntropy,n_packets_origdata,2,813565,0.5649715301305035,0.0
3,relativeEntropy,n_packets_origdata,3,1175026,0.8896616937866129,0.0
4,relativeEntropy,n_packets_origdata,4,834388,0.5836762403974788,0.0
5,relativeEntropy,n_packets_origdata,5,595122,0.36875037924691856,0.0
6,relativeEntropy,n_packets_origdata,6,905112,0.6472056035498374,0.0
7,relativeEntropy,n_packets_origdata,7,823659,0.5740386840197053,0.0
8,relativeEntropy,n_packets_origdata,8,1602453,1.2736072441531525,0.0
9,relativeEntropy,n_packets_origdata,9,702149,0.46488969758450527,0.0
10,relativeEntropy,n_packets_origdata,10,572615,0.33794291254301156,0.0
11,relativeEntropy,n_packets_origdata,11,364934,0.15011784007858808,0.0
12,relativeEntropy,n_packets_origdata,12,335470,0.12347082886864702,0.0
13,relativeEntropy,n_packets_origdata,13,270621,0.06482190034728297,0.0
14,relativeEntropy,n_packets_origdata,14,366160,0.15122662489203453,0.0
15,relativeEntropy,n_packets_origdata,15,301095,0.09238234765965547,0.0
16,relativeEntropy,n_packets_origdata,16,198176,-0.0006967911781101677,0.0
17,relativeEntropy,n_packets_origdata,17,234874,0.032492593066473674,0.0
18,relativeEntropy,n_packets_origdata,18,253260,0.04912074769944874,0.0
19,relativeEntropy,n_packets_origdata,19,136601,-0.056384739700107156,0.0
20,relativeEntropy,n_packets_origdata,20,423106,0.2027281420099175,0.0
21,relativeEntropy,n_packets_origdata,21,384019,0.16737816484582013,0.0
22,relativeEntropy,n_packets_origdata,22,390339,0.1730939234273714,0.0
23,relativeEntropy,n_packets_origdata,23,267428,0.06193417611454666,0.0
24,relativeEntropy,n_packets_origdata,24,236149,0.03364569309677079,0.0
25,relativeEntropy,n_packets_origdata,25,216208,0.015611208622923645,0.0
26,relativeEntropy,n_packets_origdata,26,492319,0.26532383800753,0.0
27,relativeEntropy,n_packets_origdata,27,968563,0.6960351876772007,0.0
28,relativeEntropy,n_packets_origdata,28,959928,0.688225761197502,0.0
29,relativeEntropy,n_packets_origdata,29,736720,0.48635819134451097,0.0
30,relativeEntropy,n_packets_origdata,30,833946,0.5742886254979773,0.0
31,relativeEntropy,n_packets_origdata,31,792858,0.5371289595804488,0.0
32,relativeEntropy,n_packets_origdata,32,668103,0.4243015130865512,0.0
33,relativeEntropy,n_packets_origdata,33,824022,0.5653134374974528,0.0
34,relativeEntropy,n_packets_origdata,34,1248378,0.9490976856988429,0.0
35,relativeEntropy,n_packets_origdata,35,429418,0.20843666545402384,0.0
36,relativeEntropy,n_packets_origdata,36,333578,0.12175971886290404,0.0
37,relativeEntropy,n_packets_origdata,37,261502,0.05657474805216167,0.0
38,relativeEntropy,n_packets_origdata,38,163427,-0.03212351506265543,0.0
39,relativeEntropy,n_packets_origdata,39,547664,0.315377423244232,0.0
40,relativeEntropy,n_packets_origdata,40,424202,0.20371935583988277,0.0
41,relativeEntropy,n_packets_origdata,41,575889,0.3409038925423784,0.0
42,relativeEntropy,n_packets_origdata,42,215927,0.015357074420167871,0.0
43,relativeEntropy,n_packets_origdata,43,339661,0.12726113649764725,0.0
44,relativeEntropy,n_packets_origdata,44,584820,0.3489810191075422,0.0
45,relativeEntropy,n_packets_origdata,45,255122,0.05080472593977281,0.0
