id_time,time,dt_object,orig_value,date_only,score_AnDePeDPro,score_AnDePeD,score_bayesChangePt,score_contextOSE,score_earthgeckoSkyline,score_knncad,score_relativeEntropy,score_windowedGaussian,detector_votes,is_detector_anomaly,expected_pattern,pattern_deviation,is_pattern_anomaly,raw_anomaly,anomaly_window_mask,is_ground_truth
0,2023-10-09 00:00:00+00:00,2023-10-09 00:00:00+00:00,206437830,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,9765747630.5,9559309800.5,0,0,1,False
1,2023-10-09 01:00:00+00:00,2023-10-09 01:00:00+00:00,416708062,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1,9738803573.0,9322095511.0,0,1,1,False
2,2023-10-09 02:00:00+00:00,2023-10-09 02:00:00+00:00,1648205236,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1,9247472611.5,7599267375.5,0,1,1,False
3,2023-10-09 03:00:00+00:00,2023-10-09 03:00:00+00:00,3468605008,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9999899562084188,3,1,8756141650.0,5287536642.0,0,1,1,False
4,2023-10-09 04:00:00+00:00,2023-10-09 04:00:00+00:00,7831268053,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9549680530267032,2,0,8689680326.0,858412273.0,0,0,1,False
5,2023-10-09 05:00:00+00:00,2023-10-09 05:00:00+00:00,9738803573,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.886514796567563,2,0,8623219002.0,1115584571.0,0,0,1,False
6,2023-10-09 06:00:00+00:00,2023-10-09 06:00:00+00:00,9792691688,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8387048834558287,2,0,8227243527.5,1565448160.5,0,0,1,False
7,2023-10-09 07:00:00+00:00,2023-10-09 07:00:00+00:00,13056082897,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8044947155670488,2,0,7831268053.0,5224814844.0,0,0,1,False
8,2023-10-09 08:00:00+00:00,2023-10-09 08:00:00+00:00,11206049432,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6585850942953194,2,0,6505488804.5,4700560627.5,0,0,1,False
9,2023-10-09 09:00:00+00:00,2023-10-09 09:00:00+00:00,12858377498,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7639038304148031,2,0,5179709556.0,7678667942.0,0,0,1,False
10,2023-10-09 10:00:00+00:00,2023-10-09 10:00:00+00:00,11815777748,2023-10-09,1.0,1.0,0.1999999999999999,0.0,0.0,0.0,0.0,0.67232891598704,2,0,4586569738.5,7229208009.5,0,0,1,False
11,2023-10-09 11:00:00+00:00,2023-10-09 11:00:00+00:00,10516885922,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5551053954761236,2,0,3993429921.0,6523456001.0,0,0,1,False
12,2023-10-09 12:00:00+00:00,2023-10-09 12:00:00+00:00,8756141650,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6056864558436588,2,0,3964105013.0,4792036637.0,0,0,1,False
13,2023-10-09 13:00:00+00:00,2023-10-09 13:00:00+00:00,8623219002,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6134269884200081,2,0,3964105013.0,4659113989.0,0,0,1,False
14,2023-10-09 14:00:00+00:00,2023-10-09 14:00:00+00:00,5179709556,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8683209528928353,2,0,3964105013.0,1215604543.0,0,0,1,False
15,2023-10-09 15:00:00+00:00,2023-10-09 15:00:00+00:00,3934780105,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9099898206086272,2,0,3964105013.0,29324908.0,0,0,1,False
16,2023-10-09 16:00:00+00:00,2023-10-09 16:00:00+00:00,3993429921,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.888172337581573,2,0,3964105013.0,29324908.0,0,0,1,False
17,2023-10-09 17:00:00+00:00,2023-10-09 17:00:00+00:00,3157240478,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9080740369116016,2,0,3964105013.0,806864535.0,0,0,1,False
18,2023-10-09 18:00:00+00:00,2023-10-09 18:00:00+00:00,2454335594,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9184744556917366,2,0,3964105013.0,1509769419.0,0,0,1,False
19,2023-10-09 19:00:00+00:00,2023-10-09 19:00:00+00:00,3754149390,2023-10-09,1.0,1.0,0.6842105263157895,0.0,0.0,0.0,0.0,0.8411603713914707,2,0,3964105013.0,209955623.0,0,0,1,False
20,2023-10-09 20:00:00+00:00,2023-10-09 20:00:00+00:00,1693143896,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9217623453684776,2,0,3964105013.0,2270961117.0,0,0,1,False
21,2023-10-09 21:00:00+00:00,2023-10-09 21:00:00+00:00,1752719626,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9045554046890176,2,0,3964105013.0,2211385387.0,0,0,1,False
22,2023-10-09 22:00:00+00:00,2023-10-09 22:00:00+00:00,1197666888,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9118417467205694,2,0,3964105013.0,2766438125.0,0,0,1,False
23,2023-10-09 23:00:00+00:00,2023-10-09 23:00:00+00:00,281415092,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9291966127985484,2,0,3964105013.0,3682689921.0,0,0,1,False
24,2023-10-10 00:00:00+00:00,2023-10-10 00:00:00+00:00,430879055,2023-10-10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9109697326421776,2,0,3964105013.0,3533225958.0,0,0,1,False
25,2023-10-10 01:00:00+00:00,2023-10-10 01:00:00+00:00,555788234,2023-10-10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8940276741692296,2,0,3964105013.0,3408316779.0,0,0,1,False
