id_time,time,dt_object,orig_value,date_only,score_AnDePeDPro,score_AnDePeD,score_bayesChangePt,score_contextOSE,score_earthgeckoSkyline,score_knncad,score_relativeEntropy,score_windowedGaussian,detector_votes,is_detector_anomaly,expected_pattern,pattern_deviation,is_pattern_anomaly,raw_anomaly,anomaly_window_mask,is_ground_truth
0,2023-10-09 00:00:00+00:00,2023-10-09 00:00:00+00:00,3901,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,87987.5,84086.5,0,0,1,False
1,2023-10-09 01:00:00+00:00,2023-10-09 01:00:00+00:00,5423,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1,87545.0,82122.0,0,1,1,False
2,2023-10-09 02:00:00+00:00,2023-10-09 02:00:00+00:00,10196,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9999999999998228,3,1,81198.0,71002.0,0,1,1,False
3,2023-10-09 03:00:00+00:00,2023-10-09 03:00:00+00:00,37372,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9999999999546716,3,1,74851.0,37479.0,0,1,1,False
4,2023-10-09 04:00:00+00:00,2023-10-09 04:00:00+00:00,67321,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9510432842729668,2,0,71122.0,3801.0,0,0,1,False
5,2023-10-09 05:00:00+00:00,2023-10-09 05:00:00+00:00,87545,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8829483483345557,2,0,67393.0,20152.0,0,0,1,False
6,2023-10-09 06:00:00+00:00,2023-10-09 06:00:00+00:00,92908,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8357192425522734,2,0,67357.0,25551.0,0,0,1,False
7,2023-10-09 07:00:00+00:00,2023-10-09 07:00:00+00:00,106187,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.801929535809513,2,0,67321.0,38866.0,0,0,1,False
8,2023-10-09 08:00:00+00:00,2023-10-09 08:00:00+00:00,95055,2023-10-09,1.0,1.0,0.25,0.0,0.0,0.0,0.0,0.6818370854127123,2,0,53457.0,41598.0,0,0,1,False
9,2023-10-09 09:00:00+00:00,2023-10-09 09:00:00+00:00,104985,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7608312040667701,2,0,39593.0,65392.0,0,0,1,False
10,2023-10-09 10:00:00+00:00,2023-10-09 10:00:00+00:00,107951,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75482360234772,2,0,38482.5,69468.5,0,0,1,False
11,2023-10-09 11:00:00+00:00,2023-10-09 11:00:00+00:00,88430,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5379663752958934,2,0,37372.0,51058.0,0,0,1,False
12,2023-10-09 12:00:00+00:00,2023-10-09 12:00:00+00:00,74851,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6208194276690222,2,0,32821.5,42029.5,0,0,1,False
13,2023-10-09 13:00:00+00:00,2023-10-09 13:00:00+00:00,67393,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6989993494963582,2,0,32821.5,34571.5,0,0,1,False
14,2023-10-09 14:00:00+00:00,2023-10-09 14:00:00+00:00,39593,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9142723229139073,2,0,32821.5,6771.5,0,0,1,False
15,2023-10-09 15:00:00+00:00,2023-10-09 15:00:00+00:00,28271,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9442563107140888,2,0,32821.5,4550.5,0,0,1,False
16,2023-10-09 16:00:00+00:00,2023-10-09 16:00:00+00:00,23562,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9417722751092034,2,0,30221.5,6659.5,0,0,1,False
17,2023-10-09 17:00:00+00:00,2023-10-09 17:00:00+00:00,19277,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9387361523531254,2,0,30221.5,10944.5,0,0,1,False
18,2023-10-09 18:00:00+00:00,2023-10-09 18:00:00+00:00,18184,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9250755007772896,2,0,30221.5,12037.5,0,0,1,False
19,2023-10-09 19:00:00+00:00,2023-10-09 19:00:00+00:00,15186,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.920839159347585,2,0,30221.5,15035.5,0,0,1,False
20,2023-10-09 20:00:00+00:00,2023-10-09 20:00:00+00:00,9197,2023-10-09,1.0,1.0,0.55,0.0,0.0,0.0,0.0,0.9288615961092106,2,0,30221.5,21024.5,0,0,1,False
21,2023-10-09 21:00:00+00:00,2023-10-09 21:00:00+00:00,6165,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.925191516151038,2,0,30221.5,24056.5,0,0,1,False
22,2023-10-09 22:00:00+00:00,2023-10-09 22:00:00+00:00,4515,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9172395165319964,2,0,30221.5,25706.5,0,0,1,False
23,2023-10-09 23:00:00+00:00,2023-10-09 23:00:00+00:00,3768,2023-10-09,1.0,1.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.9067723266840032,2,0,30221.5,26453.5,0,0,1,False
24,2023-10-10 00:00:00+00:00,2023-10-10 00:00:00+00:00,3411,2023-10-10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.895680335360887,2,0,30221.5,26810.5,0,0,1,False
25,2023-10-10 01:00:00+00:00,2023-10-10 01:00:00+00:00,3906,2023-10-10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8815776726043432,2,0,30221.5,26315.5,0,0,1,False
26,2023-10-10 02:00:00+00:00,2023-10-10 02:00:00+00:00,8920,2023-10-10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.844018337911073,2,0,30221.5,21301.5,0,0,1,False
27,2023-10-10 03:00:00+00:00,2023-10-10 03:00:00+00:00,32172,2023-10-10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6637653414129203,2,0,30221.5,1950.5,0,0,1,False
28,2023-10-10 04:00:00+00:00,2023-10-10 04:00:00+00:00,71005,2023-10-10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6986816765998096,2,0,31553.0,39452.0,0,0,1,False
29,2023-10-10 05:00:00+00:00,2023-10-10 05:00:00+00:00,90304,2023-10-10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8363586953329653,2,0,31553.0,58751.0,0,0,1,False
30,2023-10-10 06:00:00+00:00,2023-10-10 06:00:00+00:00,100747,2023-10-10,1.0,1.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.8855024017941859,2,0,31553.0,69194.0,0,0,1,False
31,2023-10-10 07:00:00+00:00,2023-10-10 07:00:00+00:00,118505,2023-10-10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9084691557935858,2,0,31553.0,86952.0,0,0,1,False
32,2023-10-10 08:00:00+00:00,2023-10-10 08:00:00+00:00,102392,2023-10-10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8221877842367568,2,0,31553.0,70839.0,0,0,1,False
33,2023-10-10 09:00:00+00:00,2023-10-10 09:00:00+00:00,109965,2023-10-10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.856304204575113,2,0,31553.0,78412.0,0,0,1,False
34,2023-10-10 10:00:00+00:00,2023-10-10 10:00:00+00:00,92378,2023-10-10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7410410777124476,2,0,31553.0,60825.0,0,0,1,False
35,2023-10-10 11:00:00+00:00,2023-10-10 11:00:00+00:00,96256,2023-10-10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7639294589991207,2,0,31553.0,64703.0,0,0,1,False
36,2023-10-10 12:00:00+00:00,2023-10-10 12:00:00+00:00,72272,2023-10-10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5680159853104628,2,0,31553.0,40719.0,0,0,1,False
37,2023-10-10 13:00:00+00:00,2023-10-10 13:00:00+00:00,57477,2023-10-10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5651368403364527,2,0,31553.0,25924.0,0,0,1,False
38,2023-10-10 14:00:00+00:00,2023-10-10 14:00:00+00:00,37912,2023-10-10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7283405164664217,2,0,31553.0,6359.0,0,0,1,False
39,2023-10-10 15:00:00+00:00,2023-10-10 15:00:00+00:00,30934,2023-10-10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7756359351102278,2,0,31553.0,619.0,0,0,1,False
40,2023-10-10 16:00:00+00:00,2023-10-10 16:00:00+00:00,22981,2023-10-10,1.0,1.0,0.5833333333333333,0.0,0.0,0.0,0.0,0.8229136443190769,2,0,32473.5,9492.5,0,0,1,False
41,2023-10-10 17:00:00+00:00,2023-10-10 17:00:00+00:00,22719,2023-10-10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8190609484989868,2,0,32473.5,9754.5,0,0,1,False
