id_time,time,dt_object,orig_value,date_only,score_AnDePeDPro,score_AnDePeD,score_bayesChangePt,score_contextOSE,score_earthgeckoSkyline,score_knncad,score_relativeEntropy,score_windowedGaussian,detector_votes,is_detector_anomaly,expected_pattern,pattern_deviation,is_pattern_anomaly,raw_anomaly,anomaly_window_mask,is_ground_truth
0,2023-10-09 00:00:00+00:00,2023-10-09 00:00:00+00:00,393434,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,10513530.5,10120096.5,0,0,1,False
1,2023-10-09 01:00:00+00:00,2023-10-09 01:00:00+00:00,480314,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1,10464367.0,9984053.0,0,1,1,False
2,2023-10-09 02:00:00+00:00,2023-10-09 02:00:00+00:00,1651033,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1,9689331.5,8038298.5,0,1,1,False
3,2023-10-09 03:00:00+00:00,2023-10-09 03:00:00+00:00,3648527,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.999996230121161,3,1,8914296.0,5265769.0,0,1,1,False
4,2023-10-09 04:00:00+00:00,2023-10-09 04:00:00+00:00,8376092,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9431152826708262,2,0,8725221.5,349129.5,0,0,1,False
5,2023-10-09 05:00:00+00:00,2023-10-09 05:00:00+00:00,10464367,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8759269928626621,2,0,8536147.0,1928220.0,0,0,1,False
6,2023-10-09 06:00:00+00:00,2023-10-09 06:00:00+00:00,10562694,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8298501361970052,2,0,8456119.5,2106574.5,0,0,1,False
7,2023-10-09 07:00:00+00:00,2023-10-09 07:00:00+00:00,13375136,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7968832467328544,2,0,8376092.0,4999044.0,0,0,1,False
8,2023-10-09 08:00:00+00:00,2023-10-09 08:00:00+00:00,11372388,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6374035167922711,2,0,6859717.0,4512671.0,0,0,1,False
9,2023-10-09 09:00:00+00:00,2023-10-09 09:00:00+00:00,13354400,2023-10-09,1.0,1.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.7702980828469742,2,0,5343342.0,8011058.0,0,0,1,False
10,2023-10-09 10:00:00+00:00,2023-10-09 10:00:00+00:00,12808166,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7147273090727679,2,0,4777715.0,8030451.0,0,0,1,False
11,2023-10-09 11:00:00+00:00,2023-10-09 11:00:00+00:00,10950839,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5496531234763402,2,0,4212088.0,6738751.0,0,0,1,False
12,2023-10-09 12:00:00+00:00,2023-10-09 12:00:00+00:00,8914296,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6360551812163051,2,0,4192603.5,4721692.5,0,0,1,False
13,2023-10-09 13:00:00+00:00,2023-10-09 13:00:00+00:00,8536147,2023-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6637206107246704,2,0,4192603.5,4343543.5,0,0,1,False
