id_time,time,dt_object,orig_value,date_only,score_AnDePeDPro,score_bayesChangePt,score_contextOSE,score_earthgeckoSkyline,score_knncad,score_relativeEntropy,score_windowedGaussian,detector_votes,is_detector_anomaly,expected_pattern,pattern_deviation,is_pattern_anomaly,raw_anomaly,anomaly_window_mask,is_ground_truth
0,2023-10-09 00:00:00+00:00,2023-10-09 00:00:00+00:00,149380.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,757857.0,608477.0,0,0,0,False
1,2023-10-09 01:00:00+00:00,2023-10-09 01:00:00+00:00,317195.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0,702149.0,384954.0,0,0,0,False
2,2023-10-09 02:00:00+00:00,2023-10-09 02:00:00+00:00,813565.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.999999999997672,2,0,648635.5,164929.5,0,0,0,False
3,2023-10-09 03:00:00+00:00,2023-10-09 03:00:00+00:00,1175026.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.9960186249785932,2,0,595122.0,579904.0,0,0,0,False
4,2023-10-09 04:00:00+00:00,2023-10-09 04:00:00+00:00,834388.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.7066664803646463,1,0,583868.5,250519.5,0,0,0,False
5,2023-10-09 05:00:00+00:00,2023-10-09 05:00:00+00:00,595122.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.5667532179532945,1,0,572615.0,22507.0,0,0,0,False
6,2023-10-09 06:00:00+00:00,2023-10-09 06:00:00+00:00,905112.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.7745637907598044,1,0,469387.5,435724.5,0,0,0,False
7,2023-10-09 07:00:00+00:00,2023-10-09 07:00:00+00:00,823659.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.6641169912799653,1,0,366160.0,457499.0,0,0,0,False
8,2023-10-09 08:00:00+00:00,2023-10-09 08:00:00+00:00,1602453.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.9981023348879956,2,0,365547.0,1236906.0,0,0,0,False
9,2023-10-09 09:00:00+00:00,2023-10-09 09:00:00+00:00,702149.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.5965186810027794,1,0,366160.0,335989.0,0,0,0,False
10,2023-10-09 10:00:00+00:00,2023-10-09 10:00:00+00:00,572615.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.7242209593587788,1,0,375089.5,197525.5,0,0,0,False
11,2023-10-09 11:00:00+00:00,2023-10-09 11:00:00+00:00,364934.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.867620306394832,1,0,384019.0,19085.0,0,0,0,False
12,2023-10-09 12:00:00+00:00,2023-10-09 12:00:00+00:00,335470.0,2023-10-09,1.0,0.0,0.0,0.0,0.0,0.0,0.863208538807309,1,0,375089.5,39619.5,0,0,0,False
