,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,bayesChangePt,ec2_network_in_257a54_origdata,0,251643.0,0.8657868943631957,0.0
1,bayesChangePt,ec2_network_in_257a54_origdata,1,3203510.0,1.9983187935512168,0.0
2,bayesChangePt,ec2_network_in_257a54_origdata,2,287397.0,0.04969537315467798,0.0
3,bayesChangePt,ec2_network_in_257a54_origdata,3,238944.0,0.017317803908056373,0.0
4,bayesChangePt,ec2_network_in_257a54_origdata,4,245880.0,0.02195262157248512,0.25
5,bayesChangePt,ec2_network_in_257a54_origdata,5,234170.0,0.014127691519073782,0.0
6,bayesChangePt,ec2_network_in_257a54_origdata,6,255797.0,0.02857942185768403,0.0
7,bayesChangePt,ec2_network_in_257a54_origdata,7,244002.0,0.020697692568189097,0.0
8,bayesChangePt,ec2_network_in_257a54_origdata,8,514385.0,0.2013747260977805,0.0
9,bayesChangePt,ec2_network_in_257a54_origdata,9,270883.0,0.038660283923078076,0.0
10,bayesChangePt,ec2_network_in_257a54_origdata,10,249887.0,0.024630204384100685,0.0
11,bayesChangePt,ec2_network_in_257a54_origdata,11,3201940.0,1.9972696782494357,0.8888888888888888
12,bayesChangePt,ec2_network_in_257a54_origdata,12,280638.0,0.04517883154656466,0.0
13,bayesChangePt,ec2_network_in_257a54_origdata,13,3231740.0,1.9983187935512168,0.0
14,bayesChangePt,ec2_network_in_257a54_origdata,14,223158.0,0.00669022397619623,0.0
15,bayesChangePt,ec2_network_in_257a54_origdata,15,242568.0,0.01953930388674907,0.0
16,bayesChangePt,ec2_network_in_257a54_origdata,16,221907.0,0.005862083895407877,0.4
17,bayesChangePt,ec2_network_in_257a54_origdata,17,248537.0,0.022908756661305874,0.0
18,bayesChangePt,ec2_network_in_257a54_origdata,18,223433.0,0.006285451587502822,0.0
19,bayesChangePt,ec2_network_in_257a54_origdata,19,247310.0,0.022096264814366884,0.0
20,bayesChangePt,ec2_network_in_257a54_origdata,20,224771.0,0.007171445141866628,0.0
21,bayesChangePt,ec2_network_in_257a54_origdata,21,223668.0,0.0064410633104292625,0.0
22,bayesChangePt,ec2_network_in_257a54_origdata,22,240044.0,0.01728488277699225,0.0
23,bayesChangePt,ec2_network_in_257a54_origdata,23,3221290.0,1.991399038212576,0.8888888888888888
24,bayesChangePt,ec2_network_in_257a54_origdata,24,235606.0,0.014346138835089062,0.0
25,bayesChangePt,ec2_network_in_257a54_origdata,25,3202800.0,1.9791553754172202,0.0
26,bayesChangePt,ec2_network_in_257a54_origdata,26,244192.0,0.02003159523102882,0.0
27,bayesChangePt,ec2_network_in_257a54_origdata,27,231729.0,0.011778876495576074,0.0
28,bayesChangePt,ec2_network_in_257a54_origdata,28,251450.0,0.02483767984804852,0.4
29,bayesChangePt,ec2_network_in_257a54_origdata,29,219342.0,0.003576483253495244,0.0
30,bayesChangePt,ec2_network_in_257a54_origdata,30,241032.0,0.017939114190827388,0.0
31,bayesChangePt,ec2_network_in_257a54_origdata,31,219744.0,0.00384267862633092,0.0
32,bayesChangePt,ec2_network_in_257a54_origdata,32,232511.0,0.012296699335271444,0.0
33,bayesChangePt,ec2_network_in_257a54_origdata,33,237811.0,0.01580624032041955,0.0
34,bayesChangePt,ec2_network_in_257a54_origdata,34,226034.0,0.00800777538040287,0.0
35,bayesChangePt,ec2_network_in_257a54_origdata,35,3220170.0,1.9906573993628844,0.8888888888888888
36,bayesChangePt,ec2_network_in_257a54_origdata,36,228654.0,0.009742680546645843,0.0
37,bayesChangePt,ec2_network_in_257a54_origdata,37,3227830.0,1.99572967935274,0.0
38,bayesChangePt,ec2_network_in_257a54_origdata,38,256906.0,0.028450520530117873,0.0
39,bayesChangePt,ec2_network_in_257a54_origdata,39,216462.0,0.0016694119257166795,0.0
40,bayesChangePt,ec2_network_in_257a54_origdata,40,238240.0,0.016090314486953194,0.4
41,bayesChangePt,ec2_network_in_257a54_origdata,41,233821.0,0.01316415191839293,0.0
42,bayesChangePt,ec2_network_in_257a54_origdata,42,239067.0,0.016637935316145103,0.0
43,bayesChangePt,ec2_network_in_257a54_origdata,43,229348.0,0.010202231762436953,0.0
44,bayesChangePt,ec2_network_in_257a54_origdata,44,233914.0,0.013225734430019176,0.0
45,bayesChangePt,ec2_network_in_257a54_origdata,45,245289.0,0.02075800399720007,0.0
46,bayesChangePt,ec2_network_in_257a54_origdata,46,3201090.0,1.9780230518163513,0.875
47,bayesChangePt,ec2_network_in_257a54_origdata,47,249867.0,0.023789452795314636,0.0
48,bayesChangePt,ec2_network_in_257a54_origdata,48,3207780.0,1.9824530195881704,0.0
49,bayesChangePt,ec2_network_in_257a54_origdata,49,241860.0,0.01848739719756365,0.0
50,bayesChangePt,ec2_network_in_257a54_origdata,50,220347.0,0.0042419716855846,0.0
51,bayesChangePt,ec2_network_in_257a54_origdata,51,244003.0,0.01990644367514338,0.4
52,bayesChangePt,ec2_network_in_257a54_origdata,52,3223880.0,1.993114078052488,0.0
53,bayesChangePt,ec2_network_in_257a54_origdata,53,1046040.0,0.5509973348270608,0.0
54,bayesChangePt,ec2_network_in_257a54_origdata,54,1477550.0,0.8367335669971028,0.0
55,bayesChangePt,ec2_network_in_257a54_origdata,55,239252.0,0.01676043816185313,0.0
56,bayesChangePt,ec2_network_in_257a54_origdata,56,245477.0,0.020882493375541156,0.0
57,bayesChangePt,ec2_network_in_257a54_origdata,57,233018.0,0.01263242335026582,0.7272727272727273
58,bayesChangePt,ec2_network_in_257a54_origdata,58,3213870.0,1.9864856808333686,0.0
59,bayesChangePt,ec2_network_in_257a54_origdata,59,241929.0,0.018533087448125096,0.0
60,bayesChangePt,ec2_network_in_257a54_origdata,60,3208820.0,1.9831416842343128,0.0
61,bayesChangePt,ec2_network_in_257a54_origdata,61,236597.0,0.015002356781557258,0.0
62,bayesChangePt,ec2_network_in_257a54_origdata,62,239443.0,0.016886914072827386,0.0
63,bayesChangePt,ec2_network_in_257a54_origdata,63,244422.0,0.020183896066233387,0.8235294117647058
64,bayesChangePt,ec2_network_in_257a54_origdata,64,225751.0,0.007820379135346833,0.0
65,bayesChangePt,ec2_network_in_257a54_origdata,65,250915.0,0.024483414861811825,0.0
66,bayesChangePt,ec2_network_in_257a54_origdata,66,223452.0,0.006298032960845856,0.0
67,bayesChangePt,ec2_network_in_257a54_origdata,67,248468.0,0.022863066410744537,0.0
68,bayesChangePt,ec2_network_in_257a54_origdata,68,223264.0,0.00617354358250477,0.0
69,bayesChangePt,ec2_network_in_257a54_origdata,69,248395.0,0.02281472745000568,0.0
70,bayesChangePt,ec2_network_in_257a54_origdata,70,3213880.0,1.9864923026088126,0.8888888888888888
71,bayesChangePt,ec2_network_in_257a54_origdata,71,252731.0,0.025685929282383335,0.0
72,bayesChangePt,ec2_network_in_257a54_origdata,72,3197710.0,1.9757848917163894,0.0
73,bayesChangePt,ec2_network_in_257a54_origdata,73,244921.0,0.02051432266087283,0.0
74,bayesChangePt,ec2_network_in_257a54_origdata,74,236245.0,0.014769270285939884,0.0
75,bayesChangePt,ec2_network_in_257a54_origdata,75,241661.0,0.01835562386623457,0.4
