,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,contextOSE,ec2_network_in_257a54_origdata,0,251643.0,0.8657840019503736,0.0
1,contextOSE,ec2_network_in_257a54_origdata,1,3203510.0,1.9983159011383949,0.0
2,contextOSE,ec2_network_in_257a54_origdata,2,287397.0,0.04969248074185595,0.0
3,contextOSE,ec2_network_in_257a54_origdata,3,238944.0,0.017314911495234342,0.0
4,contextOSE,ec2_network_in_257a54_origdata,4,245880.0,0.02194972915966309,0.0
5,contextOSE,ec2_network_in_257a54_origdata,5,234170.0,0.01412479910625175,0.0
6,contextOSE,ec2_network_in_257a54_origdata,6,255797.0,0.028576529444861998,0.0
7,contextOSE,ec2_network_in_257a54_origdata,7,244002.0,0.020694800155367066,0.0
8,contextOSE,ec2_network_in_257a54_origdata,8,514385.0,0.20137183368495848,0.0
9,contextOSE,ec2_network_in_257a54_origdata,9,270883.0,0.038657391510256045,0.0
10,contextOSE,ec2_network_in_257a54_origdata,10,249887.0,0.024627311971278654,0.0
11,contextOSE,ec2_network_in_257a54_origdata,11,3201940.0,1.9972667858366138,0.0
12,contextOSE,ec2_network_in_257a54_origdata,12,280638.0,0.045175939133742626,0.0
13,contextOSE,ec2_network_in_257a54_origdata,13,3231740.0,1.9983159011383949,0.0
14,contextOSE,ec2_network_in_257a54_origdata,14,223158.0,0.006687331563374199,0.0
15,contextOSE,ec2_network_in_257a54_origdata,15,242568.0,0.01953641147392704,0.0
16,contextOSE,ec2_network_in_257a54_origdata,16,221907.0,0.005859191482585846,0.0
17,contextOSE,ec2_network_in_257a54_origdata,17,248537.0,0.022905864248483843,0.0
18,contextOSE,ec2_network_in_257a54_origdata,18,223433.0,0.006282559174680791,0.0
19,contextOSE,ec2_network_in_257a54_origdata,19,247310.0,0.022093372401544853,0.0
20,contextOSE,ec2_network_in_257a54_origdata,20,224771.0,0.007168552729044597,0.0
21,contextOSE,ec2_network_in_257a54_origdata,21,223668.0,0.006438170897607232,0.0
22,contextOSE,ec2_network_in_257a54_origdata,22,240044.0,0.01728199036417022,0.0
23,contextOSE,ec2_network_in_257a54_origdata,23,3221290.0,1.991396145799754,0.0
