,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,relativeEntropy,ec2_network_in_257a54_origdata,0,251643.0,0.8657794381790149,0.0
1,relativeEntropy,ec2_network_in_257a54_origdata,1,3203510.0,1.998311337367036,0.0
2,relativeEntropy,ec2_network_in_257a54_origdata,2,287397.0,0.04968791697049724,0.0
3,relativeEntropy,ec2_network_in_257a54_origdata,3,238944.0,0.01731034772387563,0.0
4,relativeEntropy,ec2_network_in_257a54_origdata,4,245880.0,0.021945165388304377,0.0
5,relativeEntropy,ec2_network_in_257a54_origdata,5,234170.0,0.014120235334893039,0.0
6,relativeEntropy,ec2_network_in_257a54_origdata,6,255797.0,0.028571965673503286,0.0
7,relativeEntropy,ec2_network_in_257a54_origdata,7,244002.0,0.020690236384008354,0.0
8,relativeEntropy,ec2_network_in_257a54_origdata,8,514385.0,0.20136726991359977,0.0
9,relativeEntropy,ec2_network_in_257a54_origdata,9,270883.0,0.03865282773889733,0.0
10,relativeEntropy,ec2_network_in_257a54_origdata,10,249887.0,0.02462274819991994,0.0
11,relativeEntropy,ec2_network_in_257a54_origdata,11,3201940.0,1.997262222065255,0.0
12,relativeEntropy,ec2_network_in_257a54_origdata,12,280638.0,0.045171375362383914,0.0
13,relativeEntropy,ec2_network_in_257a54_origdata,13,3231740.0,1.998311337367036,0.0
14,relativeEntropy,ec2_network_in_257a54_origdata,14,223158.0,0.006682767792015487,0.0
15,relativeEntropy,ec2_network_in_257a54_origdata,15,242568.0,0.019531847702568328,0.0
16,relativeEntropy,ec2_network_in_257a54_origdata,16,221907.0,0.005854627711227134,0.0
17,relativeEntropy,ec2_network_in_257a54_origdata,17,248537.0,0.02290130047712513,0.0
18,relativeEntropy,ec2_network_in_257a54_origdata,18,223433.0,0.006277995403322079,0.0
19,relativeEntropy,ec2_network_in_257a54_origdata,19,247310.0,0.02208880863018614,0.0
20,relativeEntropy,ec2_network_in_257a54_origdata,20,224771.0,0.007163988957685885,0.0
21,relativeEntropy,ec2_network_in_257a54_origdata,21,223668.0,0.0064336071262485195,0.0
22,relativeEntropy,ec2_network_in_257a54_origdata,22,240044.0,0.017277426592811507,0.0
23,relativeEntropy,ec2_network_in_257a54_origdata,23,3221290.0,1.9913915820283952,0.0
24,relativeEntropy,ec2_network_in_257a54_origdata,24,235606.0,0.014338682650908319,0.0
25,relativeEntropy,ec2_network_in_257a54_origdata,25,3202800.0,1.9791479192330395,0.0
26,relativeEntropy,ec2_network_in_257a54_origdata,26,244192.0,0.020024139046848077,0.0
27,relativeEntropy,ec2_network_in_257a54_origdata,27,231729.0,0.01177142031139533,0.0
28,relativeEntropy,ec2_network_in_257a54_origdata,28,251450.0,0.02483022366386778,0.0
29,relativeEntropy,ec2_network_in_257a54_origdata,29,219342.0,0.003569027069314501,0.0
30,relativeEntropy,ec2_network_in_257a54_origdata,30,241032.0,0.017931658006646645,0.0
31,relativeEntropy,ec2_network_in_257a54_origdata,31,219744.0,0.003835222442150177,0.0
32,relativeEntropy,ec2_network_in_257a54_origdata,32,232511.0,0.0122892431510907,0.0
33,relativeEntropy,ec2_network_in_257a54_origdata,33,237811.0,0.015798784136238808,0.0
34,relativeEntropy,ec2_network_in_257a54_origdata,34,226034.0,0.008000319196222128,0.0
35,relativeEntropy,ec2_network_in_257a54_origdata,35,3220170.0,1.9906499431787037,0.0
36,relativeEntropy,ec2_network_in_257a54_origdata,36,228654.0,0.0097352243624651,0.0
37,relativeEntropy,ec2_network_in_257a54_origdata,37,3227830.0,1.9957222231685592,0.0
