,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,0,1.732,-0.4328479272506723,1.0
1,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,1,1.732,-0.4328479272506723,1.0
2,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,2,1.96,0.12324963372493708,1.0
3,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,3,1.732,-0.4328479272506723,1.0
4,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,4,1.706,-0.4962625613970138,1.0
5,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,5,1.734,-0.4279698784701845,1.0
6,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,6,1.766,-0.3499210979823795,1.0
7,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,7,1.766,-0.3499210979823795,1.0
8,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,8,2.026,0.2842252434810339,1.0
9,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,9,1.7619999999999998,-0.35967719554335603,1.0
10,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,10,1.704,-0.5011406101775016,1.0
11,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,11,1.834,-0.184067439445794,1.0
12,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,12,1.832,-0.18894548822628182,1.0
13,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,13,1.826,-0.20357963456774525,1.0
14,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,14,1.908,-0.0035796345677459596,1.0
15,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,15,1.798,-0.2718723174945746,1.0
16,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,16,1.732,-0.4328479272506723,1.0
17,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,17,1.802,-0.26211621993359896,1.0
18,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,18,1.764,-0.35479914676286733,1.0
19,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,19,1.86,-0.12065280529945249,1.0
20,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,20,1.998,0.21593256055420545,1.0
21,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,21,1.7719999999999998,-0.335286951640917,1.0
22,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,22,1.734,-0.4279698784701845,1.0
23,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,23,1.766,-0.3499210979823795,1.0
24,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,24,1.76,-0.36455524432384295,1.0
25,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,25,1.7380000000000002,-0.41821378090920885,1.0
26,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,26,1.93,0.05007890201761994,1.0
27,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,27,1.8,-0.26699426871408677,1.0
28,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,28,1.732,-0.4328479272506723,1.0
29,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,29,1.766,-0.3499210979823795,1.0
30,AnDePeDPro,ec2_cpu_utilization_53ea38_origdata,30,1.798,-0.2718723174945746,1.0
