,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,0,1.732,-0.4329207832848682,0.0
1,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,1,1.732,-0.4329207832848682,0.0
2,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,2,1.96,0.12317677769074115,0.0
3,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,3,1.732,-0.4329207832848682,0.0
4,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,4,1.706,-0.49633541743120974,0.0
5,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,5,1.734,-0.4280427345043804,0.0
6,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,6,1.766,-0.34999395401657546,0.0
7,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,7,1.766,-0.34999395401657546,0.0
8,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,8,2.026,0.28415238744683796,0.0
9,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,9,1.7619999999999998,-0.35975005157755197,0.0
10,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,10,1.704,-0.5012134662116976,0.0
11,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,11,1.834,-0.18414029547998995,0.0
12,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,12,1.832,-0.18901834426047776,0.0
13,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,13,1.826,-0.20365249060194118,0.0
14,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,14,1.908,-0.0036524906019418935,0.0
15,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,15,1.798,-0.2719451735287705,0.0
16,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,16,1.732,-0.4329207832848682,0.0
17,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,17,1.802,-0.2621890759677949,0.0
18,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,18,1.764,-0.35487200279706327,0.0
19,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,19,1.86,-0.12072566133364843,0.0
20,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,20,1.998,0.21585970452000952,0.0
21,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,21,1.7719999999999998,-0.3353598076751129,0.0
22,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,22,1.734,-0.4280427345043804,0.0
23,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,23,1.766,-0.34999395401657546,0.0
24,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,24,1.76,-0.3646281003580389,0.0
25,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,25,1.7380000000000002,-0.4182866369434048,0.0
26,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,26,1.93,0.05000604598342401,0.0
27,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,27,1.8,-0.2670671247482827,0.0
28,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,28,1.732,-0.4329207832848682,0.0
29,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,29,1.766,-0.34999395401657546,0.0
30,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,30,1.798,-0.2719451735287705,0.0
31,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,31,1.8,-0.2670671247482827,0.0
32,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,32,1.99,0.19634750939805828,0.0
33,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,33,1.7380000000000002,-0.4182866369434048,0.0
34,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,34,1.76,-0.3646281003580389,0.0
35,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,35,1.7719999999999998,-0.3353598076751129,0.0
36,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,36,1.764,-0.35487200279706327,0.0
37,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,37,1.732,-0.4329207832848682,0.0
38,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,38,2.0,0.22073775330049733,0.0
39,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,39,1.7,-0.5109695637726732,0.0
40,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,40,1.798,-0.2719451735287705,0.0
41,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,41,1.732,-0.4329207832848682,0.0
42,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,42,1.764,-0.35487200279706327,0.0
43,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,43,1.7619999999999998,-0.35975005157755197,0.0
44,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,44,1.97,0.1475670215931802,0.0
45,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,45,1.7280000000000002,-0.44267688084584383,0.0
46,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,46,1.806,-0.2524329784068193,0.0
47,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,47,1.8,-0.2670671247482827,0.0
48,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,48,1.86,-0.12072566133364843,0.0
49,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,49,1.7380000000000002,-0.4182866369434048,0.0
50,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,50,1.992,0.2012255581785461,0.0
51,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,51,1.702,-0.5060915149921854,0.0
52,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,52,1.766,-0.34999395401657546,0.0
53,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,53,1.76,-0.3646281003580389,0.0
54,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,54,1.832,-0.18901834426047776,0.0
55,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,55,1.774,-0.3304817588946242,0.0
56,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,56,1.998,0.21585970452000952,0.0
57,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,57,1.7919999999999998,-0.2865793198702348,0.0
58,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,58,1.798,-0.2719451735287705,0.0
59,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,59,1.838,-0.17438419791901433,0.0
60,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,60,1.798,-0.2719451735287705,0.0
61,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,61,1.764,-0.35487200279706327,0.0
62,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,62,2.032,0.2987865337883023,0.0
63,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,63,1.83,-0.19389639304096556,0.0
64,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,64,1.766,-0.34999395401657546,0.0
65,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,65,1.954,0.10854263134927772,0.0
66,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,66,1.702,-0.5060915149921854,0.0
67,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,67,1.866,-0.106091514992185,0.0
68,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,68,1.966,0.13781092403220457,0.0
69,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,69,1.83,0.24603320213127505,0.0
70,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,70,1.76,-0.11479154013676668,0.0
71,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,71,1.836,0.27696103718282133,0.0
72,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,72,1.766,-0.0838637050852204,0.0
73,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,73,1.826,0.2254146454302442,0.0
74,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,74,1.904,0.6274765011003458,0.9054054054054054
75,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,75,1.83,0.24603320213127505,0.0
76,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,76,1.732,-0.25912143704398444,0.0
77,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,77,1.826,0.2254146454302442,0.0
78,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,78,1.704,-0.4034513339512004,0.0
79,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,79,1.766,-0.0838637050852204,0.0
80,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,80,1.958,0.9058270165642623,0.0
81,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,81,1.764,-0.09417298343573582,0.0
82,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,82,1.768,-0.07355442673470497,0.0
83,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,83,1.7719999999999998,-0.05293587003367589,0.0
84,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,84,1.788,0.029538356770449303,0.0
85,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,85,1.67,-0.5787090659099627,0.0
86,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,86,1.866,0.43160021244055274,0.0
87,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,87,1.732,-0.25912143704398444,0.0
88,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,88,1.726,-0.2900492720955307,0.0
89,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,89,1.706,-0.393142055600685,0.0
90,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,90,1.834,0.2666517588323059,0.0
91,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,91,1.734,-0.248812158693469,0.0
92,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,92,1.968,0.9573734083168413,0.0
93,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,93,1.966,0.9470641299663258,0.16129032258064513
94,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,94,2.0580000000000003,1.4109816557395218,0.8846153846153846
95,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,95,1.838,0.28277652753439414,0.0
96,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,96,1.966,0.9391867839446499,0.0
97,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,97,1.932,0.7648278095856744,0.0
98,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,98,2.162,1.4109816557395227,0.0
99,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,99,1.926,0.4555160686949878,0.0
100,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,100,1.968,0.6255565545249473,0.0
101,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,101,1.932,0.4798075666706963,0.0
102,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,102,2.006,0.7794027083711015,0.0
103,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,103,1.992,0.7227225464277822,0.0
104,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,104,2.0340000000000003,0.8927630322577418,0.0
105,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,105,1.704,-0.44326935640622617,0.0
106,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,106,1.834,0.0830464330674579,0.0
107,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,107,1.732,-0.32990903251958675,0.0
108,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,108,1.824,0.04256060310794402,0.0
109,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,109,1.704,-0.44326935640622617,0.7058823529411764
110,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,110,1.966,0.617459388533045,0.0
111,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,111,1.766,-0.19225721065723883,0.0
112,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,112,1.8,-0.05460538879489002,0.6
113,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,113,1.764,-0.20035437664914107,0.0
114,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,114,1.858,0.18021242497029194,0.0
115,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,115,1.84,0.10733793104316641,0.0
116,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,116,2.0,0.755111210395393,0.0
117,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,117,1.8,-0.05460538879489002,0.0
118,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,118,1.76,-0.21654870863294734,0.72
119,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,119,1.806,-0.03031389081918151,0.0
120,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,120,1.766,-0.19877444182145337,0.0
121,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,121,1.8,-0.06056305970763182,0.0
122,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,122,1.966,0.6142336882598469,0.0
123,bayesChangePt,ec2_cpu_utilization_53ea38_origdata,123,1.796,-0.07682322230925814,0.0
