,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,contextOSE,ec2_cpu_utilization_53ea38_origdata,0,1.732,-0.433073948507528,0.0
1,contextOSE,ec2_cpu_utilization_53ea38_origdata,1,1.732,-0.433073948507528,0.0
2,contextOSE,ec2_cpu_utilization_53ea38_origdata,2,1.96,0.12302361246808136,0.0
3,contextOSE,ec2_cpu_utilization_53ea38_origdata,3,1.732,-0.433073948507528,0.0
4,contextOSE,ec2_cpu_utilization_53ea38_origdata,4,1.706,-0.4964885826538695,0.0
5,contextOSE,ec2_cpu_utilization_53ea38_origdata,5,1.734,-0.4281958997270402,0.0
6,contextOSE,ec2_cpu_utilization_53ea38_origdata,6,1.766,-0.35014711923923525,0.0
7,contextOSE,ec2_cpu_utilization_53ea38_origdata,7,1.766,-0.35014711923923525,0.0
8,contextOSE,ec2_cpu_utilization_53ea38_origdata,8,2.026,0.28399922222417817,0.0
9,contextOSE,ec2_cpu_utilization_53ea38_origdata,9,1.7619999999999998,-0.35990321680021176,0.0
10,contextOSE,ec2_cpu_utilization_53ea38_origdata,10,1.704,-0.5013666314343573,0.0
11,contextOSE,ec2_cpu_utilization_53ea38_origdata,11,1.834,-0.18429346070264974,0.0
12,contextOSE,ec2_cpu_utilization_53ea38_origdata,12,1.832,-0.18917150948313755,0.0
13,contextOSE,ec2_cpu_utilization_53ea38_origdata,13,1.826,-0.20380565582460097,0.0
14,contextOSE,ec2_cpu_utilization_53ea38_origdata,14,1.908,-0.0038056558246016836,0.0
15,contextOSE,ec2_cpu_utilization_53ea38_origdata,15,1.798,-0.2720983387514303,0.0
16,contextOSE,ec2_cpu_utilization_53ea38_origdata,16,1.732,-0.433073948507528,0.0
17,contextOSE,ec2_cpu_utilization_53ea38_origdata,17,1.802,-0.2623422411904547,0.0
18,contextOSE,ec2_cpu_utilization_53ea38_origdata,18,1.764,-0.35502516801972306,0.0
19,contextOSE,ec2_cpu_utilization_53ea38_origdata,19,1.86,-0.12087882655630822,0.0
20,contextOSE,ec2_cpu_utilization_53ea38_origdata,20,1.998,0.21570653929734973,0.0
21,contextOSE,ec2_cpu_utilization_53ea38_origdata,21,1.7719999999999998,-0.3355129728977727,0.0
22,contextOSE,ec2_cpu_utilization_53ea38_origdata,22,1.734,-0.4281958997270402,0.0
23,contextOSE,ec2_cpu_utilization_53ea38_origdata,23,1.766,-0.35014711923923525,0.0
24,contextOSE,ec2_cpu_utilization_53ea38_origdata,24,1.76,-0.3647812655806987,0.0
25,contextOSE,ec2_cpu_utilization_53ea38_origdata,25,1.7380000000000002,-0.4184398021660646,0.0
26,contextOSE,ec2_cpu_utilization_53ea38_origdata,26,1.93,0.04985288076076422,0.0
27,contextOSE,ec2_cpu_utilization_53ea38_origdata,27,1.8,-0.2672202899709425,0.0
28,contextOSE,ec2_cpu_utilization_53ea38_origdata,28,1.732,-0.433073948507528,0.0
29,contextOSE,ec2_cpu_utilization_53ea38_origdata,29,1.766,-0.35014711923923525,0.0
30,contextOSE,ec2_cpu_utilization_53ea38_origdata,30,1.798,-0.2720983387514303,0.0
31,contextOSE,ec2_cpu_utilization_53ea38_origdata,31,1.8,-0.2672202899709425,0.0
32,contextOSE,ec2_cpu_utilization_53ea38_origdata,32,1.99,0.1961943441753985,0.0
33,contextOSE,ec2_cpu_utilization_53ea38_origdata,33,1.7380000000000002,-0.4184398021660646,0.0
34,contextOSE,ec2_cpu_utilization_53ea38_origdata,34,1.76,-0.3647812655806987,0.0
35,contextOSE,ec2_cpu_utilization_53ea38_origdata,35,1.7719999999999998,-0.3355129728977727,0.0
36,contextOSE,ec2_cpu_utilization_53ea38_origdata,36,1.764,-0.35502516801972306,0.0
37,contextOSE,ec2_cpu_utilization_53ea38_origdata,37,1.732,-0.433073948507528,0.0
38,contextOSE,ec2_cpu_utilization_53ea38_origdata,38,2.0,0.22058458807783754,0.0
39,contextOSE,ec2_cpu_utilization_53ea38_origdata,39,1.7,-0.511122728995333,0.0
40,contextOSE,ec2_cpu_utilization_53ea38_origdata,40,1.798,-0.2720983387514303,0.0
41,contextOSE,ec2_cpu_utilization_53ea38_origdata,41,1.732,-0.433073948507528,0.0
42,contextOSE,ec2_cpu_utilization_53ea38_origdata,42,1.764,-0.35502516801972306,0.0
43,contextOSE,ec2_cpu_utilization_53ea38_origdata,43,1.7619999999999998,-0.35990321680021176,0.0
44,contextOSE,ec2_cpu_utilization_53ea38_origdata,44,1.97,0.1474138563705204,0.0
45,contextOSE,ec2_cpu_utilization_53ea38_origdata,45,1.7280000000000002,-0.4428300460685036,0.0
46,contextOSE,ec2_cpu_utilization_53ea38_origdata,46,1.806,-0.25258614362947907,0.0
47,contextOSE,ec2_cpu_utilization_53ea38_origdata,47,1.8,-0.2672202899709425,0.0
48,contextOSE,ec2_cpu_utilization_53ea38_origdata,48,1.86,-0.12087882655630822,0.0
49,contextOSE,ec2_cpu_utilization_53ea38_origdata,49,1.7380000000000002,-0.4184398021660646,0.0
50,contextOSE,ec2_cpu_utilization_53ea38_origdata,50,1.992,0.2010723929558863,0.0
51,contextOSE,ec2_cpu_utilization_53ea38_origdata,51,1.702,-0.5062446802148451,0.0
52,contextOSE,ec2_cpu_utilization_53ea38_origdata,52,1.766,-0.35014711923923525,0.0
53,contextOSE,ec2_cpu_utilization_53ea38_origdata,53,1.76,-0.3647812655806987,0.0
54,contextOSE,ec2_cpu_utilization_53ea38_origdata,54,1.832,-0.18917150948313755,0.0
55,contextOSE,ec2_cpu_utilization_53ea38_origdata,55,1.774,-0.330634924117284,0.0
56,contextOSE,ec2_cpu_utilization_53ea38_origdata,56,1.998,0.21570653929734973,0.0
57,contextOSE,ec2_cpu_utilization_53ea38_origdata,57,1.7919999999999998,-0.2867324850928946,0.0
58,contextOSE,ec2_cpu_utilization_53ea38_origdata,58,1.798,-0.2720983387514303,0.0
59,contextOSE,ec2_cpu_utilization_53ea38_origdata,59,1.838,-0.17453736314167412,0.0
60,contextOSE,ec2_cpu_utilization_53ea38_origdata,60,1.798,-0.2720983387514303,0.0
61,contextOSE,ec2_cpu_utilization_53ea38_origdata,61,1.764,-0.35502516801972306,0.0
62,contextOSE,ec2_cpu_utilization_53ea38_origdata,62,2.032,0.2986333685656425,0.0
63,contextOSE,ec2_cpu_utilization_53ea38_origdata,63,1.83,-0.19404955826362535,0.0
64,contextOSE,ec2_cpu_utilization_53ea38_origdata,64,1.766,-0.35014711923923525,0.0
65,contextOSE,ec2_cpu_utilization_53ea38_origdata,65,1.954,0.10838946612661793,0.0
66,contextOSE,ec2_cpu_utilization_53ea38_origdata,66,1.702,-0.5062446802148451,0.0
