,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,0,1.732,-0.4328847045846138,0.0
1,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,1,1.732,-0.4328847045846138,0.0
2,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,2,1.96,0.12321285639099555,0.0
3,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,3,1.732,-0.4328847045846138,0.0
4,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,4,1.706,-0.49629933873095533,0.0
5,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,5,1.734,-0.428006655804126,0.0
6,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,6,1.766,-0.34995787531632105,0.0
7,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,7,1.766,-0.34995787531632105,0.0
8,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,8,2.026,0.28418846614709237,0.0
9,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,9,1.7619999999999998,-0.35971397287729756,0.0
10,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,10,1.704,-0.5011773875114431,0.0
11,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,11,1.834,-0.18410421677973554,0.0
12,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,12,1.832,-0.18898226556022335,0.0
13,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,13,1.826,-0.20361641190168678,0.0
14,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,14,1.908,-0.0036164119016874885,0.0
15,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,15,1.798,-0.2719090948285161,0.0
16,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,16,1.732,-0.4328847045846138,0.0
17,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,17,1.802,-0.2621529972675405,0.0
18,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,18,1.764,-0.35483592409680886,0.0
19,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,19,1.86,-0.12068958263339402,0.0
20,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,20,1.998,0.21589578322026393,0.0
21,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,21,1.7719999999999998,-0.3353237289748585,0.0
22,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,22,1.734,-0.428006655804126,0.0
23,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,23,1.766,-0.34995787531632105,0.0
24,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,24,1.76,-0.3645920216577845,0.0
25,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,25,1.7380000000000002,-0.4182505582431504,0.0
26,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,26,1.93,0.05004212468367841,0.0
27,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,27,1.8,-0.2670310460480283,0.0
28,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,28,1.732,-0.4328847045846138,0.0
29,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,29,1.766,-0.34995787531632105,0.0
30,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,30,1.798,-0.2719090948285161,0.0
31,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,31,1.8,-0.2670310460480283,0.0
32,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,32,1.99,0.1963835880983127,0.0
33,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,33,1.7380000000000002,-0.4182505582431504,0.0
34,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,34,1.76,-0.3645920216577845,0.0
35,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,35,1.7719999999999998,-0.3353237289748585,0.0
36,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,36,1.764,-0.35483592409680886,0.0
37,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,37,1.732,-0.4328847045846138,0.0
38,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,38,2.0,0.22077383200075174,0.0
39,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,39,1.7,-0.5109334850724188,0.0
40,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,40,1.798,-0.2719090948285161,0.0
41,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,41,1.732,-0.4328847045846138,0.0
42,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,42,1.764,-0.35483592409680886,0.0
43,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,43,1.7619999999999998,-0.35971397287729756,0.0
44,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,44,1.97,0.1476031002934346,0.0
45,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,45,1.7280000000000002,-0.44264080214558943,0.0
46,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,46,1.806,-0.25239689970656487,0.0
47,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,47,1.8,-0.2670310460480283,0.0
48,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,48,1.86,-0.12068958263339402,0.0
49,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,49,1.7380000000000002,-0.4182505582431504,0.0
50,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,50,1.992,0.2012616368788005,0.0
51,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,51,1.702,-0.506055436291931,0.0
52,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,52,1.766,-0.34995787531632105,0.0
53,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,53,1.76,-0.3645920216577845,0.0
54,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,54,1.832,-0.18898226556022335,0.0
55,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,55,1.774,-0.3304456801943698,0.0
56,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,56,1.998,0.21589578322026393,0.0
57,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,57,1.7919999999999998,-0.2865432411699804,0.0
58,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,58,1.798,-0.2719090948285161,0.0
59,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,59,1.838,-0.17434811921875992,0.0
60,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,60,1.798,-0.2719090948285161,0.0
61,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,61,1.764,-0.35483592409680886,0.0
62,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,62,2.032,0.2988226124885567,0.0
63,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,63,1.83,-0.19386031434071116,0.0
64,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,64,1.766,-0.34995787531632105,0.0
65,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,65,1.954,0.10857871004953212,0.0
66,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,66,1.702,-0.506055436291931,0.0
67,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,67,1.866,-0.1060554362919306,0.0
68,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,68,1.966,0.13784700273245898,0.0
69,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,69,1.83,0.24606928083152946,0.0
70,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,70,1.76,-0.11475546143651227,0.0
71,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,71,1.836,0.27699711588307574,0.0
72,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,72,1.766,-0.08382762638496599,0.0
73,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,73,1.826,0.2254507241304986,0.0
74,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,74,1.904,0.6275125798006003,0.0
75,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,75,1.83,0.24606928083152946,0.0
76,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,76,1.732,-0.25908535834373003,0.0
77,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,77,1.826,0.2254507241304986,0.0
78,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,78,1.704,-0.403415255250946,0.0
79,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,79,1.766,-0.08382762638496599,0.0
80,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,80,1.958,0.9058630952645168,0.0
81,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,81,1.764,-0.09413690473548142,0.0
82,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,82,1.768,-0.07351834803445056,0.0
83,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,83,1.7719999999999998,-0.052899791333421486,0.0
84,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,84,1.788,0.029574435470703708,0.0
85,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,85,1.67,-0.5786729872097083,0.0
86,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,86,1.866,0.43163629114080715,0.0
87,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,87,1.732,-0.25908535834373003,0.0
88,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,88,1.726,-0.2900131933952763,0.0
89,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,89,1.706,-0.3931059769004306,0.0
90,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,90,1.834,0.2666878375325603,0.0
91,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,91,1.734,-0.2487760799932146,0.0
92,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,92,1.968,0.9574094870170957,0.0
93,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,93,1.966,0.9471002086665803,0.0
94,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,94,2.0580000000000003,1.4110177344397763,1.0
95,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,95,1.838,0.28281260623464854,0.0
96,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,96,1.966,0.9392228626449044,0.0
97,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,97,1.932,0.7648638882859289,0.0
98,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,98,2.162,1.4110177344397772,0.0
99,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,99,1.926,0.4555521473952422,0.0
100,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,100,1.968,0.6255926332252018,0.0
101,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,101,1.932,0.4798436453709507,0.0
102,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,102,2.006,0.7794387870713559,0.0
103,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,103,1.992,0.7227586251280367,0.0
104,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,104,2.0340000000000003,0.8927991109579962,0.0
105,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,105,1.704,-0.44323327770597176,0.0
106,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,106,1.834,0.08308251176771231,0.0
107,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,107,1.732,-0.32987295381933235,0.0
108,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,108,1.824,0.04259668180819842,0.0
109,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,109,1.704,-0.44323327770597176,0.0
110,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,110,1.966,0.6174954672332995,0.0
111,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,111,1.766,-0.19222113195698443,0.0
112,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,112,1.8,-0.054569310094635615,0.0
113,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,113,1.764,-0.20031829794888667,0.0
114,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,114,1.858,0.18024850367054635,0.0
115,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,115,1.84,0.10737400974342082,0.0
116,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,116,2.0,0.7551472890956474,0.0
117,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,117,1.8,-0.054569310094635615,0.0
118,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,118,1.76,-0.21651262993269293,0.0
119,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,119,1.806,-0.030277812118927105,0.0
120,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,120,1.766,-0.19873836312119897,0.0
121,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,121,1.8,-0.06052698100737741,0.0
122,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,122,1.966,0.6142697669601014,0.0
123,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,123,1.796,-0.07678714360900374,0.0
124,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,124,1.798,-0.06865706230819102,0.0
125,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,125,1.794,-0.08491722490981646,0.0
126,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,126,1.84,0.1020746450088823,0.0
127,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,127,1.766,-0.19873836312119897,0.0
128,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,128,1.962,0.5980096043584759,0.0
129,earthgeckoSkyline,ec2_cpu_utilization_53ea38_origdata,129,1.766,-0.19873836312119897,0.0
