,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,knncad,ec2_cpu_utilization_53ea38_origdata,0,1.732,-0.4327545804163886,0.0
1,knncad,ec2_cpu_utilization_53ea38_origdata,1,1.732,-0.4327545804163886,0.0
2,knncad,ec2_cpu_utilization_53ea38_origdata,2,1.96,0.12334298055922077,0.0
3,knncad,ec2_cpu_utilization_53ea38_origdata,3,1.732,-0.4327545804163886,0.0
4,knncad,ec2_cpu_utilization_53ea38_origdata,4,1.706,-0.4961692145627301,0.0
5,knncad,ec2_cpu_utilization_53ea38_origdata,5,1.734,-0.4278765316359008,0.0
6,knncad,ec2_cpu_utilization_53ea38_origdata,6,1.766,-0.34982775114809583,0.0
7,knncad,ec2_cpu_utilization_53ea38_origdata,7,1.766,-0.34982775114809583,0.0
8,knncad,ec2_cpu_utilization_53ea38_origdata,8,2.026,0.2843185903153176,0.0
9,knncad,ec2_cpu_utilization_53ea38_origdata,9,1.7619999999999998,-0.35958384870907234,0.0
10,knncad,ec2_cpu_utilization_53ea38_origdata,10,1.704,-0.5010472633432179,0.0
11,knncad,ec2_cpu_utilization_53ea38_origdata,11,1.834,-0.18397409261151032,0.0
12,knncad,ec2_cpu_utilization_53ea38_origdata,12,1.832,-0.18885214139199813,0.0
13,knncad,ec2_cpu_utilization_53ea38_origdata,13,1.826,-0.20348628773346156,0.0
14,knncad,ec2_cpu_utilization_53ea38_origdata,14,1.908,-0.0034862877334622677,0.0
15,knncad,ec2_cpu_utilization_53ea38_origdata,15,1.798,-0.2717789706602909,0.0
16,knncad,ec2_cpu_utilization_53ea38_origdata,16,1.732,-0.4327545804163886,0.0
17,knncad,ec2_cpu_utilization_53ea38_origdata,17,1.802,-0.26202287309931527,0.0
18,knncad,ec2_cpu_utilization_53ea38_origdata,18,1.764,-0.35470579992858364,0.0
19,knncad,ec2_cpu_utilization_53ea38_origdata,19,1.86,-0.1205594584651688,0.0
20,knncad,ec2_cpu_utilization_53ea38_origdata,20,1.998,0.21602590738848915,0.0
21,knncad,ec2_cpu_utilization_53ea38_origdata,21,1.7719999999999998,-0.3351936048066333,0.0
22,knncad,ec2_cpu_utilization_53ea38_origdata,22,1.734,-0.4278765316359008,0.0
23,knncad,ec2_cpu_utilization_53ea38_origdata,23,1.766,-0.34982775114809583,0.0
24,knncad,ec2_cpu_utilization_53ea38_origdata,24,1.76,-0.36446189748955926,0.0
25,knncad,ec2_cpu_utilization_53ea38_origdata,25,1.7380000000000002,-0.41812043407492516,0.0
26,knncad,ec2_cpu_utilization_53ea38_origdata,26,1.93,0.050172248851903634,0.0
27,knncad,ec2_cpu_utilization_53ea38_origdata,27,1.8,-0.2669009218798031,0.0
28,knncad,ec2_cpu_utilization_53ea38_origdata,28,1.732,-0.4327545804163886,0.0
29,knncad,ec2_cpu_utilization_53ea38_origdata,29,1.766,-0.34982775114809583,0.0
30,knncad,ec2_cpu_utilization_53ea38_origdata,30,1.798,-0.2717789706602909,0.0
31,knncad,ec2_cpu_utilization_53ea38_origdata,31,1.8,-0.2669009218798031,0.0
32,knncad,ec2_cpu_utilization_53ea38_origdata,32,1.99,0.1965137122665379,0.0
33,knncad,ec2_cpu_utilization_53ea38_origdata,33,1.7380000000000002,-0.41812043407492516,0.0
34,knncad,ec2_cpu_utilization_53ea38_origdata,34,1.76,-0.36446189748955926,0.0
35,knncad,ec2_cpu_utilization_53ea38_origdata,35,1.7719999999999998,-0.3351936048066333,0.0
36,knncad,ec2_cpu_utilization_53ea38_origdata,36,1.764,-0.35470579992858364,0.0
37,knncad,ec2_cpu_utilization_53ea38_origdata,37,1.732,-0.4327545804163886,0.0
38,knncad,ec2_cpu_utilization_53ea38_origdata,38,2.0,0.22090395616897696,0.0
39,knncad,ec2_cpu_utilization_53ea38_origdata,39,1.7,-0.5108033609041935,0.0
40,knncad,ec2_cpu_utilization_53ea38_origdata,40,1.798,-0.2717789706602909,0.0
41,knncad,ec2_cpu_utilization_53ea38_origdata,41,1.732,-0.4327545804163886,0.0
