,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,0,1.732,-0.43269423120181133,0.0
1,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,1,1.732,-0.43269423120181133,0.0
2,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,2,1.96,0.12340332977379803,0.0
3,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,3,1.732,-0.43269423120181133,0.0
4,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,4,1.706,-0.49610886534815285,0.0
5,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,5,1.734,-0.4278161824213235,0.0
6,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,6,1.766,-0.3497674019335186,0.0
7,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,7,1.766,-0.3497674019335186,0.0
8,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,8,2.026,0.28437893952989485,0.0
9,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,9,1.7619999999999998,-0.3595234994944951,0.0
10,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,10,1.704,-0.5009869141286407,0.0
11,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,11,1.834,-0.18391374339693306,0.0
12,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,12,1.832,-0.18879179217742087,0.0
13,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,13,1.826,-0.2034259385188843,0.0
14,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,14,1.908,-0.0034259385188850078,0.0
15,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,15,1.798,-0.2717186214457136,0.0
16,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,16,1.732,-0.43269423120181133,0.0
17,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,17,1.802,-0.261962523884738,0.0
18,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,18,1.764,-0.3546454507140064,0.0
19,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,19,1.86,-0.12049910925059154,0.0
20,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,20,1.998,0.2160862566030664,0.0
21,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,21,1.7719999999999998,-0.33513325559205603,0.0
22,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,22,1.734,-0.4278161824213235,0.0
23,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,23,1.766,-0.3497674019335186,0.0
24,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,24,1.76,-0.364401548274982,0.0
25,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,25,1.7380000000000002,-0.4180600848603479,0.0
26,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,26,1.93,0.050232598066480894,0.0
27,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,27,1.8,-0.2668405726652258,0.0
28,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,28,1.732,-0.43269423120181133,0.0
29,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,29,1.766,-0.3497674019335186,0.0
30,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,30,1.798,-0.2717186214457136,0.0
31,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,31,1.8,-0.2668405726652258,0.0
32,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,32,1.99,0.19657406148111517,0.0
33,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,33,1.7380000000000002,-0.4180600848603479,0.0
34,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,34,1.76,-0.364401548274982,0.0
35,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,35,1.7719999999999998,-0.33513325559205603,0.0
36,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,36,1.764,-0.3546454507140064,0.0
37,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,37,1.732,-0.43269423120181133,0.0
38,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,38,2.0,0.22096430538355422,0.0
39,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,39,1.7,-0.5107430116896163,0.0
40,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,40,1.798,-0.2717186214457136,0.0
41,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,41,1.732,-0.43269423120181133,0.0
42,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,42,1.764,-0.3546454507140064,0.0
43,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,43,1.7619999999999998,-0.3595234994944951,0.0
44,relativeEntropy,ec2_cpu_utilization_53ea38_origdata,44,1.97,0.14779357367623708,0.0
