,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,windowedGaussian,ec2_cpu_utilization_53ea38_origdata,0,1.732,-0.4327444741787576,0.0
1,windowedGaussian,ec2_cpu_utilization_53ea38_origdata,1,1.732,-0.4327444741787576,0.5
2,windowedGaussian,ec2_cpu_utilization_53ea38_origdata,2,1.96,0.12335308679685175,1.0
3,windowedGaussian,ec2_cpu_utilization_53ea38_origdata,3,1.732,-0.4327444741787576,0.7602499389065233
4,windowedGaussian,ec2_cpu_utilization_53ea38_origdata,4,1.706,-0.49615910832509913,0.799742836843564
5,windowedGaussian,ec2_cpu_utilization_53ea38_origdata,5,1.734,-0.4278664253982698,0.6580117397046339
6,windowedGaussian,ec2_cpu_utilization_53ea38_origdata,6,1.766,-0.34981764491046485,0.5000000000000003
7,windowedGaussian,ec2_cpu_utilization_53ea38_origdata,7,1.766,-0.34981764491046485,0.5000000000000002
8,windowedGaussian,ec2_cpu_utilization_53ea38_origdata,8,2.026,0.28432869655294857,0.9997080242144987
9,windowedGaussian,ec2_cpu_utilization_53ea38_origdata,9,1.7619999999999998,-0.35957374247144136,0.6191748455395083
10,windowedGaussian,ec2_cpu_utilization_53ea38_origdata,10,1.704,-0.5010371571055869,0.801695192363331
11,windowedGaussian,ec2_cpu_utilization_53ea38_origdata,11,1.834,-0.18396398637387934,0.689780786376837
12,windowedGaussian,ec2_cpu_utilization_53ea38_origdata,12,1.832,-0.18884203515436715,0.6732984850988594
13,windowedGaussian,ec2_cpu_utilization_53ea38_origdata,13,1.826,-0.20347618149583058,0.642485444673394
14,windowedGaussian,ec2_cpu_utilization_53ea38_origdata,14,1.908,-0.0034761814958312875,0.8924244764770963
15,windowedGaussian,ec2_cpu_utilization_53ea38_origdata,15,1.798,-0.2717688644226599,0.514215651185335
16,windowedGaussian,ec2_cpu_utilization_53ea38_origdata,16,1.732,-0.4327444741787576,0.7773613589544203
