,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,0,0.132,0.027804284533407442,0.0
1,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,1,0.134,0.03041184646300321,0.0
2,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,2,0.134,0.03041184646300321,0.0
3,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,3,0.134,0.03041184646300321,0.0
4,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,4,0.134,0.03041184646300321,0.0
5,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,5,0.134,0.03041184646300321,0.0
6,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,6,0.134,0.03041184646300321,0.0
7,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,7,0.134,0.03041184646300321,0.0
8,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,8,0.066,-0.058245259143254846,0.0
9,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,9,0.132,0.027804284533407442,0.0
10,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,10,0.134,0.03041184646300321,0.0
11,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,11,0.066,-0.058245259143254846,0.0
12,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,12,0.132,0.027804284533407442,0.0
13,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,13,0.2019999999999999,0.11906895206926127,0.0
14,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,14,0.068,-0.055637697213659076,0.0
15,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,15,0.134,0.03041184646300321,0.0
16,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,16,0.132,0.027804284533407442,0.0
17,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,17,0.134,0.03041184646300321,0.0
18,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,18,0.134,0.03041184646300321,0.0
19,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,19,0.136,0.03301940839259909,0.0
20,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,20,0.132,0.027804284533407442,0.0
21,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,21,0.134,0.03041184646300321,0.0
22,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,22,0.134,0.03041184646300321,0.0
23,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,23,0.066,-0.058245259143254846,0.0
24,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,24,0.134,0.03041184646300321,0.0
25,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,25,0.134,0.03041184646300321,0.0
26,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,26,0.066,-0.058245259143254846,0.0
27,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,27,0.134,0.03041184646300321,0.0
28,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,28,0.134,0.03041184646300321,0.0
29,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,29,0.134,0.03041184646300321,0.0
30,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,30,0.132,0.027804284533407442,0.0
31,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,31,0.136,0.03301940839259909,0.0
32,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,32,0.134,0.03041184646300321,0.0
33,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,33,0.134,0.03041184646300321,0.0
34,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,34,0.132,0.027804284533407442,0.0
35,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,35,0.132,0.027804284533407442,0.0
36,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,36,0.134,0.03041184646300321,0.0
37,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,37,0.134,0.03041184646300321,0.0
38,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,38,0.066,-0.058245259143254846,0.0
39,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,39,0.134,0.03041184646300321,0.0
40,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,40,0.134,0.03041184646300321,0.0
41,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,41,0.2019999999999999,0.11906895206926127,0.0
42,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,42,0.134,0.03041184646300321,0.0
43,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,43,0.134,0.03041184646300321,0.0
44,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,44,0.134,0.03041184646300321,0.0
45,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,45,0.068,-0.055637697213659076,0.0
46,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,46,0.132,0.027804284533407442,0.0
47,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,47,0.134,0.03041184646300321,0.0
48,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,48,0.134,0.03041184646300321,0.0
49,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,49,0.134,0.03041184646300321,0.0
50,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,50,0.134,0.03041184646300321,0.0
51,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,51,0.134,0.03041184646300321,0.0
52,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,52,0.134,0.03041184646300321,0.0
53,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,53,0.134,0.03041184646300321,0.0
54,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,54,0.066,-0.058245259143254846,0.0
55,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,55,0.134,0.03041184646300321,0.0
56,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,56,0.134,0.03041184646300321,0.0
57,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,57,0.134,0.03041184646300321,0.0
58,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,58,0.066,-0.058245259143254846,0.0
59,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,59,0.132,0.027804284533407442,0.0
60,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,60,0.134,0.03041184646300321,0.0
61,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,61,0.2,0.1164613901396655,0.0
62,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,62,0.132,0.027804284533407442,0.0
63,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,63,0.134,0.03041184646300321,0.0
64,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,64,0.136,0.03301940839259909,0.0
65,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,65,0.132,0.027804284533407442,0.0
66,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,66,0.066,-0.058245259143254846,0.0
67,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,67,0.134,0.941754740856746,0.0
68,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,68,0.134,0.941754740856746,0.0
69,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,69,0.134,0.941754740856746,0.0
70,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,70,0.2,1.9123429761508643,0.0
71,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,71,0.132,0.9123429761508636,0.0
72,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,72,0.136,0.9711665055626285,0.0
73,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,73,0.134,0.941754740856746,0.0
74,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,74,0.134,0.941754740856746,0.0
75,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,75,0.134,0.941754740856746,0.0
76,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,76,0.066,-0.058245259143254846,0.0
77,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,77,0.134,0.941754740856746,0.0
78,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,78,0.134,0.941754740856746,0.0
79,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,79,0.134,0.941754740856746,0.0
80,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,80,0.134,0.941754740856746,0.0
81,earthgeckoSkyline,ec2_cpu_utilization_24ae8d_adddata-240214123559,81,0.132,0.9123429761508636,0.0
