,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,0,0.132,0.02786985795215613,0.0
1,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,1,0.134,0.0304774198817519,1.0
2,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,2,0.134,0.0304774198817519,0.8413447460685429
3,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,3,0.134,0.0304774198817519,0.7602499389065229
4,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,4,0.134,0.0304774198817519,0.7181485691746134
5,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,5,0.134,0.0304774198817519,0.6914624612740126
6,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,6,0.134,0.0304774198817519,0.6726395769907119
7,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,7,0.134,0.0304774198817519,0.6584543008451961
8,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,8,0.066,-0.05817968572450616,1.0
9,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,9,0.132,0.02786985795215613,0.6068989649947655
10,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,10,0.134,0.0304774198817519,0.6387030959042641
11,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,11,0.066,-0.05817968572450616,0.9992107335367018
12,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,12,0.132,0.02786985795215613,0.649341350969729
13,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,13,0.2019999999999999,0.11913452548800996,0.9994044409239078
14,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,14,0.068,-0.05557212379491039,0.9747499363207076
15,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,15,0.134,0.0304774198817519,0.6094118827256201
16,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,16,0.132,0.02786985795215613,0.5819908723718121
17,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,17,0.134,0.0304774198817519,0.6039923926147137
18,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,18,0.134,0.0304774198817519,0.6009363931773274
19,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,19,0.136,0.03308498181134778,0.623629907156146
20,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,20,0.132,0.02786985795215613,0.5675588480861519
21,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,21,0.134,0.0304774198817519,0.5931459760533349
22,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,22,0.134,0.0304774198817519,0.5909297459447169
23,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,23,0.066,-0.05817968572450616,0.9877569278818585
24,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,24,0.134,0.0304774198817519,0.6162067057865657
25,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,25,0.134,0.0304774198817519,0.6137314035617683
26,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,26,0.066,-0.05817968572450616,0.9821143210204072
27,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,27,0.134,0.0304774198817519,0.633391791941129
28,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,28,0.134,0.0304774198817519,0.6308162329606682
29,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,29,0.134,0.0304774198817519,0.6283842461576884
30,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,30,0.132,0.02786985795215613,0.5995215498594377
31,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,31,0.136,0.03308498181134778,0.6512437581714047
32,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,32,0.134,0.0304774198817519,0.6218099045804444
33,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,33,0.134,0.0304774198817519,0.6198384190984638
34,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,34,0.132,0.02786985795215613,0.5896770006566153
35,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,35,0.132,0.02786985795215613,0.5883443334128794
36,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,36,0.134,0.0304774198817519,0.6161732480558351
37,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,37,0.134,0.0304774198817519,0.6145059241685628
38,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,38,0.066,-0.05817968572450616,0.9904111644722662
39,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,39,0.134,0.0304774198817519,0.6289646844768456
40,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,40,0.134,0.0304774198817519,0.6272329131027533
41,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,41,0.2019999999999999,0.11913452548800996,0.9979495054545376
42,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,42,0.134,0.0304774198817519,0.5921274233043232
43,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,43,0.134,0.0304774198817519,0.5910124627931451
44,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,44,0.134,0.0304774198817519,0.5899370227021183
45,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,45,0.068,-0.05557212379491039,0.9839011500649512
46,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,46,0.132,0.02786985795215613,0.5762850740274386
47,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,47,0.134,0.0304774198817519,0.6026180130485831
48,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,48,0.134,0.0304774198817519,0.6014971461097065
49,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,49,0.134,0.0304774198817519,0.6004122164700003
50,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,50,0.134,0.0304774198817519,0.5993613442654708
51,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,51,0.134,0.0304774198817519,0.5983427844567201
52,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,52,0.134,0.0304774198817519,0.5973549146481727
53,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,53,0.134,0.0304774198817519,0.596396224225641
54,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,54,0.066,-0.05817968572450616,0.9890870195505042
55,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,55,0.134,0.0304774198817519,0.6076396942414453
56,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,56,0.134,0.0304774198817519,0.6066284546657383
57,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,57,0.134,0.0304774198817519,0.6056451840264387
58,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,58,0.066,-0.05817968572450616,0.9874421132509936
59,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,59,0.132,0.02786985795215613,0.5880335641101508
60,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,60,0.134,0.0304774198817519,0.6150290005091739
61,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,61,0.2,0.11652696355841419,0.9963301545957676
62,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,62,0.132,0.02786985795215613,0.5659963798248202
63,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,63,0.134,0.0304774198817519,0.592710522543884
64,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,64,0.136,0.03308498181134778,0.618977955908284
65,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,65,0.132,0.02786985795215613,0.563097288235658
66,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,66,0.066,-0.05817968572450616,0.9858567529056627
67,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,67,0.134,0.9418203142754947,1.0
68,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,68,0.134,0.9418203142754947,0.9999999999999957
69,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,69,0.134,0.9418203142754947,0.9999999908975595
70,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,70,0.2,1.912408549569613,1.0
71,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,71,0.132,0.9124085495696123,0.9978976162527005
72,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,72,0.136,0.9712320789813772,0.9980604666081979
73,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,73,0.134,0.9418203142754947,0.9956574848259225
74,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,74,0.134,0.9418203142754947,0.9936665294015125
75,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,75,0.134,0.9418203142754947,0.9913362984831681
76,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,76,0.066,-0.05817968572450616,0.716806712007388
77,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,77,0.134,0.9418203142754947,0.9892216616466105
78,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,78,0.134,0.9418203142754947,0.9864379798886254
79,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,79,0.134,0.9418203142754947,0.9834485500715404
80,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,80,0.134,0.9418203142754947,0.9802924460802813
81,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,81,0.132,0.9124085495696123,0.9724740173800611
82,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,82,0.066,-0.05817968572450616,0.7376565249947554
83,windowedGaussian,ec2_cpu_utilization_24ae8d_adddata-240214123559,83,0.134,0.9418203142754947,0.9747603859305294
