,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,contextOSE,ec2_cpu_utilization_24ae8d_adddata-240214123559,0,0.132,0.02791098920975066,0.0
1,contextOSE,ec2_cpu_utilization_24ae8d_adddata-240214123559,1,0.134,0.030518551139346428,0.0
2,contextOSE,ec2_cpu_utilization_24ae8d_adddata-240214123559,2,0.134,0.030518551139346428,0.0
3,contextOSE,ec2_cpu_utilization_24ae8d_adddata-240214123559,3,0.134,0.030518551139346428,0.0
4,contextOSE,ec2_cpu_utilization_24ae8d_adddata-240214123559,4,0.134,0.030518551139346428,0.0
5,contextOSE,ec2_cpu_utilization_24ae8d_adddata-240214123559,5,0.134,0.030518551139346428,0.0
6,contextOSE,ec2_cpu_utilization_24ae8d_adddata-240214123559,6,0.134,0.030518551139346428,0.0
7,contextOSE,ec2_cpu_utilization_24ae8d_adddata-240214123559,7,0.134,0.030518551139346428,0.0
8,contextOSE,ec2_cpu_utilization_24ae8d_adddata-240214123559,8,0.066,-0.05813855446691163,0.0
9,contextOSE,ec2_cpu_utilization_24ae8d_adddata-240214123559,9,0.132,0.02791098920975066,0.0
10,contextOSE,ec2_cpu_utilization_24ae8d_adddata-240214123559,10,0.134,0.030518551139346428,0.0
11,contextOSE,ec2_cpu_utilization_24ae8d_adddata-240214123559,11,0.066,-0.05813855446691163,0.0
12,contextOSE,ec2_cpu_utilization_24ae8d_adddata-240214123559,12,0.132,0.02791098920975066,0.0
13,contextOSE,ec2_cpu_utilization_24ae8d_adddata-240214123559,13,0.2019999999999999,0.11917565674560449,0.0
14,contextOSE,ec2_cpu_utilization_24ae8d_adddata-240214123559,14,0.068,-0.05553099253731586,0.0
15,contextOSE,ec2_cpu_utilization_24ae8d_adddata-240214123559,15,0.134,0.030518551139346428,0.0
16,contextOSE,ec2_cpu_utilization_24ae8d_adddata-240214123559,16,0.132,0.02791098920975066,0.0
17,contextOSE,ec2_cpu_utilization_24ae8d_adddata-240214123559,17,0.134,0.030518551139346428,0.0
18,contextOSE,ec2_cpu_utilization_24ae8d_adddata-240214123559,18,0.134,0.030518551139346428,0.0
19,contextOSE,ec2_cpu_utilization_24ae8d_adddata-240214123559,19,0.136,0.03312611306894231,0.0
20,contextOSE,ec2_cpu_utilization_24ae8d_adddata-240214123559,20,0.132,0.02791098920975066,0.0
21,contextOSE,ec2_cpu_utilization_24ae8d_adddata-240214123559,21,0.134,0.030518551139346428,0.0
