,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,0,0.132,0.027982938229669463,0.0
1,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,1,0.134,0.030590500159265233,0.0
2,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,2,0.134,0.030590500159265233,0.0
3,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,3,0.134,0.030590500159265233,0.0
4,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,4,0.134,0.030590500159265233,0.0
5,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,5,0.134,0.030590500159265233,0.0
6,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,6,0.134,0.030590500159265233,0.0
7,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,7,0.134,0.030590500159265233,0.0
8,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,8,0.066,-0.058066605446992825,0.0
9,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,9,0.132,0.027982938229669463,0.0
10,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,10,0.134,0.030590500159265233,0.0
11,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,11,0.066,-0.058066605446992825,0.0
12,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,12,0.132,0.027982938229669463,0.0
13,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,13,0.2019999999999999,0.11924760576552329,0.0
14,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,14,0.068,-0.055459043517397055,0.0
15,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,15,0.134,0.030590500159265233,0.0
16,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,16,0.132,0.027982938229669463,0.0
17,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,17,0.134,0.030590500159265233,0.0
18,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,18,0.134,0.030590500159265233,0.0
19,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,19,0.136,0.03319806208886111,0.0
20,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,20,0.132,0.027982938229669463,0.0
21,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,21,0.134,0.030590500159265233,0.0
22,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,22,0.134,0.030590500159265233,0.0
23,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,23,0.066,-0.058066605446992825,0.0
24,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,24,0.134,0.030590500159265233,0.0
25,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,25,0.134,0.030590500159265233,0.0
26,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,26,0.066,-0.058066605446992825,0.0
27,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,27,0.134,0.030590500159265233,0.0
28,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,28,0.134,0.030590500159265233,0.0
29,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,29,0.134,0.030590500159265233,0.0
30,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,30,0.132,0.027982938229669463,0.0
31,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,31,0.136,0.03319806208886111,0.0
32,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,32,0.134,0.030590500159265233,0.0
33,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,33,0.134,0.030590500159265233,0.0
34,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,34,0.132,0.027982938229669463,0.0
35,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,35,0.132,0.027982938229669463,0.0
36,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,36,0.134,0.030590500159265233,0.0
37,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,37,0.134,0.030590500159265233,0.0
38,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,38,0.066,-0.058066605446992825,0.0
39,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,39,0.134,0.030590500159265233,0.0
40,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,40,0.134,0.030590500159265233,0.0
41,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,41,0.2019999999999999,0.11924760576552329,0.0
42,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,42,0.134,0.030590500159265233,0.0
43,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,43,0.134,0.030590500159265233,0.0
44,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,44,0.134,0.030590500159265233,0.0
45,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,45,0.068,-0.055459043517397055,0.0
46,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,46,0.132,0.027982938229669463,0.0
47,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,47,0.134,0.030590500159265233,0.0
48,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,48,0.134,0.030590500159265233,0.0
49,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,49,0.134,0.030590500159265233,0.0
50,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,50,0.134,0.030590500159265233,0.0
51,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,51,0.134,0.030590500159265233,0.0
52,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,52,0.134,0.030590500159265233,0.0
53,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,53,0.134,0.030590500159265233,0.0
54,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,54,0.066,-0.058066605446992825,0.0
55,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,55,0.134,0.030590500159265233,0.0
56,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,56,0.134,0.030590500159265233,0.0
57,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,57,0.134,0.030590500159265233,0.0
58,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,58,0.066,-0.058066605446992825,0.0
59,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,59,0.132,0.027982938229669463,0.0
60,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,60,0.134,0.030590500159265233,0.0
61,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,61,0.2,0.11664004383592752,0.0
62,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,62,0.132,0.027982938229669463,0.0
63,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,63,0.134,0.030590500159265233,0.0
64,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,64,0.136,0.03319806208886111,0.0
65,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,65,0.132,0.027982938229669463,0.0
66,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,66,0.066,-0.058066605446992825,0.0
67,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,67,0.134,0.9419333945530081,1.0
68,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,68,0.134,0.9419333945530081,0.0
69,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,69,0.134,0.9419333945530081,0.0
70,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,70,0.2,1.9125216298471264,1.0
71,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,71,0.132,0.9125216298471256,0.0
72,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,72,0.136,0.9713451592588905,0.0
73,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,73,0.134,0.9419333945530081,0.0
74,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,74,0.134,0.9419333945530081,0.0
75,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,75,0.134,0.9419333945530081,0.0
76,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,76,0.066,-0.058066605446992825,0.0
77,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,77,0.134,0.9419333945530081,0.0
78,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,78,0.134,0.9419333945530081,0.0
79,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,79,0.134,0.9419333945530081,1.0
80,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,80,0.134,0.9419333945530081,0.0
81,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,81,0.132,0.9125216298471256,0.0
82,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,82,0.066,-0.058066605446992825,0.0
83,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,83,0.134,0.9419333945530081,0.0
84,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,84,0.132,0.9125216298471256,0.0
85,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,85,0.134,0.9419333945530081,0.0
86,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,86,0.132,0.9125216298471256,0.0
87,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,87,0.066,-0.058066605446992825,0.0
88,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,88,0.134,0.9419333945530081,0.0
89,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,89,0.132,0.9125216298471256,0.0
90,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,90,0.134,0.9419333945530081,0.0
91,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,91,0.134,0.9419333945530081,0.0
92,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,92,0.066,-0.058066605446992825,0.0
93,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,93,0.134,0.9419333945530081,0.0
94,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,94,0.132,0.9125216298471256,1.0
95,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,95,0.134,0.9419333945530081,0.0
96,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,96,0.132,0.9125216298471256,0.0
97,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,97,0.068,-0.028654840741110355,0.0
98,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,98,0.132,0.9125216298471256,0.0
99,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,99,0.132,0.9125216298471256,0.0
100,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,100,0.134,0.9419333945530081,0.0
101,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,101,0.132,0.9125216298471256,0.0
102,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,102,0.134,0.9419333945530081,0.0
103,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,103,0.134,0.9419333945530081,0.0
104,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,104,0.134,0.9419333945530081,0.0
105,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,105,0.066,-0.058066605446992825,0.0
106,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,106,0.132,0.9125216298471256,0.0
107,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,107,0.132,0.9125216298471256,0.0
108,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,108,0.066,-0.058066605446992825,0.0
109,relativeEntropy,ec2_cpu_utilization_24ae8d_adddata-240214123559,109,0.136,0.9713451592588905,0.0
