,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,0,251643.0,0.8657814125534073,1.0
1,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,1,3203510.0,1.9983133117414285,1.0
2,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,2,287397.0,0.04968989134488966,1.0
3,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,3,238944.0,0.01731232209826805,1.0
4,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,4,245880.0,0.0219471397626968,1.0
5,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,5,234170.0,0.01412220970928546,1.0
6,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,6,255797.0,0.028573940047895707,1.0
7,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,7,244002.0,0.020692210758400775,1.0
8,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,8,514385.0,0.2013692442879922,1.0
9,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,9,270883.0,0.038654802113289755,1.0
10,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,10,249887.0,0.024624722574312363,1.0
11,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,11,3201940.0,1.9972641964396474,1.0
12,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,12,280638.0,0.045173349736776336,1.0
13,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,13,3231740.0,1.9983133117414285,1.0
14,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,14,223158.0,0.006684742166407909,1.0
15,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,15,242568.0,0.01953382207696075,1.0
16,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,16,221907.0,0.0058566020856195555,1.0
17,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,17,248537.0,0.022903274851517552,1.0
18,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,18,223433.0,0.0062799697777145,1.0
19,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,19,247310.0,0.022090783004578562,1.0
20,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,20,224771.0,0.007165963332078307,1.0
21,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,21,223668.0,0.006435581500640941,1.0
22,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,22,240044.0,0.01727940096720393,1.0
23,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,23,3221290.0,1.9913935564027876,1.0
24,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,24,235606.0,0.01434065702530074,1.0
25,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,25,3202800.0,1.9791498936074319,1.0
26,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,26,244192.0,0.0200261134212405,1.0
27,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,27,231729.0,0.011773394685787753,1.0
28,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,28,251450.0,0.0248321980382602,1.0
29,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,29,219342.0,0.0035710014437069226,1.0
30,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,30,241032.0,0.017933632381039066,1.0
31,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,31,219744.0,0.0038371968165425985,1.0
32,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,32,232511.0,0.012291217525483122,1.0
33,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,33,237811.0,0.01580075851063123,1.0
34,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,34,226034.0,0.00800229357061455,1.0
35,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,35,3220170.0,1.9906519175530961,1.0
36,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,36,228654.0,0.009737198736857522,1.0
37,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,37,3227830.0,1.9957241975429516,1.0
38,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,38,256906.0,0.028445038720329552,1.0
39,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,39,216462.0,0.0016639301159283582,1.0
40,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,40,238240.0,0.016084832677164873,1.0
41,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,41,233821.0,0.013158670108604609,1.0
42,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,42,239067.0,0.01663245350635678,1.0
43,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,43,229348.0,0.010196749952648632,1.0
44,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,44,233914.0,0.013220252620230855,1.0
45,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,45,245289.0,0.020752522187411748,1.0
46,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,46,3201090.0,1.978017570006563,1.0
47,AnDePeDPro,ec2_network_in_257a54_adddata-240214123609,47,249867.0,0.023783970985526315,1.0
