,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,0,251643.0,0.8657807477325304,0.0
1,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,1,3203510.0,1.9983126469205517,0.0
2,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,2,287397.0,0.04968922652401275,0.0
3,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,3,238944.0,0.017311657277391146,0.0
4,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,4,245880.0,0.021946474941819893,0.25
5,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,5,234170.0,0.014121544888408555,0.0
6,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,6,255797.0,0.028573275227018802,0.0
7,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,7,244002.0,0.02069154593752387,0.0
8,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,8,514385.0,0.20136857946711528,0.0
9,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,9,270883.0,0.03865413729241285,0.0
10,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,10,249887.0,0.024624057753435458,0.0
11,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,11,3201940.0,1.9972635316187706,0.8888888888888888
12,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,12,280638.0,0.04517268491589943,0.0
13,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,13,3231740.0,1.9983126469205517,0.0
14,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,14,223158.0,0.006684077345531003,0.0
15,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,15,242568.0,0.019533157256083844,0.0
16,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,16,221907.0,0.00585593726474265,0.4
17,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,17,248537.0,0.022902610030640647,0.0
18,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,18,223433.0,0.006279304956837595,0.0
19,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,19,247310.0,0.022090118183701657,0.0
20,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,20,224771.0,0.007165298511201401,0.0
21,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,21,223668.0,0.006434916679764036,0.0
22,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,22,240044.0,0.017278736146327023,0.0
23,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,23,3221290.0,1.9913928915819108,0.8888888888888888
24,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,24,235606.0,0.014339992204423835,0.0
25,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,25,3202800.0,1.979149228786555,0.0
26,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,26,244192.0,0.020025448600363593,0.0
27,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,27,231729.0,0.011772729864910847,0.0
28,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,28,251450.0,0.024831533217383295,0.4
29,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,29,219342.0,0.003570336622830017,0.0
30,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,30,241032.0,0.01793296756016216,0.0
31,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,31,219744.0,0.003836531995665693,0.0
32,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,32,232511.0,0.012290552704606217,0.0
33,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,33,237811.0,0.015800093689754324,0.0
34,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,34,226034.0,0.008001628749737644,0.0
35,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,35,3220170.0,1.9906512527322193,0.8888888888888888
36,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,36,228654.0,0.009736533915980616,0.0
37,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,37,3227830.0,1.9957235327220748,0.0
38,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,38,256906.0,0.028444373899452646,0.0
39,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,39,216462.0,0.0016632652950514526,0.0
40,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,40,238240.0,0.016084167856287968,0.4
41,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,41,233821.0,0.013158005287727703,0.0
42,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,42,239067.0,0.016631788685479876,0.0
43,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,43,229348.0,0.010196085131771726,0.0
44,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,44,233914.0,0.013219587799353949,0.0
45,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,45,245289.0,0.020751857366534843,0.0
46,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,46,3201090.0,1.9780169051856862,0.875
47,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,47,249867.0,0.02378330616464941,0.0
48,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,48,3207780.0,1.9824468729575053,0.0
49,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,49,241860.0,0.01848125056689842,0.0
50,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,50,220347.0,0.004235825054919373,0.0
51,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,51,244003.0,0.019900297044478155,0.4
52,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,52,3223880.0,1.993107931421823,0.0
53,bayesChangePt,ec2_network_in_257a54_adddata-240214123609,53,1046040.0,0.5509911881963956,0.0
