,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,contextOSE,ec2_network_in_257a54_adddata-240214123609,0,251643.0,0.8657844526116717,0.0
1,contextOSE,ec2_network_in_257a54_adddata-240214123609,1,3203510.0,1.998316351799693,0.0
2,contextOSE,ec2_network_in_257a54_adddata-240214123609,2,287397.0,0.049692931403154006,0.0
3,contextOSE,ec2_network_in_257a54_adddata-240214123609,3,238944.0,0.0173153621565324,0.0
4,contextOSE,ec2_network_in_257a54_adddata-240214123609,4,245880.0,0.021950179820961147,0.0
5,contextOSE,ec2_network_in_257a54_adddata-240214123609,5,234170.0,0.014125249767549808,0.0
6,contextOSE,ec2_network_in_257a54_adddata-240214123609,6,255797.0,0.028576980106160055,0.0
7,contextOSE,ec2_network_in_257a54_adddata-240214123609,7,244002.0,0.020695250816665123,0.0
8,contextOSE,ec2_network_in_257a54_adddata-240214123609,8,514385.0,0.20137228434625654,0.0
9,contextOSE,ec2_network_in_257a54_adddata-240214123609,9,270883.0,0.0386578421715541,0.0
10,contextOSE,ec2_network_in_257a54_adddata-240214123609,10,249887.0,0.02462776263257671,0.0
11,contextOSE,ec2_network_in_257a54_adddata-240214123609,11,3201940.0,1.9972672364979118,0.0
12,contextOSE,ec2_network_in_257a54_adddata-240214123609,12,280638.0,0.04517638979504068,0.0
13,contextOSE,ec2_network_in_257a54_adddata-240214123609,13,3231740.0,1.998316351799693,0.0
14,contextOSE,ec2_network_in_257a54_adddata-240214123609,14,223158.0,0.006687782224672256,0.0
15,contextOSE,ec2_network_in_257a54_adddata-240214123609,15,242568.0,0.019536862135225097,0.0
16,contextOSE,ec2_network_in_257a54_adddata-240214123609,16,221907.0,0.005859642143883903,0.0
17,contextOSE,ec2_network_in_257a54_adddata-240214123609,17,248537.0,0.0229063149097819,0.0
18,contextOSE,ec2_network_in_257a54_adddata-240214123609,18,223433.0,0.006283009835978848,0.0
19,contextOSE,ec2_network_in_257a54_adddata-240214123609,19,247310.0,0.02209382306284291,0.0
20,contextOSE,ec2_network_in_257a54_adddata-240214123609,20,224771.0,0.007169003390342654,0.0
21,contextOSE,ec2_network_in_257a54_adddata-240214123609,21,223668.0,0.006438621558905289,0.0
22,contextOSE,ec2_network_in_257a54_adddata-240214123609,22,240044.0,0.017282441025468276,0.0
23,contextOSE,ec2_network_in_257a54_adddata-240214123609,23,3221290.0,1.991396596461052,0.0
24,contextOSE,ec2_network_in_257a54_adddata-240214123609,24,235606.0,0.014343697083565088,0.0
25,contextOSE,ec2_network_in_257a54_adddata-240214123609,25,3202800.0,1.9791529336656963,0.0
26,contextOSE,ec2_network_in_257a54_adddata-240214123609,26,244192.0,0.020029153479504846,0.0
27,contextOSE,ec2_network_in_257a54_adddata-240214123609,27,231729.0,0.0117764347440521,0.0
28,contextOSE,ec2_network_in_257a54_adddata-240214123609,28,251450.0,0.024835238096524548,0.0
29,contextOSE,ec2_network_in_257a54_adddata-240214123609,29,219342.0,0.00357404150197127,0.0
30,contextOSE,ec2_network_in_257a54_adddata-240214123609,30,241032.0,0.017936672439303414,0.0
31,contextOSE,ec2_network_in_257a54_adddata-240214123609,31,219744.0,0.003840236874806946,0.0
32,contextOSE,ec2_network_in_257a54_adddata-240214123609,32,232511.0,0.01229425758374747,0.0
33,contextOSE,ec2_network_in_257a54_adddata-240214123609,33,237811.0,0.015803798568895577,0.0
34,contextOSE,ec2_network_in_257a54_adddata-240214123609,34,226034.0,0.008005333628878897,0.0
