,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,0,251643.0,0.8657877549480849,0.0
1,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,1,3203510.0,1.9983196541361061,0.0
2,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,2,287397.0,0.04969623373956722,0.0
3,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,3,238944.0,0.017318664492945612,0.0
4,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,4,245880.0,0.02195348215737436,0.0
5,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,5,234170.0,0.014128552103963021,0.0
6,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,6,255797.0,0.028580282442573268,0.0
7,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,7,244002.0,0.020698553153078336,0.0
8,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,8,514385.0,0.20137558668266975,0.0
9,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,9,270883.0,0.038661144507967315,0.0
10,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,10,249887.0,0.024631064968989924,0.0
11,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,11,3201940.0,1.997270538834325,0.0
12,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,12,280638.0,0.0451796921314539,0.0
13,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,13,3231740.0,1.9983196541361061,0.0
14,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,14,223158.0,0.00669108456108547,0.0
15,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,15,242568.0,0.01954016447163831,0.0
16,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,16,221907.0,0.0058629444802971165,0.0
17,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,17,248537.0,0.022909617246195113,0.0
18,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,18,223433.0,0.006286312172392061,0.0
19,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,19,247310.0,0.022097125399256123,0.0
20,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,20,224771.0,0.007172305726755868,0.0
21,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,21,223668.0,0.006441923895318502,0.0
22,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,22,240044.0,0.01728574336188149,0.0
23,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,23,3221290.0,1.9913998987974653,0.0
24,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,24,235606.0,0.014346999419978301,0.0
25,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,25,3202800.0,1.9791562360021095,0.0
26,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,26,244192.0,0.02003245581591806,0.0
27,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,27,231729.0,0.011779737080465313,0.0
28,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,28,251450.0,0.02483854043293776,0.0
29,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,29,219342.0,0.0035773438383844836,0.0
30,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,30,241032.0,0.017939974775716627,0.0
31,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,31,219744.0,0.0038435392112201594,0.0
32,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,32,232511.0,0.012297559920160683,0.0
33,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,33,237811.0,0.01580710090530879,0.0
34,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,34,226034.0,0.00800863596529211,0.0
35,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,35,3220170.0,1.9906582599477738,0.0
36,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,36,228654.0,0.009743541131535083,0.0
37,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,37,3227830.0,1.9957305399376293,0.0
38,earthgeckoSkyline,ec2_network_in_257a54_adddata-240214123609,38,256906.0,0.028451381115007113,0.0
