,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,knncad,ec2_network_in_257a54_adddata-240214123609,0,251643.0,0.8657843807027653,0.0
1,knncad,ec2_network_in_257a54_adddata-240214123609,1,3203510.0,1.9983162798907865,0.0
2,knncad,ec2_network_in_257a54_adddata-240214123609,2,287397.0,0.04969285949424762,0.0
3,knncad,ec2_network_in_257a54_adddata-240214123609,3,238944.0,0.017315290247626014,0.0
4,knncad,ec2_network_in_257a54_adddata-240214123609,4,245880.0,0.02195010791205476,0.0
5,knncad,ec2_network_in_257a54_adddata-240214123609,5,234170.0,0.014125177858643423,0.0
6,knncad,ec2_network_in_257a54_adddata-240214123609,6,255797.0,0.02857690819725367,0.0
7,knncad,ec2_network_in_257a54_adddata-240214123609,7,244002.0,0.020695178907758738,0.0
8,knncad,ec2_network_in_257a54_adddata-240214123609,8,514385.0,0.20137221243735015,0.0
9,knncad,ec2_network_in_257a54_adddata-240214123609,9,270883.0,0.03865777026264772,0.0
10,knncad,ec2_network_in_257a54_adddata-240214123609,10,249887.0,0.024627690723670326,0.0
11,knncad,ec2_network_in_257a54_adddata-240214123609,11,3201940.0,1.9972671645890054,0.0
12,knncad,ec2_network_in_257a54_adddata-240214123609,12,280638.0,0.0451763178861343,0.0
13,knncad,ec2_network_in_257a54_adddata-240214123609,13,3231740.0,1.9983162798907865,0.0
14,knncad,ec2_network_in_257a54_adddata-240214123609,14,223158.0,0.006687710315765871,0.0
15,knncad,ec2_network_in_257a54_adddata-240214123609,15,242568.0,0.019536790226318712,0.0
16,knncad,ec2_network_in_257a54_adddata-240214123609,16,221907.0,0.005859570234977518,0.0
17,knncad,ec2_network_in_257a54_adddata-240214123609,17,248537.0,0.022906243000875515,0.0
18,knncad,ec2_network_in_257a54_adddata-240214123609,18,223433.0,0.006282937927072463,0.0
19,knncad,ec2_network_in_257a54_adddata-240214123609,19,247310.0,0.022093751153936525,0.0
20,knncad,ec2_network_in_257a54_adddata-240214123609,20,224771.0,0.007168931481436269,0.0
21,knncad,ec2_network_in_257a54_adddata-240214123609,21,223668.0,0.006438549649998904,0.0
22,knncad,ec2_network_in_257a54_adddata-240214123609,22,240044.0,0.01728236911656189,0.0
23,knncad,ec2_network_in_257a54_adddata-240214123609,23,3221290.0,1.9913965245521457,0.0
24,knncad,ec2_network_in_257a54_adddata-240214123609,24,235606.0,0.014343625174658703,0.0
25,knncad,ec2_network_in_257a54_adddata-240214123609,25,3202800.0,1.97915286175679,0.0
26,knncad,ec2_network_in_257a54_adddata-240214123609,26,244192.0,0.02002908157059846,0.0
27,knncad,ec2_network_in_257a54_adddata-240214123609,27,231729.0,0.011776362835145715,0.0
28,knncad,ec2_network_in_257a54_adddata-240214123609,28,251450.0,0.024835166187618163,0.0
29,knncad,ec2_network_in_257a54_adddata-240214123609,29,219342.0,0.003573969593064885,0.0
30,knncad,ec2_network_in_257a54_adddata-240214123609,30,241032.0,0.01793660053039703,0.0
31,knncad,ec2_network_in_257a54_adddata-240214123609,31,219744.0,0.003840164965900561,0.0
32,knncad,ec2_network_in_257a54_adddata-240214123609,32,232511.0,0.012294185674841085,0.0
33,knncad,ec2_network_in_257a54_adddata-240214123609,33,237811.0,0.015803726659989192,0.0
34,knncad,ec2_network_in_257a54_adddata-240214123609,34,226034.0,0.008005261719972512,0.0
35,knncad,ec2_network_in_257a54_adddata-240214123609,35,3220170.0,1.9906548857024542,0.0
36,knncad,ec2_network_in_257a54_adddata-240214123609,36,228654.0,0.009740166886215484,0.0
37,knncad,ec2_network_in_257a54_adddata-240214123609,37,3227830.0,1.9957271656923097,0.0
38,knncad,ec2_network_in_257a54_adddata-240214123609,38,256906.0,0.028448006869687514,0.0
39,knncad,ec2_network_in_257a54_adddata-240214123609,39,216462.0,0.0016668982652863207,0.0
40,knncad,ec2_network_in_257a54_adddata-240214123609,40,238240.0,0.016087800826522836,0.0
41,knncad,ec2_network_in_257a54_adddata-240214123609,41,233821.0,0.013161638257962571,0.0
42,knncad,ec2_network_in_257a54_adddata-240214123609,42,239067.0,0.016635421655714744,0.0
43,knncad,ec2_network_in_257a54_adddata-240214123609,43,229348.0,0.010199718102006594,0.0
44,knncad,ec2_network_in_257a54_adddata-240214123609,44,233914.0,0.013223220769588817,0.0
45,knncad,ec2_network_in_257a54_adddata-240214123609,45,245289.0,0.02075549033676971,0.0
46,knncad,ec2_network_in_257a54_adddata-240214123609,46,3201090.0,1.978020538155921,0.0
47,knncad,ec2_network_in_257a54_adddata-240214123609,47,249867.0,0.023786939134884277,0.0
48,knncad,ec2_network_in_257a54_adddata-240214123609,48,3207780.0,1.9824505059277402,0.0
49,knncad,ec2_network_in_257a54_adddata-240214123609,49,241860.0,0.01848488353713329,0.0
50,knncad,ec2_network_in_257a54_adddata-240214123609,50,220347.0,0.004239458025154241,0.0
51,knncad,ec2_network_in_257a54_adddata-240214123609,51,244003.0,0.019903930014713023,0.0
52,knncad,ec2_network_in_257a54_adddata-240214123609,52,3223880.0,1.9931115643920578,0.0
53,knncad,ec2_network_in_257a54_adddata-240214123609,53,1046040.0,0.5509948211666305,0.0
54,knncad,ec2_network_in_257a54_adddata-240214123609,54,1477550.0,0.8367310533366724,0.0
55,knncad,ec2_network_in_257a54_adddata-240214123609,55,239252.0,0.016757924501422772,0.0
56,knncad,ec2_network_in_257a54_adddata-240214123609,56,245477.0,0.020879979715110797,0.0
57,knncad,ec2_network_in_257a54_adddata-240214123609,57,233018.0,0.012629909689835461,0.0
58,knncad,ec2_network_in_257a54_adddata-240214123609,58,3213870.0,1.9864831671729384,0.0
59,knncad,ec2_network_in_257a54_adddata-240214123609,59,241929.0,0.018530573787694737,0.0
60,knncad,ec2_network_in_257a54_adddata-240214123609,60,3208820.0,1.9831391705738826,0.0
61,knncad,ec2_network_in_257a54_adddata-240214123609,61,236597.0,0.014999843121126899,0.0
62,knncad,ec2_network_in_257a54_adddata-240214123609,62,239443.0,0.016884400412397027,0.0
63,knncad,ec2_network_in_257a54_adddata-240214123609,63,244422.0,0.020181382405803028,0.0
64,knncad,ec2_network_in_257a54_adddata-240214123609,64,225751.0,0.007817865474916474,0.0
65,knncad,ec2_network_in_257a54_adddata-240214123609,65,250915.0,0.024480901201381466,0.0
66,knncad,ec2_network_in_257a54_adddata-240214123609,66,223452.0,0.0062955193004154975,0.0
67,knncad,ec2_network_in_257a54_adddata-240214123609,67,248468.0,0.022860552750314178,0.0
68,knncad,ec2_network_in_257a54_adddata-240214123609,68,223264.0,0.006171029922074411,0.0
69,knncad,ec2_network_in_257a54_adddata-240214123609,69,248395.0,0.02281221378957532,0.0
70,knncad,ec2_network_in_257a54_adddata-240214123609,70,3213880.0,1.9864897889483824,0.0
71,knncad,ec2_network_in_257a54_adddata-240214123609,71,252731.0,0.025683415621952976,0.0
72,knncad,ec2_network_in_257a54_adddata-240214123609,72,3197710.0,1.9757823780559591,0.0
73,knncad,ec2_network_in_257a54_adddata-240214123609,73,244921.0,0.02051180900044247,0.0
74,knncad,ec2_network_in_257a54_adddata-240214123609,74,236245.0,0.014766756625509525,0.0
75,knncad,ec2_network_in_257a54_adddata-240214123609,75,241661.0,0.018353110205804213,0.0
76,knncad,ec2_network_in_257a54_adddata-240214123609,76,239502.0,0.016923468887514725,0.0
77,knncad,ec2_network_in_257a54_adddata-240214123609,77,226975.0,0.008628370789222406,0.0
78,knncad,ec2_network_in_257a54_adddata-240214123609,78,236693.0,0.015063412165386203,0.0
79,knncad,ec2_network_in_257a54_adddata-240214123609,79,227811.0,0.0091819512163136,0.0
80,knncad,ec2_network_in_257a54_adddata-240214123609,80,252527.0,0.025548331402902025,0.0
81,knncad,ec2_network_in_257a54_adddata-240214123609,81,246855.0,0.021792460371249267,0.0
82,knncad,ec2_network_in_257a54_adddata-240214123609,82,3304330.0,1.9983162798907865,0.0
83,knncad,ec2_network_in_257a54_adddata-240214123609,83,247814.0,0.021861606519793075,0.0
84,knncad,ec2_network_in_257a54_adddata-240214123609,84,3344340.0,1.9983162798907865,0.0
85,knncad,ec2_network_in_257a54_adddata-240214123609,85,162030.0,-0.0016837201092135823,0.0
86,knncad,ec2_network_in_257a54_adddata-240214123609,86,231891.0,0.042222121873497054,0.0
87,knncad,ec2_network_in_257a54_adddata-240214123609,87,245066.0,0.05050227057051282,0.0
88,knncad,ec2_network_in_257a54_adddata-240214123609,88,215014.0,0.03161536137561971,0.0
89,knncad,ec2_network_in_257a54_adddata-240214123609,89,256753.0,0.05784724953233611,0.0
90,knncad,ec2_network_in_257a54_adddata-240214123609,90,214400.0,0.031229478164995994,0.0
91,knncad,ec2_network_in_257a54_adddata-240214123609,91,252184.0,0.05497575052689663,0.0
92,knncad,ec2_network_in_257a54_adddata-240214123609,92,227100.0,0.03921110157692009,0.0
93,knncad,ec2_network_in_257a54_adddata-240214123609,93,257610.0,0.05838585199406987,0.0
94,knncad,ec2_network_in_257a54_adddata-240214123609,94,3244530.0,1.9355882615644764,0.0
95,knncad,ec2_network_in_257a54_adddata-240214123609,95,226090.0,0.03857634254967257,0.0
96,knncad,ec2_network_in_257a54_adddata-240214123609,96,3223170.0,1.9221640508496183,0.0
97,knncad,ec2_network_in_257a54_adddata-240214123609,97,243799.0,0.04970599365217354,0.0
98,knncad,ec2_network_in_257a54_adddata-240214123609,98,223899.0,0.0371993553925446,0.0
99,knncad,ec2_network_in_257a54_adddata-240214123609,99,242690.0,0.049009015670770095,0.0
100,knncad,ec2_network_in_257a54_adddata-240214123609,100,243337.0,0.049415638532779194,0.0
101,knncad,ec2_network_in_257a54_adddata-240214123609,101,237122.0,0.045509670855211626,0.0
