,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,windowedGaussian,ec2_network_in_257a54_adddata-240214123609,0,251643.0,0.8657830002360123,0.0
1,windowedGaussian,ec2_network_in_257a54_adddata-240214123609,1,3203510.0,1.9983148994240334,1.0
2,windowedGaussian,ec2_network_in_257a54_adddata-240214123609,2,287397.0,0.0496914790274946,0.9926803348851075
3,windowedGaussian,ec2_network_in_257a54_adddata-240214123609,3,238944.0,0.017313909780872994,0.8837439022565493
4,windowedGaussian,ec2_network_in_257a54_adddata-240214123609,4,245880.0,0.02194872744530174,0.8111253424980753
5,windowedGaussian,ec2_network_in_257a54_adddata-240214123609,5,234170.0,0.014123797391890403,0.771560029415345
6,windowedGaussian,ec2_network_in_257a54_adddata-240214123609,6,255797.0,0.02857552773050065,0.7357530139510727
7,windowedGaussian,ec2_network_in_257a54_adddata-240214123609,7,244002.0,0.020693798441005717,0.7186603627735912
8,windowedGaussian,ec2_network_in_257a54_adddata-240214123609,8,514385.0,0.20137083197059713,0.6031566672235937
9,windowedGaussian,ec2_network_in_257a54_adddata-240214123609,9,270883.0,0.0386563897958947,0.6920180039458842
10,windowedGaussian,ec2_network_in_257a54_adddata-240214123609,10,249887.0,0.024626310256917305,0.6889722638747038
11,windowedGaussian,ec2_network_in_257a54_adddata-240214123609,11,3201940.0,1.9972657841222523,0.9980508495673704
12,windowedGaussian,ec2_network_in_257a54_adddata-240214123609,12,280638.0,0.04517493741938128,0.7047247162548854
13,windowedGaussian,ec2_network_in_257a54_adddata-240214123609,13,3231740.0,1.9983148994240334,0.9871134454847716
14,windowedGaussian,ec2_network_in_257a54_adddata-240214123609,14,223158.0,0.006686329849012851,0.7408307969613488
15,windowedGaussian,ec2_network_in_257a54_adddata-240214123609,15,242568.0,0.01953540975956569,0.7254449830429306
16,windowedGaussian,ec2_network_in_257a54_adddata-240214123609,16,221907.0,0.005858189768224498,0.722912497002886
17,windowedGaussian,ec2_network_in_257a54_adddata-240214123609,17,248537.0,0.022904862534122494,0.7072424912016121
18,windowedGaussian,ec2_network_in_257a54_adddata-240214123609,18,223433.0,0.006281557460319442,0.7082367768841787
19,windowedGaussian,ec2_network_in_257a54_adddata-240214123609,19,247310.0,0.022092370687183505,0.6941158955589668
20,windowedGaussian,ec2_network_in_257a54_adddata-240214123609,20,224771.0,0.007167551014683249,0.6958896515160593
21,windowedGaussian,ec2_network_in_257a54_adddata-240214123609,21,223668.0,0.006437169183245883,0.6908320549397956
22,windowedGaussian,ec2_network_in_257a54_adddata-240214123609,22,240044.0,0.01728098864980887,0.680166679949331
23,windowedGaussian,ec2_network_in_257a54_adddata-240214123609,23,3221290.0,1.9913951440853925,0.9935034910956075
24,windowedGaussian,ec2_network_in_257a54_adddata-240214123609,24,235606.0,0.014342244707905683,0.6961894306181691
