,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,AnDePeDPro,ec2_cpu_utilization_53ea38_adddata-240214123601,0,1.732,-0.4328925816626628,1.0
1,AnDePeDPro,ec2_cpu_utilization_53ea38_adddata-240214123601,1,1.732,-0.4328925816626628,1.0
2,AnDePeDPro,ec2_cpu_utilization_53ea38_adddata-240214123601,2,1.96,0.12320497931294655,1.0
3,AnDePeDPro,ec2_cpu_utilization_53ea38_adddata-240214123601,3,1.732,-0.4328925816626628,1.0
4,AnDePeDPro,ec2_cpu_utilization_53ea38_adddata-240214123601,4,1.706,-0.49630721580900433,1.0
5,AnDePeDPro,ec2_cpu_utilization_53ea38_adddata-240214123601,5,1.734,-0.428014532882175,1.0
6,AnDePeDPro,ec2_cpu_utilization_53ea38_adddata-240214123601,6,1.766,-0.34996575239437006,1.0
7,AnDePeDPro,ec2_cpu_utilization_53ea38_adddata-240214123601,7,1.766,-0.34996575239437006,1.0
8,AnDePeDPro,ec2_cpu_utilization_53ea38_adddata-240214123601,8,2.026,0.28418058906904337,1.0
9,AnDePeDPro,ec2_cpu_utilization_53ea38_adddata-240214123601,9,1.7619999999999998,-0.35972184995534656,1.0
10,AnDePeDPro,ec2_cpu_utilization_53ea38_adddata-240214123601,10,1.704,-0.5011852645894921,1.0
11,AnDePeDPro,ec2_cpu_utilization_53ea38_adddata-240214123601,11,1.834,-0.18411209385778454,1.0
12,AnDePeDPro,ec2_cpu_utilization_53ea38_adddata-240214123601,12,1.832,-0.18899014263827235,1.0
13,AnDePeDPro,ec2_cpu_utilization_53ea38_adddata-240214123601,13,1.826,-0.20362428897973578,1.0
14,AnDePeDPro,ec2_cpu_utilization_53ea38_adddata-240214123601,14,1.908,-0.0036242889797364897,1.0
15,AnDePeDPro,ec2_cpu_utilization_53ea38_adddata-240214123601,15,1.798,-0.2719169719065651,1.0
16,AnDePeDPro,ec2_cpu_utilization_53ea38_adddata-240214123601,16,1.732,-0.4328925816626628,1.0
17,AnDePeDPro,ec2_cpu_utilization_53ea38_adddata-240214123601,17,1.802,-0.2621608743455895,1.0
