,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,bayesChangePt,ec2_cpu_utilization_53ea38_adddata-240214123601,0,1.732,-0.432465617224275,0.0
1,bayesChangePt,ec2_cpu_utilization_53ea38_adddata-240214123601,1,1.732,-0.432465617224275,0.0
2,bayesChangePt,ec2_cpu_utilization_53ea38_adddata-240214123601,2,1.96,0.12363194375133435,0.0
3,bayesChangePt,ec2_cpu_utilization_53ea38_adddata-240214123601,3,1.732,-0.432465617224275,0.0
4,bayesChangePt,ec2_cpu_utilization_53ea38_adddata-240214123601,4,1.706,-0.49588025137061653,0.0
5,bayesChangePt,ec2_cpu_utilization_53ea38_adddata-240214123601,5,1.734,-0.4275875684437872,0.0
6,bayesChangePt,ec2_cpu_utilization_53ea38_adddata-240214123601,6,1.766,-0.34953878795598226,0.0
7,bayesChangePt,ec2_cpu_utilization_53ea38_adddata-240214123601,7,1.766,-0.34953878795598226,0.0
8,bayesChangePt,ec2_cpu_utilization_53ea38_adddata-240214123601,8,2.026,0.28460755350743117,0.0
9,bayesChangePt,ec2_cpu_utilization_53ea38_adddata-240214123601,9,1.7619999999999998,-0.35929488551695876,0.0
10,bayesChangePt,ec2_cpu_utilization_53ea38_adddata-240214123601,10,1.704,-0.5007583001511043,0.0
11,bayesChangePt,ec2_cpu_utilization_53ea38_adddata-240214123601,11,1.834,-0.18368512941939674,0.0
12,bayesChangePt,ec2_cpu_utilization_53ea38_adddata-240214123601,12,1.832,-0.18856317819988455,0.0
13,bayesChangePt,ec2_cpu_utilization_53ea38_adddata-240214123601,13,1.826,-0.20319732454134798,0.0
14,bayesChangePt,ec2_cpu_utilization_53ea38_adddata-240214123601,14,1.908,-0.0031973245413486895,0.0
15,bayesChangePt,ec2_cpu_utilization_53ea38_adddata-240214123601,15,1.798,-0.2714900074681773,0.0
16,bayesChangePt,ec2_cpu_utilization_53ea38_adddata-240214123601,16,1.732,-0.432465617224275,0.0
17,bayesChangePt,ec2_cpu_utilization_53ea38_adddata-240214123601,17,1.802,-0.2617339099072017,0.0
18,bayesChangePt,ec2_cpu_utilization_53ea38_adddata-240214123601,18,1.764,-0.35441683673647006,0.0
