,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,contextOSE,ec2_cpu_utilization_53ea38_adddata-240214123601,0,1.732,-0.4329146937584874,0.0
1,contextOSE,ec2_cpu_utilization_53ea38_adddata-240214123601,1,1.732,-0.4329146937584874,0.0
2,contextOSE,ec2_cpu_utilization_53ea38_adddata-240214123601,2,1.96,0.12318286721712196,0.0
3,contextOSE,ec2_cpu_utilization_53ea38_adddata-240214123601,3,1.732,-0.4329146937584874,0.0
4,contextOSE,ec2_cpu_utilization_53ea38_adddata-240214123601,4,1.706,-0.4963293279048289,0.0
5,contextOSE,ec2_cpu_utilization_53ea38_adddata-240214123601,5,1.734,-0.4280366449779996,0.0
6,contextOSE,ec2_cpu_utilization_53ea38_adddata-240214123601,6,1.766,-0.34998786449019464,0.0
7,contextOSE,ec2_cpu_utilization_53ea38_adddata-240214123601,7,1.766,-0.34998786449019464,0.0
8,contextOSE,ec2_cpu_utilization_53ea38_adddata-240214123601,8,2.026,0.2841584769732188,0.0
9,contextOSE,ec2_cpu_utilization_53ea38_adddata-240214123601,9,1.7619999999999998,-0.35974396205117115,0.0
10,contextOSE,ec2_cpu_utilization_53ea38_adddata-240214123601,10,1.704,-0.5012073766853167,0.0
11,contextOSE,ec2_cpu_utilization_53ea38_adddata-240214123601,11,1.834,-0.18413420595360913,0.0
12,contextOSE,ec2_cpu_utilization_53ea38_adddata-240214123601,12,1.832,-0.18901225473409694,0.0
13,contextOSE,ec2_cpu_utilization_53ea38_adddata-240214123601,13,1.826,-0.20364640107556037,0.0
14,contextOSE,ec2_cpu_utilization_53ea38_adddata-240214123601,14,1.908,-0.0036464010755610787,0.0
15,contextOSE,ec2_cpu_utilization_53ea38_adddata-240214123601,15,1.798,-0.2719390840023897,0.0
16,contextOSE,ec2_cpu_utilization_53ea38_adddata-240214123601,16,1.732,-0.4329146937584874,0.0
17,contextOSE,ec2_cpu_utilization_53ea38_adddata-240214123601,17,1.802,-0.2621829864414141,0.0
18,contextOSE,ec2_cpu_utilization_53ea38_adddata-240214123601,18,1.764,-0.35486591327068245,0.0
19,contextOSE,ec2_cpu_utilization_53ea38_adddata-240214123601,19,1.86,-0.12071957180726761,0.0
20,contextOSE,ec2_cpu_utilization_53ea38_adddata-240214123601,20,1.998,0.21586579404639034,0.0
21,contextOSE,ec2_cpu_utilization_53ea38_adddata-240214123601,21,1.7719999999999998,-0.3353537181487321,0.0
22,contextOSE,ec2_cpu_utilization_53ea38_adddata-240214123601,22,1.734,-0.4280366449779996,0.0
23,contextOSE,ec2_cpu_utilization_53ea38_adddata-240214123601,23,1.766,-0.34998786449019464,0.0
24,contextOSE,ec2_cpu_utilization_53ea38_adddata-240214123601,24,1.76,-0.36462201083165807,0.0
25,contextOSE,ec2_cpu_utilization_53ea38_adddata-240214123601,25,1.7380000000000002,-0.418280547417024,0.0
26,contextOSE,ec2_cpu_utilization_53ea38_adddata-240214123601,26,1.93,0.05001213550980482,0.0
