,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,earthgeckoSkyline,ec2_cpu_utilization_53ea38_adddata-240214123601,0,1.732,-0.4328355223649838,0.0
1,earthgeckoSkyline,ec2_cpu_utilization_53ea38_adddata-240214123601,1,1.732,-0.4328355223649838,0.0
2,earthgeckoSkyline,ec2_cpu_utilization_53ea38_adddata-240214123601,2,1.96,0.12326203861062557,0.0
3,earthgeckoSkyline,ec2_cpu_utilization_53ea38_adddata-240214123601,3,1.732,-0.4328355223649838,0.0
4,earthgeckoSkyline,ec2_cpu_utilization_53ea38_adddata-240214123601,4,1.706,-0.4962501565113253,0.0
5,earthgeckoSkyline,ec2_cpu_utilization_53ea38_adddata-240214123601,5,1.734,-0.427957473584496,0.0
6,earthgeckoSkyline,ec2_cpu_utilization_53ea38_adddata-240214123601,6,1.766,-0.34990869309669104,0.0
7,earthgeckoSkyline,ec2_cpu_utilization_53ea38_adddata-240214123601,7,1.766,-0.34990869309669104,0.0
8,earthgeckoSkyline,ec2_cpu_utilization_53ea38_adddata-240214123601,8,2.026,0.2842376483667224,0.0
9,earthgeckoSkyline,ec2_cpu_utilization_53ea38_adddata-240214123601,9,1.7619999999999998,-0.35966479065766754,0.0
10,earthgeckoSkyline,ec2_cpu_utilization_53ea38_adddata-240214123601,10,1.704,-0.5011282052918131,0.0
11,earthgeckoSkyline,ec2_cpu_utilization_53ea38_adddata-240214123601,11,1.834,-0.18405503456010552,0.0
12,earthgeckoSkyline,ec2_cpu_utilization_53ea38_adddata-240214123601,12,1.832,-0.18893308334059333,0.0
13,earthgeckoSkyline,ec2_cpu_utilization_53ea38_adddata-240214123601,13,1.826,-0.20356722968205676,0.0
14,earthgeckoSkyline,ec2_cpu_utilization_53ea38_adddata-240214123601,14,1.908,-0.003567229682057471,0.0
15,earthgeckoSkyline,ec2_cpu_utilization_53ea38_adddata-240214123601,15,1.798,-0.2718599126088861,0.0
16,earthgeckoSkyline,ec2_cpu_utilization_53ea38_adddata-240214123601,16,1.732,-0.4328355223649838,0.0
17,earthgeckoSkyline,ec2_cpu_utilization_53ea38_adddata-240214123601,17,1.802,-0.26210381504791047,0.0
18,earthgeckoSkyline,ec2_cpu_utilization_53ea38_adddata-240214123601,18,1.764,-0.35478674187717885,0.0
19,earthgeckoSkyline,ec2_cpu_utilization_53ea38_adddata-240214123601,19,1.86,-0.120640400413764,0.0
20,earthgeckoSkyline,ec2_cpu_utilization_53ea38_adddata-240214123601,20,1.998,0.21594496543989394,0.0
21,earthgeckoSkyline,ec2_cpu_utilization_53ea38_adddata-240214123601,21,1.7719999999999998,-0.3352745467552285,0.0
22,earthgeckoSkyline,ec2_cpu_utilization_53ea38_adddata-240214123601,22,1.734,-0.427957473584496,0.0
23,earthgeckoSkyline,ec2_cpu_utilization_53ea38_adddata-240214123601,23,1.766,-0.34990869309669104,0.0
24,earthgeckoSkyline,ec2_cpu_utilization_53ea38_adddata-240214123601,24,1.76,-0.36454283943815446,0.0
25,earthgeckoSkyline,ec2_cpu_utilization_53ea38_adddata-240214123601,25,1.7380000000000002,-0.41820137602352037,0.0
