,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,0,1.732,-0.4328725509593624,0.0
1,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,1,1.732,-0.4328725509593624,0.0
2,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,2,1.96,0.12322501001624697,0.0
3,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,3,1.732,-0.4328725509593624,0.0
4,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,4,1.706,-0.4962871851057039,0.0
5,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,5,1.734,-0.4279945021788746,0.0
6,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,6,1.766,-0.34994572169106963,0.0
7,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,7,1.766,-0.34994572169106963,0.0
8,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,8,2.026,0.2842006197723438,0.0
9,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,9,1.7619999999999998,-0.35970181925204614,0.0
10,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,10,1.704,-0.5011652338861917,0.0
11,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,11,1.834,-0.18409206315448412,0.0
12,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,12,1.832,-0.18897011193497193,0.0
13,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,13,1.826,-0.20360425827643536,0.0
14,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,14,1.908,-0.0036042582764360676,0.0
15,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,15,1.798,-0.2718969412032647,0.0
16,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,16,1.732,-0.4328725509593624,0.0
17,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,17,1.802,-0.26214084364228907,0.0
18,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,18,1.764,-0.35482377047155744,0.0
19,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,19,1.86,-0.1206774290081426,0.0
20,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,20,1.998,0.21590793684551535,0.0
21,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,21,1.7719999999999998,-0.3353115753496071,0.0
22,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,22,1.734,-0.4279945021788746,0.0
23,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,23,1.766,-0.34994572169106963,0.0
24,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,24,1.76,-0.36457986803253306,0.0
25,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,25,1.7380000000000002,-0.41823840461789896,0.0
26,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,26,1.93,0.050054278308929834,0.0
27,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,27,1.8,-0.2670188924227769,0.0
28,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,28,1.732,-0.4328725509593624,0.0
29,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,29,1.766,-0.34994572169106963,0.0
30,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,30,1.798,-0.2718969412032647,0.0
31,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,31,1.8,-0.2670188924227769,0.0
32,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,32,1.99,0.1963957417235641,0.0
33,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,33,1.7380000000000002,-0.41823840461789896,0.0
34,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,34,1.76,-0.36457986803253306,0.0
35,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,35,1.7719999999999998,-0.3353115753496071,0.0
36,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,36,1.764,-0.35482377047155744,0.0
37,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,37,1.732,-0.4328725509593624,0.0
38,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,38,2.0,0.22078598562600316,0.0
39,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,39,1.7,-0.5109213314471673,0.0
40,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,40,1.798,-0.2718969412032647,0.0
41,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,41,1.732,-0.4328725509593624,0.0
42,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,42,1.764,-0.35482377047155744,0.0
43,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,43,1.7619999999999998,-0.35970181925204614,0.0
44,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,44,1.97,0.14761525391868602,0.0
45,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,45,1.7280000000000002,-0.442628648520338,0.0
46,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,46,1.806,-0.25238474608131345,0.0
47,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,47,1.8,-0.2670188924227769,0.0
48,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,48,1.86,-0.1206774290081426,0.0
49,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,49,1.7380000000000002,-0.41823840461789896,0.0
50,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,50,1.992,0.20127379050405192,0.0
51,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,51,1.702,-0.5060432826666795,0.0
52,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,52,1.766,-0.34994572169106963,1.0
53,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,53,1.76,-0.36457986803253306,1.0
54,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,54,1.832,-0.18897011193497193,1.0
55,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,55,1.774,-0.3304335265691184,1.0
56,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,56,1.998,0.21590793684551535,1.0
57,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,57,1.7919999999999998,-0.286531087544729,1.0
58,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,58,1.798,-0.2718969412032647,1.0
59,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,59,1.838,-0.1743359655935085,1.0
60,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,60,1.798,-0.2718969412032647,1.0
61,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,61,1.764,-0.35482377047155744,1.0
62,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,62,2.032,0.2988347661138081,1.0
63,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,63,1.83,-0.19384816071545974,1.0
64,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,64,1.766,-0.34994572169106963,1.0
65,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,65,1.954,0.10859086367478354,1.0
66,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,66,1.702,-0.5060432826666795,1.0
67,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,67,1.866,-0.10604328266667917,1.0
68,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,68,1.966,0.1378591563577104,1.0
69,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,69,1.83,0.24608143445678088,1.0
70,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,70,1.76,-0.11474330781126085,1.0
71,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,71,1.836,0.27700926950832716,1.0
72,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,72,1.766,-0.08381547275971457,1.0
73,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,73,1.826,0.22546287775575002,1.0
74,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,74,1.904,0.6275247334258517,1.0
75,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,75,1.83,0.24608143445678088,1.0
76,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,76,1.732,-0.2590732047184786,1.0
77,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,77,1.826,0.22546287775575002,1.0
78,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,78,1.704,-0.4034031016256946,1.0
79,relativeEntropy,ec2_cpu_utilization_53ea38_adddata-240214123601,79,1.766,-0.08381547275971457,1.0
