,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,windowedGaussian,ec2_cpu_utilization_53ea38_adddata-240214123601,0,1.732,-0.4328742489033005,0.0
1,windowedGaussian,ec2_cpu_utilization_53ea38_adddata-240214123601,1,1.732,-0.4328742489033005,0.5
2,windowedGaussian,ec2_cpu_utilization_53ea38_adddata-240214123601,2,1.96,0.12322331207230885,1.0
3,windowedGaussian,ec2_cpu_utilization_53ea38_adddata-240214123601,3,1.732,-0.4328742489033005,0.7602499389065233
4,windowedGaussian,ec2_cpu_utilization_53ea38_adddata-240214123601,4,1.706,-0.496288883049642,0.799742836843564
5,windowedGaussian,ec2_cpu_utilization_53ea38_adddata-240214123601,5,1.734,-0.4279962001228127,0.6580117397046338
6,windowedGaussian,ec2_cpu_utilization_53ea38_adddata-240214123601,6,1.766,-0.34994741963500775,0.5000000000000003
7,windowedGaussian,ec2_cpu_utilization_53ea38_adddata-240214123601,7,1.766,-0.34994741963500775,0.5000000000000003
8,windowedGaussian,ec2_cpu_utilization_53ea38_adddata-240214123601,8,2.026,0.28419892182840567,0.9997080242144987
9,windowedGaussian,ec2_cpu_utilization_53ea38_adddata-240214123601,9,1.7619999999999998,-0.35970351719598426,0.6191748455395083
10,windowedGaussian,ec2_cpu_utilization_53ea38_adddata-240214123601,10,1.704,-0.5011669318301298,0.8016951923633309
11,windowedGaussian,ec2_cpu_utilization_53ea38_adddata-240214123601,11,1.834,-0.18409376109842224,0.6897807863768373
12,windowedGaussian,ec2_cpu_utilization_53ea38_adddata-240214123601,12,1.832,-0.18897180987891005,0.6732984850988595
13,windowedGaussian,ec2_cpu_utilization_53ea38_adddata-240214123601,13,1.826,-0.20360595622037347,0.6424854446733941
14,windowedGaussian,ec2_cpu_utilization_53ea38_adddata-240214123601,14,1.908,-0.0036059562203741846,0.8924244764770963
15,windowedGaussian,ec2_cpu_utilization_53ea38_adddata-240214123601,15,1.798,-0.2718986391472028,0.5142156511853349
16,windowedGaussian,ec2_cpu_utilization_53ea38_adddata-240214123601,16,1.732,-0.4328742489033005,0.7773613589544203
17,windowedGaussian,ec2_cpu_utilization_53ea38_adddata-240214123601,17,1.802,-0.2621425415862272,0.522051235816521
18,windowedGaussian,ec2_cpu_utilization_53ea38_adddata-240214123601,18,1.764,-0.35482546841549556,0.6494571288489424
19,windowedGaussian,ec2_cpu_utilization_53ea38_adddata-240214123601,19,1.86,-0.12067912695208072,0.7761457783057366
20,windowedGaussian,ec2_cpu_utilization_53ea38_adddata-240214123601,20,1.998,0.21590623890157723,0.9912184407734419
21,windowedGaussian,ec2_cpu_utilization_53ea38_adddata-240214123601,21,1.7719999999999998,-0.3353132732935452,0.6530430771665694
