,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,0,94.0,0.23680727546733193,1.0
1,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,1,56.0,-0.007565714886365815,1.0
2,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,2,187.0,0.8348780150171712,1.0
3,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,3,95.0,0.24323814363453455,1.0
4,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,4,51.0,-0.03972005572237858,1.0
5,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,5,10.0,-0.3033856505776841,1.0
6,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,6,49.0,-0.052581792056783816,1.0
7,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,7,79.0,0.14034425295929343,1.0
8,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,8,24.0,-0.21335349623684807,1.0
9,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,9,73.0,0.10175904395607793,1.0
10,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,10,45.0,-0.07830526472559407,1.0
11,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,11,9.0,-0.3098165187448867,1.0
12,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,12,33.0,-0.15547568273202494,1.0
13,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,13,14.0,-0.2776621779088738,1.0
14,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,14,57.0,-0.0011348467191631961,1.0
15,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,15,139.0,0.5261963429914477,1.0
16,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,16,21.0,-0.23264610073845582,1.0
17,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,17,47.0,-0.06544352839118894,1.0
18,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,18,124.0,0.4297333204834092,1.0
19,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,19,34.0,-0.14904481456482233,1.0
20,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,20,73.0,0.10175904395607793,1.0
21,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,21,6.0,-0.32910912324649433,1.0
22,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,22,115.0,0.37185550697858594,1.0
23,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,23,14.0,-0.2776621779088738,1.0
24,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,24,21.0,-0.23264610073845582,1.0
25,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,25,91.0,0.2175146709657243,1.0
26,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,26,55.0,-0.013996583053568323,1.0
27,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,27,85.0,0.1789294619625088,1.0
28,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,28,102.0,0.28825422080495255,1.0
29,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,29,119.0,0.3975789796473963,1.0
30,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,30,139.0,0.5261963429914477,1.0
31,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,31,69.0,0.07603557128726768,1.0
32,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,32,142.0,0.5454889474930554,1.0
33,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,33,45.0,-0.07830526472559407,1.0
34,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,34,48.0,-0.059012660223986324,1.0
35,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,35,3.0,-0.3484017277481021,1.0
36,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,36,32.0,-0.16190655089922756,1.0
37,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,37,4.0,-0.34197085958089957,1.0
38,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,38,72.0,0.09532817578887542,1.0
39,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,39,103.0,0.2946850889721552,1.0
40,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,40,64.0,0.043881230451254805,1.0
41,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,41,44.0,-0.08473613289279658,1.0
42,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,42,30.0,-0.1747682872336327,1.0
43,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,43,4.0,-0.34197085958089957,1.0
44,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,44,4.0,-0.34197085958089957,1.0
45,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,45,79.0,0.14034425295929343,1.0
46,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,46,83.0,0.16606772562810368,1.0
47,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,47,3.0,-0.3484017277481021,1.0
48,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,48,21.0,-0.23264610073845582,1.0
49,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,49,33.0,-0.15547568273202494,1.0
50,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,50,72.0,0.09532817578887542,1.0
51,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,51,87.0,0.19179119829691393,1.0
52,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,52,190.0,0.8541706195187789,1.0
53,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,53,10.0,-0.3033856505776841,1.0
54,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,54,44.0,-0.08473613289279658,1.0
55,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,55,24.0,-0.21335349623684807,1.0
56,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,56,32.0,-0.16190655089922756,1.0
57,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,57,111.0,0.3461320343097757,1.0
58,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,58,106.0,0.3139776934737628,1.0
59,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,59,49.0,-0.052581792056783816,0.0
60,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,60,56.0,-0.007565714886365815,1.0
61,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,61,79.0,0.14034425295929343,0.0
62,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,62,42.0,-0.09759786922720182,0.0
63,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,63,112.0,0.3525629024769783,0.0
64,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,64,21.0,-0.23264610073845582,0.0
65,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,65,48.0,-0.059012660223986324,0.0
66,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,66,48.0,-0.059012660223986324,0.0
67,AnDePeDPro,elb_request_count_8c0756_adddata-240214123611,67,91.0,0.2175146709657243,0.0
