,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,0,94.0,0.2367817305998502,0.0
1,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,1,56.0,-0.007591259753847557,0.0
2,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,2,187.0,0.8348524701496894,0.0
3,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,3,95.0,0.2432125987670528,0.0
4,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,4,51.0,-0.03974560058986032,0.0
5,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,5,10.0,-0.3034111954451658,0.0
6,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,6,49.0,-0.05260733692426556,0.0
7,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,7,79.0,0.14031870809181168,0.0
8,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,8,24.0,-0.21337904110432981,0.0
9,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,9,73.0,0.10173349908859619,0.0
10,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,10,45.0,-0.07833080959307581,0.0
11,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,11,9.0,-0.30984206361236843,0.0
12,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,12,33.0,-0.1555012275995067,0.0
13,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,13,14.0,-0.27768772277635556,0.0
14,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,14,57.0,-0.0011603915866449377,0.0
15,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,15,139.0,0.5261707981239659,0.0
16,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,16,21.0,-0.23267164560593756,0.0
17,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,17,47.0,-0.06546907325867068,0.0
18,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,18,124.0,0.42970777561592743,0.0
19,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,19,34.0,-0.14907035943230407,0.0
20,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,20,73.0,0.10173349908859619,0.0
21,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,21,6.0,-0.32913466811397607,0.0
22,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,22,115.0,0.3718299621111042,0.0
23,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,23,14.0,-0.27768772277635556,0.0
24,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,24,21.0,-0.23267164560593756,0.0
25,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,25,91.0,0.21748912609824256,0.0
26,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,26,55.0,-0.014022127921050065,0.0
27,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,27,85.0,0.17890391709502707,0.0
28,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,28,102.0,0.2882286759374708,0.0
29,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,29,119.0,0.39755343477991456,0.0
30,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,30,139.0,0.5261707981239659,0.0
31,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,31,69.0,0.07601002641978594,0.0
32,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,32,142.0,0.5454634026255737,0.0
33,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,33,45.0,-0.07833080959307581,0.0
34,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,34,48.0,-0.059038205091468066,0.0
35,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,35,3.0,-0.3484272726155838,0.0
36,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,36,32.0,-0.1619320957667093,0.0
37,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,37,4.0,-0.3419964044483813,0.0
38,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,38,72.0,0.09530263092139368,0.0
39,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,39,103.0,0.29465954410467343,0.0
40,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,40,64.0,0.04385568558377306,0.0
41,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,41,44.0,-0.08476167776027832,0.0
42,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,42,30.0,-0.17479383210111443,0.0
43,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,43,4.0,-0.3419964044483813,0.0
44,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,44,4.0,-0.3419964044483813,0.0
45,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,45,79.0,0.14031870809181168,0.0
46,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,46,83.0,0.16604218076062194,0.0
47,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,47,3.0,-0.3484272726155838,0.0
48,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,48,21.0,-0.23267164560593756,0.0
49,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,49,33.0,-0.1555012275995067,0.0
50,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,50,72.0,0.09530263092139368,0.0
51,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,51,87.0,0.1917656534294322,0.0
52,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,52,190.0,0.8541450746512972,0.0
53,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,53,10.0,-0.3034111954451658,0.0
54,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,54,44.0,-0.08476167776027832,0.0
55,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,55,24.0,-0.21337904110432981,0.0
56,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,56,32.0,-0.1619320957667093,0.0
57,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,57,111.0,0.34610648944229394,0.0
58,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,58,106.0,0.31395214860628107,0.0
59,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,59,49.0,-0.05260733692426556,0.0
60,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,60,56.0,-0.007591259753847557,0.0
61,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,61,79.0,0.14031870809181168,0.0
62,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,62,42.0,-0.09762341409468356,0.0
63,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,63,112.0,0.35253735760949656,0.0
64,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,64,21.0,-0.23267164560593756,0.0
65,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,65,48.0,-0.059038205091468066,0.0
66,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,66,48.0,-0.059038205091468066,0.0
67,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,67,91.0,0.21748912609824256,0.0
68,bayesChangePt,elb_request_count_8c0756_adddata-240214123611,68,191.0,0.8605759428184997,0.0
