,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,contextOSE,elb_request_count_8c0756_adddata-240214123611,0,94.0,0.23686815583489962,0.0
1,contextOSE,elb_request_count_8c0756_adddata-240214123611,1,56.0,-0.007504834518798131,0.0
2,contextOSE,elb_request_count_8c0756_adddata-240214123611,2,187.0,0.8349388953847389,0.0
3,contextOSE,elb_request_count_8c0756_adddata-240214123611,3,95.0,0.24329902400210224,0.0
4,contextOSE,elb_request_count_8c0756_adddata-240214123611,4,51.0,-0.039659175354810894,0.0
5,contextOSE,elb_request_count_8c0756_adddata-240214123611,5,10.0,-0.3033247702101164,0.0
6,contextOSE,elb_request_count_8c0756_adddata-240214123611,6,49.0,-0.05252091168921613,0.0
7,contextOSE,elb_request_count_8c0756_adddata-240214123611,7,79.0,0.1404051333268611,0.0
8,contextOSE,elb_request_count_8c0756_adddata-240214123611,8,24.0,-0.2132926158692804,0.0
9,contextOSE,elb_request_count_8c0756_adddata-240214123611,9,73.0,0.10181992432364562,0.0
10,contextOSE,elb_request_count_8c0756_adddata-240214123611,10,45.0,-0.07824438435802639,0.0
11,contextOSE,elb_request_count_8c0756_adddata-240214123611,11,9.0,-0.309755638377319,0.0
12,contextOSE,elb_request_count_8c0756_adddata-240214123611,12,33.0,-0.15541480236445726,0.0
13,contextOSE,elb_request_count_8c0756_adddata-240214123611,13,14.0,-0.27760129754130614,0.0
14,contextOSE,elb_request_count_8c0756_adddata-240214123611,14,57.0,-0.0010739663515955122,0.0
15,contextOSE,elb_request_count_8c0756_adddata-240214123611,15,139.0,0.5262572233590154,0.0
16,contextOSE,elb_request_count_8c0756_adddata-240214123611,16,21.0,-0.23258522037088813,0.0
17,contextOSE,elb_request_count_8c0756_adddata-240214123611,17,47.0,-0.06538264802362126,0.0
18,contextOSE,elb_request_count_8c0756_adddata-240214123611,18,124.0,0.42979420085097686,0.0
19,contextOSE,elb_request_count_8c0756_adddata-240214123611,19,34.0,-0.14898393419725464,0.0
20,contextOSE,elb_request_count_8c0756_adddata-240214123611,20,73.0,0.10181992432364562,0.0
21,contextOSE,elb_request_count_8c0756_adddata-240214123611,21,6.0,-0.32904824287892664,0.0
22,contextOSE,elb_request_count_8c0756_adddata-240214123611,22,115.0,0.3719163873461536,0.0
23,contextOSE,elb_request_count_8c0756_adddata-240214123611,23,14.0,-0.27760129754130614,0.0
24,contextOSE,elb_request_count_8c0756_adddata-240214123611,24,21.0,-0.23258522037088813,0.0
25,contextOSE,elb_request_count_8c0756_adddata-240214123611,25,91.0,0.21757555133329198,0.0
26,contextOSE,elb_request_count_8c0756_adddata-240214123611,26,55.0,-0.01393570268600064,0.0
27,contextOSE,elb_request_count_8c0756_adddata-240214123611,27,85.0,0.1789903423300765,0.0
28,contextOSE,elb_request_count_8c0756_adddata-240214123611,28,102.0,0.28831510117252024,0.0
29,contextOSE,elb_request_count_8c0756_adddata-240214123611,29,119.0,0.397639860014964,0.0
30,contextOSE,elb_request_count_8c0756_adddata-240214123611,30,139.0,0.5262572233590154,0.0
31,contextOSE,elb_request_count_8c0756_adddata-240214123611,31,69.0,0.07609645165483536,0.0
32,contextOSE,elb_request_count_8c0756_adddata-240214123611,32,142.0,0.5455498278606231,0.0
33,contextOSE,elb_request_count_8c0756_adddata-240214123611,33,45.0,-0.07824438435802639,0.0
34,contextOSE,elb_request_count_8c0756_adddata-240214123611,34,48.0,-0.05895177985641864,0.0
35,contextOSE,elb_request_count_8c0756_adddata-240214123611,35,3.0,-0.3483408473805344,0.0
36,contextOSE,elb_request_count_8c0756_adddata-240214123611,36,32.0,-0.16184567053165988,0.0
37,contextOSE,elb_request_count_8c0756_adddata-240214123611,37,4.0,-0.3419099792133319,0.0
38,contextOSE,elb_request_count_8c0756_adddata-240214123611,38,72.0,0.09538905615644311,0.0
39,contextOSE,elb_request_count_8c0756_adddata-240214123611,39,103.0,0.29474596933972286,0.0
40,contextOSE,elb_request_count_8c0756_adddata-240214123611,40,64.0,0.04394211081882249,0.0
41,contextOSE,elb_request_count_8c0756_adddata-240214123611,41,44.0,-0.0846752525252289,0.0
42,contextOSE,elb_request_count_8c0756_adddata-240214123611,42,30.0,-0.174707406866065,0.0
43,contextOSE,elb_request_count_8c0756_adddata-240214123611,43,4.0,-0.3419099792133319,0.0
44,contextOSE,elb_request_count_8c0756_adddata-240214123611,44,4.0,-0.3419099792133319,0.0
45,contextOSE,elb_request_count_8c0756_adddata-240214123611,45,79.0,0.1404051333268611,0.0
46,contextOSE,elb_request_count_8c0756_adddata-240214123611,46,83.0,0.16612860599567136,0.0
47,contextOSE,elb_request_count_8c0756_adddata-240214123611,47,3.0,-0.3483408473805344,0.0
48,contextOSE,elb_request_count_8c0756_adddata-240214123611,48,21.0,-0.23258522037088813,0.0
49,contextOSE,elb_request_count_8c0756_adddata-240214123611,49,33.0,-0.15541480236445726,0.0
50,contextOSE,elb_request_count_8c0756_adddata-240214123611,50,72.0,0.09538905615644311,0.0
51,contextOSE,elb_request_count_8c0756_adddata-240214123611,51,87.0,0.19185207866448162,0.0
52,contextOSE,elb_request_count_8c0756_adddata-240214123611,52,190.0,0.8542314998863466,0.0
53,contextOSE,elb_request_count_8c0756_adddata-240214123611,53,10.0,-0.3033247702101164,0.0
54,contextOSE,elb_request_count_8c0756_adddata-240214123611,54,44.0,-0.0846752525252289,0.0
55,contextOSE,elb_request_count_8c0756_adddata-240214123611,55,24.0,-0.2132926158692804,0.0
56,contextOSE,elb_request_count_8c0756_adddata-240214123611,56,32.0,-0.16184567053165988,0.0
57,contextOSE,elb_request_count_8c0756_adddata-240214123611,57,111.0,0.34619291467734337,0.0
58,contextOSE,elb_request_count_8c0756_adddata-240214123611,58,106.0,0.3140385738413305,0.0
59,contextOSE,elb_request_count_8c0756_adddata-240214123611,59,49.0,-0.05252091168921613,0.0
60,contextOSE,elb_request_count_8c0756_adddata-240214123611,60,56.0,-0.007504834518798131,0.0
61,contextOSE,elb_request_count_8c0756_adddata-240214123611,61,79.0,0.1404051333268611,0.0
62,contextOSE,elb_request_count_8c0756_adddata-240214123611,62,42.0,-0.09753698885963413,0.0
63,contextOSE,elb_request_count_8c0756_adddata-240214123611,63,112.0,0.352623782844546,0.0
64,contextOSE,elb_request_count_8c0756_adddata-240214123611,64,21.0,-0.23258522037088813,0.0
65,contextOSE,elb_request_count_8c0756_adddata-240214123611,65,48.0,-0.05895177985641864,0.0
66,contextOSE,elb_request_count_8c0756_adddata-240214123611,66,48.0,-0.05895177985641864,0.0
67,contextOSE,elb_request_count_8c0756_adddata-240214123611,67,91.0,0.21757555133329198,0.0
68,contextOSE,elb_request_count_8c0756_adddata-240214123611,68,191.0,0.8606623680535491,0.0
69,contextOSE,elb_request_count_8c0756_adddata-240214123611,69,8.0,-0.3161865065445215,0.0
70,contextOSE,elb_request_count_8c0756_adddata-240214123611,70,25.0,-0.20686174770207788,0.0
71,contextOSE,elb_request_count_8c0756_adddata-240214123611,71,93.0,0.2304372876676971,0.0
72,contextOSE,elb_request_count_8c0756_adddata-240214123611,72,37.0,-0.1296913296956469,0.0
73,contextOSE,elb_request_count_8c0756_adddata-240214123611,73,24.0,-0.2132926158692804,0.0
74,contextOSE,elb_request_count_8c0756_adddata-240214123611,74,35.0,-0.14255306603005213,0.0
75,contextOSE,elb_request_count_8c0756_adddata-240214123611,75,45.0,-0.07824438435802639,0.0
76,contextOSE,elb_request_count_8c0756_adddata-240214123611,76,11.0,-0.3031588123219304,0.0
77,contextOSE,elb_request_count_8c0756_adddata-240214123611,77,50.0,-0.051545909096124,0.0
78,contextOSE,elb_request_count_8c0756_adddata-240214123611,78,3.0,-0.3547717155477368,0.0
79,contextOSE,elb_request_count_8c0756_adddata-240214123611,79,75.0,0.13171477093874973,0.0
80,contextOSE,elb_request_count_8c0756_adddata-240214123611,80,79.0,0.1587417979657767,0.0
81,contextOSE,elb_request_count_8c0756_adddata-240214123611,81,22.0,-0.2263933371693584,0.0
82,contextOSE,elb_request_count_8c0756_adddata-240214123611,82,143.0,0.5911742303982092,0.0
