,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,earthgeckoSkyline,elb_request_count_8c0756_adddata-240214123611,0,94.0,0.23694658596504847,0.0
1,earthgeckoSkyline,elb_request_count_8c0756_adddata-240214123611,1,56.0,-0.007426404388649277,0.0
2,earthgeckoSkyline,elb_request_count_8c0756_adddata-240214123611,2,187.0,0.8350173255148877,0.0
3,earthgeckoSkyline,elb_request_count_8c0756_adddata-240214123611,3,95.0,0.2433774541322511,0.0
4,earthgeckoSkyline,elb_request_count_8c0756_adddata-240214123611,4,51.0,-0.03958074522466204,0.0
5,earthgeckoSkyline,elb_request_count_8c0756_adddata-240214123611,5,10.0,-0.30324634007996754,0.0
6,earthgeckoSkyline,elb_request_count_8c0756_adddata-240214123611,6,49.0,-0.05244248155906728,0.0
7,earthgeckoSkyline,elb_request_count_8c0756_adddata-240214123611,7,79.0,0.14048356345700996,0.0
8,earthgeckoSkyline,elb_request_count_8c0756_adddata-240214123611,8,24.0,-0.21321418573913153,0.0
9,earthgeckoSkyline,elb_request_count_8c0756_adddata-240214123611,9,73.0,0.10189835445379447,0.0
10,earthgeckoSkyline,elb_request_count_8c0756_adddata-240214123611,10,45.0,-0.07816595422787753,0.0
11,earthgeckoSkyline,elb_request_count_8c0756_adddata-240214123611,11,9.0,-0.30967720824717015,0.0
12,earthgeckoSkyline,elb_request_count_8c0756_adddata-240214123611,12,33.0,-0.1553363722343084,0.0
13,earthgeckoSkyline,elb_request_count_8c0756_adddata-240214123611,13,14.0,-0.2775228674111573,0.0
14,earthgeckoSkyline,elb_request_count_8c0756_adddata-240214123611,14,57.0,-0.0009955362214466579,0.0
15,earthgeckoSkyline,elb_request_count_8c0756_adddata-240214123611,15,139.0,0.5263356534891642,0.0
16,earthgeckoSkyline,elb_request_count_8c0756_adddata-240214123611,16,21.0,-0.23250679024073928,0.0
17,earthgeckoSkyline,elb_request_count_8c0756_adddata-240214123611,17,47.0,-0.0653042178934724,0.0
18,earthgeckoSkyline,elb_request_count_8c0756_adddata-240214123611,18,124.0,0.4298726309811257,0.0
19,earthgeckoSkyline,elb_request_count_8c0756_adddata-240214123611,19,34.0,-0.1489055040671058,0.0
20,earthgeckoSkyline,elb_request_count_8c0756_adddata-240214123611,20,73.0,0.10189835445379447,0.0
