,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,knncad,elb_request_count_8c0756_adddata-240214123611,0,94.0,0.23678125705874564,0.0
1,knncad,elb_request_count_8c0756_adddata-240214123611,1,56.0,-0.007591733294952108,0.0
2,knncad,elb_request_count_8c0756_adddata-240214123611,2,187.0,0.8348519966085849,0.0
3,knncad,elb_request_count_8c0756_adddata-240214123611,3,95.0,0.24321212522594826,0.0
4,knncad,elb_request_count_8c0756_adddata-240214123611,4,51.0,-0.03974607413096487,0.0
5,knncad,elb_request_count_8c0756_adddata-240214123611,5,10.0,-0.30341166898627037,0.0
6,knncad,elb_request_count_8c0756_adddata-240214123611,6,49.0,-0.05260781046537011,0.0
7,knncad,elb_request_count_8c0756_adddata-240214123611,7,79.0,0.14031823455070713,0.0
8,knncad,elb_request_count_8c0756_adddata-240214123611,8,24.0,-0.21337951464543436,0.0
9,knncad,elb_request_count_8c0756_adddata-240214123611,9,73.0,0.10173302554749164,0.0
10,knncad,elb_request_count_8c0756_adddata-240214123611,10,45.0,-0.07833128313418036,0.0
11,knncad,elb_request_count_8c0756_adddata-240214123611,11,9.0,-0.309842537153473,0.0
12,knncad,elb_request_count_8c0756_adddata-240214123611,12,33.0,-0.15550170114061124,0.0
13,knncad,elb_request_count_8c0756_adddata-240214123611,13,14.0,-0.2776881963174601,0.0
14,knncad,elb_request_count_8c0756_adddata-240214123611,14,57.0,-0.0011608651277494886,0.0
15,knncad,elb_request_count_8c0756_adddata-240214123611,15,139.0,0.5261703245828614,0.0
16,knncad,elb_request_count_8c0756_adddata-240214123611,16,21.0,-0.2326721191470421,0.0
17,knncad,elb_request_count_8c0756_adddata-240214123611,17,47.0,-0.06546954679977524,0.0
18,knncad,elb_request_count_8c0756_adddata-240214123611,18,124.0,0.4297073020748229,0.0
19,knncad,elb_request_count_8c0756_adddata-240214123611,19,34.0,-0.14907083297340862,0.0
20,knncad,elb_request_count_8c0756_adddata-240214123611,20,73.0,0.10173302554749164,0.0
21,knncad,elb_request_count_8c0756_adddata-240214123611,21,6.0,-0.3291351416550806,0.0
22,knncad,elb_request_count_8c0756_adddata-240214123611,22,115.0,0.37182948856999964,0.0
23,knncad,elb_request_count_8c0756_adddata-240214123611,23,14.0,-0.2776881963174601,0.0
24,knncad,elb_request_count_8c0756_adddata-240214123611,24,21.0,-0.2326721191470421,0.0
25,knncad,elb_request_count_8c0756_adddata-240214123611,25,91.0,0.217488652557138,0.0
26,knncad,elb_request_count_8c0756_adddata-240214123611,26,55.0,-0.014022601462154616,0.0
27,knncad,elb_request_count_8c0756_adddata-240214123611,27,85.0,0.17890344355392251,0.0
28,knncad,elb_request_count_8c0756_adddata-240214123611,28,102.0,0.28822820239636626,0.0
29,knncad,elb_request_count_8c0756_adddata-240214123611,29,119.0,0.39755296123881,0.0
30,knncad,elb_request_count_8c0756_adddata-240214123611,30,139.0,0.5261703245828614,0.0
31,knncad,elb_request_count_8c0756_adddata-240214123611,31,69.0,0.07600955287868139,0.0
32,knncad,elb_request_count_8c0756_adddata-240214123611,32,142.0,0.5454629290844691,0.0
33,knncad,elb_request_count_8c0756_adddata-240214123611,33,45.0,-0.07833128313418036,0.0
34,knncad,elb_request_count_8c0756_adddata-240214123611,34,48.0,-0.059038678632572617,0.0
35,knncad,elb_request_count_8c0756_adddata-240214123611,35,3.0,-0.34842774615668837,0.0
36,knncad,elb_request_count_8c0756_adddata-240214123611,36,32.0,-0.16193256930781386,0.0
37,knncad,elb_request_count_8c0756_adddata-240214123611,37,4.0,-0.34199687798948586,0.0
38,knncad,elb_request_count_8c0756_adddata-240214123611,38,72.0,0.09530215738028913,0.0
39,knncad,elb_request_count_8c0756_adddata-240214123611,39,103.0,0.2946590705635689,0.0
40,knncad,elb_request_count_8c0756_adddata-240214123611,40,64.0,0.04385521204266851,0.0
41,knncad,elb_request_count_8c0756_adddata-240214123611,41,44.0,-0.08476215130138287,0.0
42,knncad,elb_request_count_8c0756_adddata-240214123611,42,30.0,-0.17479430564221898,0.0
43,knncad,elb_request_count_8c0756_adddata-240214123611,43,4.0,-0.34199687798948586,0.0
44,knncad,elb_request_count_8c0756_adddata-240214123611,44,4.0,-0.34199687798948586,0.0
45,knncad,elb_request_count_8c0756_adddata-240214123611,45,79.0,0.14031823455070713,0.0
46,knncad,elb_request_count_8c0756_adddata-240214123611,46,83.0,0.1660417072195174,0.0
47,knncad,elb_request_count_8c0756_adddata-240214123611,47,3.0,-0.34842774615668837,0.0
48,knncad,elb_request_count_8c0756_adddata-240214123611,48,21.0,-0.2326721191470421,0.0
49,knncad,elb_request_count_8c0756_adddata-240214123611,49,33.0,-0.15550170114061124,0.0
50,knncad,elb_request_count_8c0756_adddata-240214123611,50,72.0,0.09530215738028913,0.0
51,knncad,elb_request_count_8c0756_adddata-240214123611,51,87.0,0.19176517988832764,0.0
52,knncad,elb_request_count_8c0756_adddata-240214123611,52,190.0,0.8541446011101926,0.0
