,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,0,94.0,0.23691620023498905,0.0
1,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,1,56.0,-0.0074567901187087005,0.0
2,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,2,187.0,0.8349869397848283,0.0
3,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,3,95.0,0.24334706840219167,0.0
4,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,4,51.0,-0.03961113095472146,0.0
5,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,5,10.0,-0.30327672581002696,0.0
6,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,6,49.0,-0.0524728672891267,0.0
7,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,7,79.0,0.14045317772695054,0.0
8,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,8,24.0,-0.21324457146919096,0.0
9,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,9,73.0,0.10186796872373505,0.0
10,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,10,45.0,-0.07819633995793696,0.0
11,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,11,9.0,-0.3097075939772296,0.0
12,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,12,33.0,-0.15536675796436783,0.0
13,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,13,14.0,-0.2775532531412167,0.0
14,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,14,57.0,-0.0010259219515060813,0.0
15,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,15,139.0,0.5263052677591048,0.0
16,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,16,21.0,-0.2325371759707987,0.0
17,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,17,47.0,-0.06533460362353183,0.0
18,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,18,124.0,0.4298422452510663,0.0
19,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,19,34.0,-0.1489358897971652,0.0
20,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,20,73.0,0.10186796872373505,0.0
21,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,21,6.0,-0.3290001984788372,0.0
22,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,22,115.0,0.37196443174624305,0.0
23,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,23,14.0,-0.2775532531412167,0.0
24,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,24,21.0,-0.2325371759707987,0.0
25,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,25,91.0,0.21762359573338141,0.0
26,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,26,55.0,-0.013887658285911209,0.0
27,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,27,85.0,0.17903838673016592,0.0
28,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,28,102.0,0.28836314557260967,0.0
29,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,29,119.0,0.3976879044150534,0.0
30,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,30,139.0,0.5263052677591048,0.0
31,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,31,69.0,0.07614449605492479,0.0
32,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,32,142.0,0.5455978722607125,0.0
33,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,33,45.0,-0.07819633995793696,0.0
34,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,34,48.0,-0.05890373545632921,0.0
35,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,35,3.0,-0.34829280298044496,0.0
36,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,36,32.0,-0.16179762613157045,0.0
37,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,37,4.0,-0.34186193481324245,0.0
38,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,38,72.0,0.09543710055653254,0.0
39,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,39,103.0,0.2947940137398123,0.0
40,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,40,64.0,0.04399015521891192,0.0
41,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,41,44.0,-0.08462720812513946,0.0
42,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,42,30.0,-0.17465936246597558,0.0
43,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,43,4.0,-0.34186193481324245,0.0
44,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,44,4.0,-0.34186193481324245,0.0
45,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,45,79.0,0.14045317772695054,0.0
46,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,46,83.0,0.1661766503957608,0.0
47,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,47,3.0,-0.34829280298044496,0.0
48,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,48,21.0,-0.2325371759707987,0.0
49,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,49,33.0,-0.15536675796436783,0.0
50,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,50,72.0,0.09543710055653254,0.0
51,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,51,87.0,0.19190012306457105,0.0
52,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,52,190.0,0.854279544286436,0.0
53,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,53,10.0,-0.30327672581002696,0.0
54,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,54,44.0,-0.08462720812513946,0.0
55,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,55,24.0,-0.21324457146919096,0.0
56,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,56,32.0,-0.16179762613157045,0.0
57,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,57,111.0,0.3462409590774328,0.0
58,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,58,106.0,0.3140866182414199,0.0
59,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,59,49.0,-0.0524728672891267,0.0
60,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,60,56.0,-0.0074567901187087005,0.0
61,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,61,79.0,0.14045317772695054,0.0
62,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,62,42.0,-0.0974889444595447,0.0
63,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,63,112.0,0.3526718272446354,0.0
64,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,64,21.0,-0.2325371759707987,0.0
65,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,65,48.0,-0.05890373545632921,0.0
66,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,66,48.0,-0.05890373545632921,0.0
67,relativeEntropy,elb_request_count_8c0756_adddata-240214123611,67,91.0,0.21762359573338141,0.0
