,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,0,94.0,0.23688748369123147,0.0
1,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,1,56.0,-0.007485506662466279,1.0
2,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,2,187.0,0.8349582232410707,0.9999999981236052
3,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,3,95.0,0.2433183518584341,0.623613022939234
4,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,4,51.0,-0.03963984749847904,0.8812959169193932
5,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,5,10.0,-0.30330544235378454,0.9620048956394962
6,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,6,49.0,-0.05250158383288428,0.7267069411645749
7,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,7,79.0,0.14042446118319296,0.5119991936282868
8,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,8,24.0,-0.21327328801294854,0.8637593206424449
9,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,9,73.0,0.10183925217997747,0.5108414498587848
10,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,10,45.0,-0.07822505650169453,0.7176328202916462
11,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,11,9.0,-0.30973631052098716,0.9099138967103779
12,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,12,33.0,-0.1553954745081254,0.7510074329073471
13,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,13,14.0,-0.2775819696849743,0.8554770693631186
14,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,14,57.0,-0.00105463849526366,0.5132158202557804
15,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,15,139.0,0.5262765512153472,0.9673192841657432
16,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,16,21.0,-0.23256589251455628,0.8186255071757153
17,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,17,47.0,-0.06536332016728941,0.6182727696239271
18,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,18,124.0,0.4298135287073087,0.9213723289515034
19,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,19,34.0,-0.1489646063409228,0.7386962809486832
20,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,20,73.0,0.10183925217997747,0.5951491009511496
21,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,21,6.0,-0.3290289150225948,0.8985046738718169
22,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,22,115.0,0.3719357152024855,0.889260819884345
23,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,23,14.0,-0.2775819696849743,0.856740452228448
24,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,24,21.0,-0.23256589251455628,0.806649170435961
25,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,25,91.0,0.21759487918962384,0.7617328700107227
26,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,26,55.0,-0.013916374829668787,0.5447891773013864
27,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,27,85.0,0.17900967018640834,0.716376451735418
28,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,28,102.0,0.2883344290288521,0.8289704138918913
29,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,29,119.0,0.39765918787129584,0.9052076057892451
30,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,30,139.0,0.5262765512153472,0.9564544068223821
31,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,31,69.0,0.07611577951116721,0.5222589544138942
32,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,32,142.0,0.545569155716955,0.9554708532119681
33,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,33,45.0,-0.07822505650169453,0.69966530747098
34,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,34,48.0,-0.05893245200008679,0.6725804317076148
35,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,35,3.0,-0.34832151952420254,0.926412427283645
36,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,36,32.0,-0.16182634267532803,0.772629948006615
37,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,37,4.0,-0.34189065135700003,0.9123523204900573
38,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,38,72.0,0.09540838401277496,0.5763522164284787
39,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,39,103.0,0.2947652971960547,0.811077672288341
40,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,40,64.0,0.04396143867515434,0.5042420968067954
41,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,41,44.0,-0.08465592466889704,0.6786020976873479
42,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,42,30.0,-0.17468807900973315,0.781538590170896
43,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,43,4.0,-0.34189065135700003,0.9131985613805638
44,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,44,4.0,-0.34189065135700003,0.9062023893901695
45,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,45,79.0,0.14042446118319296,0.6616531498413768
46,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,46,83.0,0.16614793385200322,0.6924829612463342
47,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,47,3.0,-0.34832151952420254,0.9104808721620323
48,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,48,21.0,-0.23256589251455628,0.8145047854307794
49,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,49,33.0,-0.1553954745081254,0.7270414777755396
50,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,50,72.0,0.09540838401277496,0.618662083901985
51,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,51,87.0,0.19187140652081347,0.7412129902390354
52,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,52,190.0,0.8542508277426785,0.9988328596058756
53,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,53,10.0,-0.30330544235378454,0.8716331958976569
54,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,54,44.0,-0.08465592466889704,0.6452622004955471
55,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,55,24.0,-0.21327328801294854,0.7899342037547066
56,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,56,32.0,-0.16182634267532803,0.7319753158423615
57,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,57,111.0,0.3462122425336752,0.8711830645442477
58,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,58,106.0,0.31405790169766234,0.8413243799824327
59,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,59,49.0,-0.05250158383288428,0.6072239771956411
60,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,60,56.0,-0.007485506662466279,0.5454980806035974
61,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,61,79.0,0.14042446118319296,0.6558941232127076
62,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,62,42.0,-0.09751766100330228,0.6685940386034512
63,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,63,112.0,0.35264311070087784,0.8760275234902497
64,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,64,21.0,-0.23256589251455628,0.8222247100812136
65,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,65,48.0,-0.05893245200008679,0.6176431655668626
66,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,66,48.0,-0.05893245200008679,0.6166977612977959
67,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,67,91.0,0.21759487918962384,0.7558432670402412
68,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,68,191.0,0.860681695909881,0.9986082162958363
69,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,69,8.0,-0.31616717868818967,0.8858625688057572
70,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,70,25.0,-0.20684241984574603,0.7920870676362781
71,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,71,93.0,0.23045661552402896,0.7519267707835832
72,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,72,37.0,-0.12967200183931504,0.710115420876894
73,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,73,24.0,-0.21327328801294854,0.7981591855797721
74,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,74,35.0,-0.14253373817372028,0.7199714001564022
75,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,75,45.0,-0.07822505650169453,0.6390316216914933
76,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,76,11.0,-0.3031394844655986,0.8714015245057012
77,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,77,50.0,-0.051526581239792146,0.5969732228484708
78,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,78,3.0,-0.35475238769140494,0.9031556271526572
79,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,79,75.0,0.13173409879508158,0.6587420317801864
80,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,80,79.0,0.15876112582210855,0.6915521575502238
81,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,81,22.0,-0.22637400931302654,0.8030047540738207
82,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,82,143.0,0.591193558254541,0.9785513864960116
83,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,83,24.0,-0.21286049579951305,0.7898138356166655
84,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,84,222.0,1.1249773420383247,0.9999336571539845
85,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,85,57.0,0.010112477173459866,0.5270276424649494
86,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,86,10.0,-0.3074550903941077,0.8626493401621194
87,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,87,46.0,-0.06421184715086437,0.6157791846877028
88,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,88,6.0,-0.33448211742113465,0.878699272863639
89,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,89,60.0,0.030382747443730262,0.5107919850804727
90,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,90,30.0,-0.17231995525897248,0.7364424422735902
91,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,91,17.0,-0.2601577930968103,0.8196975044548455
92,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,92,11.0,-0.3006983336373509,0.850261963837913
93,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,93,107.0,0.3479503150112978,0.8626010409075827
94,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,94,120.0,0.43578815284913563,0.9140280759298259
95,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,95,4.0,-0.34799563093464825,0.8849329363550357
96,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,96,150.0,0.6384908555518384,0.9778916826305952
97,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,97,90.0,0.2330854501464329,0.7476850534958563
98,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,98,52.0,-0.023671306610323906,0.56336837350293
99,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,99,35.0,-0.1385361714751887,0.701308480140229
100,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,100,8.0,-0.32096860390762116,0.8673060059076856
101,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,101,5.0,-0.34123887417789145,0.8783628754644539
102,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,102,167.0,0.7533557204167033,0.9911136064431569
103,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,103,139.0,0.564166531227514,0.9555271166903136
104,windowedGaussian,elb_request_count_8c0756_adddata-240214123611,104,54.0,-0.010157793096810308,0.5491452393779308
