,algorithm,dataset,timestep,orig_value,remainder_value,anomaly_score
0,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,0,0.066,-0.0068816556567139475,1.0
1,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,1,0.066,-0.0068816556567139475,1.0
2,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,2,0.068,-0.0038375156262726584,1.0
3,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,3,0.134,0.09661910537829366,1.0
4,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,4,0.066,-0.0068816556567139475,1.0
5,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,5,0.066,-0.0068816556567139475,1.0
6,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,6,0.134,0.09661910537829366,1.0
7,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,7,0.066,-0.0068816556567139475,1.0
8,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,8,0.068,-0.0038375156262726584,1.0
9,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,9,0.066,-0.0068816556567139475,1.0
10,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,10,0.066,-0.0068816556567139475,1.0
11,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,11,0.134,0.09661910537829366,1.0
12,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,12,0.066,-0.0068816556567139475,1.0
13,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,13,0.068,-0.0038375156262726584,1.0
14,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,14,0.066,-0.0068816556567139475,1.0
15,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,15,0.132,0.09357496534785215,1.0
16,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,16,0.066,-0.0068816556567139475,1.0
17,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,17,0.068,-0.0038375156262726584,1.0
18,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,18,0.132,0.09357496534785215,1.0
19,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,19,0.066,-0.0068816556567139475,1.0
20,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,20,0.066,-0.0068816556567139475,1.0
21,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,21,0.066,-0.0068816556567139475,1.0
22,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,22,0.066,-0.0068816556567139475,1.0
23,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,23,0.134,0.09661910537829366,1.0
24,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,24,0.066,-0.0068816556567139475,1.0
25,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,25,0.066,-0.0068816556567139475,1.0
26,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,26,0.066,-0.0068816556567139475,1.0
27,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,27,0.066,-0.0068816556567139475,1.0
28,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,28,0.132,0.09357496534785215,1.0
29,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,29,0.068,-0.0038375156262726584,1.0
30,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,30,0.134,0.09661910537829366,1.0
31,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,31,0.066,-0.0068816556567139475,1.0
32,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,32,0.066,-0.0068816556567139475,1.0
33,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,33,0.068,-0.0038375156262726584,1.0
34,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,34,0.066,-0.0068816556567139475,1.0
35,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,35,0.134,0.09661910537829366,1.0
36,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,36,0.066,-0.0068816556567139475,1.0
37,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,37,0.068,-0.0038375156262726584,1.0
38,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,38,0.068,-0.0038375156262726584,1.0
39,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,39,0.134,0.09661910537829366,1.0
40,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,40,0.066,-0.0068816556567139475,1.0
41,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,41,0.2,0.19707572638285975,1.0
42,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,42,0.066,-0.0068816556567139475,1.0
43,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,43,0.068,-0.0038375156262726584,1.0
44,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,44,0.068,-0.0038375156262726584,1.0
45,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,45,0.132,0.09357496534785215,1.0
46,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,46,0.066,-0.0068816556567139475,1.0
47,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,47,0.066,-0.0068816556567139475,1.0
48,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,48,0.066,-0.0068816556567139475,1.0
49,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,49,0.134,0.09661910537829366,1.0
50,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,50,0.068,-0.0038375156262726584,1.0
51,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,51,0.066,-0.0068816556567139475,1.0
52,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,52,0.066,-0.0068816556567139475,1.0
53,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,53,0.132,0.09357496534785215,1.0
54,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,54,0.066,-0.0068816556567139475,1.0
55,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,55,0.066,-0.0068816556567139475,1.0
56,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,56,0.134,0.09661910537829366,1.0
57,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,57,0.066,-0.0068816556567139475,1.0
58,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,58,0.066,-0.0068816556567139475,1.0
59,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,59,0.068,-0.0038375156262726584,0.0
60,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,60,0.132,0.09357496534785215,0.0
61,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,61,0.066,-0.0068816556567139475,0.0
62,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,62,0.066,-0.0068816556567139475,0.0
63,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,63,0.066,-0.0068816556567139475,0.0
64,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,64,0.066,-0.0068816556567139475,0.0
65,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,65,0.134,0.09661910537829366,0.0
66,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,66,0.066,-0.0068816556567139475,0.0
67,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,67,0.066,-0.0068816556567139475,0.0
68,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,68,0.132,0.9637065796374045,0.0
69,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,69,0.066,-0.0068816556567139475,0.0
70,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,70,0.068,0.022530109049168523,0.0
71,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,71,0.068,0.022530109049168523,0.0
72,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,72,0.132,0.9637065796374045,0.0
73,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,73,0.066,-0.0068816556567139475,0.0
74,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,74,0.066,-0.0068816556567139475,0.0
75,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,75,0.066,-0.0068816556567139475,0.0
76,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,76,0.134,0.9931183443432869,0.0
77,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,77,0.066,-0.0068816556567139475,1.0
78,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,78,0.066,-0.0068816556567139475,0.0
79,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,79,0.132,0.9637065796374045,0.0
80,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,80,0.066,-0.0068816556567139475,1.0
81,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,81,0.066,-0.0068816556567139475,0.0
82,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,82,0.066,-0.0068816556567139475,0.0
83,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,83,0.066,-0.0068816556567139475,0.0
84,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,84,0.134,1.0080437174776145,0.0
85,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,85,0.068,0.022969090611942855,0.0
86,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,86,0.066,-0.0068816556567139475,0.0
87,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,87,0.066,-0.0068816556567139475,0.0
88,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,88,0.134,1.0080437174776145,0.0
89,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,89,0.066,-0.0068816556567139475,0.0
90,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,90,0.066,-0.0068816556567139475,0.0
91,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,91,0.134,1.0080437174776145,0.0
92,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,92,0.066,-0.0068816556567139475,0.0
93,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,93,0.066,-0.0068816556567139475,0.0
94,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,94,0.066,-0.0068816556567139475,0.0
95,AnDePeDPro,ec2_cpu_utilization_c6585a_adddata-240214123604,95,0.134,1.0080437174776145,0.0
